Time,Offset
0001-01-01 00:00:00,+00:12
1901-12-13 20:45:52,+00:09
1911-03-10 23:50:39,+00:00
1916-06-14 23:00:00,+01:00
1916-10-01 23:00:00,+00:00
1917-03-24 23:00:00,+01:00
1917-10-07 23:00:00,+00:00
1918-03-09 23:00:00,+01:00
1918-10-06 23:00:00,+00:00
1919-03-01 23:00:00,+01:00
1919-10-05 23:00:00,+00:00
1920-02-14 23:00:00,+01:00
1920-10-23 23:00:00,+00:00
1921-03-14 23:00:00,+01:00
1921-06-21 23:00:00,+00:00
1939-09-11 23:00:00,+01:00
1939-11-19 00:00:00,+00:00
1940-02-25 02:00:00,+01:00
1944-04-03 01:00:00,+02:00
1944-10-08 00:00:00,+01:00
1945-04-02 01:00:00,+02:00
1945-09-15 23:00:00,+01:00
1946-10-06 23:00:00,+00:00
1956-01-29 00:00:00,+01:00
1963-04-13 23:00:00,+00:00
1971-04-25 23:00:00,+01:00
1971-09-26 23:00:00,+00:00
1977-05-06 00:00:00,+01:00
1977-10-20 23:00:00,+01:00
1978-03-24 00:00:00,+02:00
1978-09-22 01:00:00,+01:00
1979-10-25 23:00:00,+00:00
1980-04-25 00:00:00,+01:00
1980-10-31 01:00:00,+00:00
1981-05-01 00:00:00,+01:00
