Time,Offset
0001-01-01T00:00:00,+02:05
1901-12-13T20:45:52,+02:00
1940-07-14T22:00:00,+03:00
1940-09-30T21:00:00,+02:00
1941-04-14T22:00:00,+03:00
1941-09-15T21:00:00,+02:00
1942-03-31T22:00:00,+03:00
1942-10-26T21:00:00,+02:00
1943-03-31T22:00:00,+03:00
1943-10-31T21:00:00,+02:00
1944-03-31T22:00:00,+03:00
1944-10-31T21:00:00,+02:00
1945-04-15T22:00:00,+03:00
1945-10-31T21:00:00,+02:00
1957-05-09T22:00:00,+03:00
1957-09-30T21:00:00,+02:00
1958-04-30T22:00:00,+03:00
1958-09-30T21:00:00,+02:00
1959-04-30T23:00:00,+03:00
1959-09-30T00:00:00,+02:00
1960-04-30T23:00:00,+03:00
1960-09-30T00:00:00,+02:00
1961-04-30T23:00:00,+03:00
1961-09-30T00:00:00,+02:00
1962-04-30T23:00:00,+03:00
1962-09-30T00:00:00,+02:00
1963-04-30T23:00:00,+03:00
1963-09-30T00:00:00,+02:00
1964-04-30T23:00:00,+03:00
1964-09-30T00:00:00,+02:00
1965-04-30T23:00:00,+03:00
1965-09-30T00:00:00,+02:00
1966-04-30T23:00:00,+03:00
1966-10-01T00:00:00,+02:00
1967-04-30T23:00:00,+03:00
1967-10-01T00:00:00,+02:00
1968-04-30T23:00:00,+03:00
1968-10-01T00:00:00,+02:00
1969-04-30T23:00:00,+03:00
1969-10-01T00:00:00,+02:00
1970-04-30T23:00:00,+03:00
1970-10-01T00:00:00,+02:00
1971-04-30T23:00:00,+03:00
1971-10-01T00:00:00,+02:00
1972-04-30T23:00:00,+03:00
1972-10-01T00:00:00,+02:00
1973-04-30T23:00:00,+03:00
1973-10-01T00:00:00,+02:00
1974-04-30T23:00:00,+03:00
1974-10-01T00:00:00,+02:00
1975-04-30T23:00:00,+03:00
1975-10-01T00:00:00,+02:00
1976-04-30T23:00:00,+03:00
1976-10-01T00:00:00,+02:00
1977-04-30T23:00:00,+03:00
1977-10-01T00:00:00,+02:00
1978-04-30T23:00:00,+03:00
1978-10-01T00:00:00,+02:00
1979-04-30T23:00:00,+03:00
1979-10-01T00:00:00,+02:00
1980-04-30T23:00:00,+03:00
1980-10-01T00:00:00,+02:00
1981-04-30T23:00:00,+03:00
1981-10-01T00:00:00,+02:00
1982-07-24T23:00:00,+03:00
1982-10-01T00:00:00,+02:00
1983-07-11T23:00:00,+03:00
1983-10-01T00:00:00,+02:00
1984-04-30T23:00:00,+03:00
1984-10-01T00:00:00,+02:00
1985-04-30T23:00:00,+03:00
1985-10-01T00:00:00,+02:00
1986-04-30T23:00:00,+03:00
1986-10-01T00:00:00,+02:00
1987-04-30T23:00:00,+03:00
1987-10-01T00:00:00,+02:00
1988-04-30T23:00:00,+03:00
1988-10-01T00:00:00,+02:00
1989-05-05T23:00:00,+03:00
1989-10-01T00:00:00,+02:00
1990-04-30T23:00:00,+03:00
1990-10-01T00:00:00,+02:00
1991-04-30T23:00:00,+03:00
1991-10-01T00:00:00,+02:00
1992-04-30T23:00:00,+03:00
1992-10-01T00:00:00,+02:00
1993-04-30T23:00:00,+03:00
1993-10-01T00:00:00,+02:00
1994-04-30T23:00:00,+03:00
1994-10-01T00:00:00,+02:00
1995-04-27T22:00:00,+03:00
1995-09-28T21:00:00,+02:00
1996-04-25T22:00:00,+03:00
1996-09-26T21:00:00,+02:00
1997-04-24T22:00:00,+03:00
1997-09-25T21:00:00,+02:00
1998-04-23T22:00:00,+03:00
1998-09-24T21:00:00,+02:00
1999-04-29T22:00:00,+03:00
1999-09-30T21:00:00,+02:00
2000-04-27T22:00:00,+03:00
2000-09-28T21:00:00,+02:00
2001-04-26T22:00:00,+03:00
2001-09-27T21:00:00,+02:00
2002-04-25T22:00:00,+03:00
2002-09-26T21:00:00,+02:00
2003-04-24T22:00:00,+03:00
2003-09-25T21:00:00,+02:00
2004-04-29T22:00:00,+03:00
2004-09-30T21:00:00,+02:00
2005-04-28T22:00:00,+03:00
2005-09-29T21:00:00,+02:00
2006-04-27T22:00:00,+03:00
2006-09-21T21:00:00,+02:00
2007-04-26T22:00:00,+03:00
2007-09-06T21:00:00,+02:00
2008-04-24T22:00:00,+03:00
2008-08-28T21:00:00,+02:00
2009-04-23T22:00:00,+03:00
2009-08-20T21:00:00,+02:00
2010-04-29T22:00:00,+03:00
2010-08-10T21:00:00,+02:00
2010-09-09T22:00:00,+03:00
2010-09-30T21:00:00,+02:00
2014-05-15T22:00:00,+03:00
2014-06-26T21:00:00,+02:00
2014-07-31T22:00:00,+03:00
2014-09-25T21:00:00,+02:00
2023-04-27T22:00:00,+03:00
2023-10-26T21:00:00,+02:00
2024-04-25T22:00:00,+03:00
2024-10-31T21:00:00,+02:00
2025-04-24T22:00:00,+03:00
2025-10-30T21:00:00,+02:00
2026-04-23T22:00:00,+03:00
2026-10-29T21:00:00,+02:00
2027-04-29T22:00:00,+03:00
2027-10-28T21:00:00,+02:00
2028-04-27T22:00:00,+03:00
2028-10-26T21:00:00,+02:00
2029-04-26T22:00:00,+03:00
2029-10-25T21:00:00,+02:00
2030-04-25T22:00:00,+03:00
2030-10-31T21:00:00,+02:00
2031-04-24T22:00:00,+03:00
2031-10-30T21:00:00,+02:00
2032-04-29T22:00:00,+03:00
2032-10-28T21:00:00,+02:00
2033-04-28T22:00:00,+03:00
2033-10-27T21:00:00,+02:00
2034-04-27T22:00:00,+03:00
2034-10-26T21:00:00,+02:00
2035-04-26T22:00:00,+03:00
2035-10-25T21:00:00,+02:00
2036-04-24T22:00:00,+03:00
2036-10-30T21:00:00,+02:00
2037-04-23T22:00:00,+03:00
2037-10-29T21:00:00,+02:00
