Time,Offset
0001-01-01T00:00:00,+02:06
1930-12-31T21:53:32,+02:00
1970-04-30T22:00:00,+03:00
1970-10-14T21:00:00,+02:00
1971-04-29T22:00:00,+03:00
1971-10-14T21:00:00,+02:00
1972-04-29T22:00:00,+03:00
1972-10-14T21:00:00,+02:00
1973-04-28T22:00:00,+03:00
1973-10-14T21:00:00,+02:00
1974-04-27T22:00:00,+03:00
1974-10-14T21:00:00,+02:00
1975-04-26T22:00:00,+03:00
1975-10-14T21:00:00,+02:00
1976-04-24T22:00:00,+03:00
1976-10-14T21:00:00,+02:00
1977-04-23T22:00:00,+03:00
1977-10-14T21:00:00,+02:00
1978-04-29T22:00:00,+03:00
1978-10-14T21:00:00,+02:00
1979-04-28T22:00:00,+03:00
1979-10-14T21:00:00,+02:00
1980-04-26T22:00:00,+03:00
1980-10-14T21:00:00,+02:00
1981-04-25T22:00:00,+03:00
1981-10-14T21:00:00,+02:00
1982-04-24T22:00:00,+03:00
1982-10-14T21:00:00,+02:00
1983-04-23T22:00:00,+03:00
1983-10-14T21:00:00,+02:00
1984-04-28T22:00:00,+03:00
1984-10-14T21:00:00,+02:00
1985-04-27T22:00:00,+03:00
1985-10-14T21:00:00,+02:00
2000-01-15T10:00:00,+03:00
2021-01-31T21:00:00,+02:00
