Time,Offset
0001-01-01 00:00:00,+02:10
1930-12-31 21:49:52,+02:00
1970-04-30 22:00:00,+03:00
1970-10-14 21:00:00,+02:00
1971-04-29 22:00:00,+03:00
1971-10-14 21:00:00,+02:00
1972-04-29 22:00:00,+03:00
1972-10-14 21:00:00,+02:00
1973-04-28 22:00:00,+03:00
1973-10-14 21:00:00,+02:00
1974-04-27 22:00:00,+03:00
1974-10-14 21:00:00,+02:00
1975-04-26 22:00:00,+03:00
1975-10-14 21:00:00,+02:00
1976-04-24 22:00:00,+03:00
1976-10-14 21:00:00,+02:00
1977-04-23 22:00:00,+03:00
1977-10-14 21:00:00,+02:00
1978-04-29 22:00:00,+03:00
1978-10-14 21:00:00,+02:00
1979-04-28 22:00:00,+03:00
1979-10-14 21:00:00,+02:00
1980-04-26 22:00:00,+03:00
1980-10-14 21:00:00,+02:00
1981-04-25 22:00:00,+03:00
1981-10-14 21:00:00,+02:00
1982-04-24 22:00:00,+03:00
1982-10-14 21:00:00,+02:00
1983-04-23 22:00:00,+03:00
1983-10-14 21:00:00,+02:00
1984-04-28 22:00:00,+03:00
1984-10-14 21:00:00,+02:00
1985-04-27 22:00:00,+03:00
1985-10-14 21:00:00,+02:00
2000-01-15 10:00:00,+03:00
2017-10-31 21:00:00,+02:00
