Time,Offset
0001-01-01T00:00:00,+00:53
1919-12-31T23:07:16,+01:00
1951-10-14T01:00:00,+02:00
1951-12-31T22:00:00,+01:00
1953-10-09T01:00:00,+02:00
1953-12-31T22:00:00,+01:00
1955-09-29T23:00:00,+02:00
1955-12-31T22:00:00,+01:00
1958-12-31T23:00:00,+02:00
1981-12-31T22:00:00,+01:00
1982-03-31T23:00:00,+02:00
1982-09-30T22:00:00,+01:00
1983-03-31T23:00:00,+02:00
1983-09-30T22:00:00,+01:00
1984-03-31T23:00:00,+02:00
1984-09-30T22:00:00,+01:00
1985-04-05T23:00:00,+02:00
1985-09-30T22:00:00,+01:00
1986-04-03T23:00:00,+02:00
1986-10-02T22:00:00,+01:00
1987-03-31T23:00:00,+02:00
1987-09-30T22:00:00,+01:00
1988-03-31T23:00:00,+02:00
1988-09-30T22:00:00,+01:00
1989-03-31T23:00:00,+02:00
1989-09-30T22:00:00,+01:00
1990-05-03T23:00:00,+02:00
1996-09-29T22:00:00,+01:00
1997-04-03T23:00:00,+02:00
1997-10-03T22:00:00,+02:00
2012-11-10T00:00:00,+01:00
2013-03-29T00:00:00,+02:00
2013-10-25T00:00:00,+02:00
