Time,Offset
0001-01-01 00:00:00,+00:41
1901-12-13 20:45:52,+00:09
1911-03-10 23:50:39,+01:00
1939-04-15 22:00:00,+02:00
1939-11-18 22:00:00,+01:00
1940-02-25 22:00:00,+02:00
1941-10-05 22:00:00,+01:00
1942-03-08 23:00:00,+02:00
1942-11-02 01:00:00,+01:00
1943-03-29 01:00:00,+02:00
1943-04-17 00:00:00,+01:00
1943-04-25 01:00:00,+02:00
1943-10-04 00:00:00,+01:00
1944-04-03 01:00:00,+02:00
1944-10-07 22:00:00,+01:00
1945-04-02 01:00:00,+02:00
1945-09-15 22:00:00,+01:00
1977-04-29 23:00:00,+02:00
1977-09-23 23:00:00,+01:00
1978-04-30 23:00:00,+02:00
1978-09-30 23:00:00,+01:00
1988-05-31 23:00:00,+02:00
1988-09-24 23:00:00,+01:00
1989-03-25 23:00:00,+02:00
1989-09-23 23:00:00,+01:00
1990-04-30 23:00:00,+02:00
1990-09-29 23:00:00,+01:00
2005-04-30 23:00:00,+02:00
2005-09-30 00:00:00,+01:00
2006-03-26 01:00:00,+02:00
2006-10-29 01:00:00,+01:00
2007-03-25 01:00:00,+02:00
2007-10-28 01:00:00,+01:00
2008-03-30 01:00:00,+02:00
2008-10-26 01:00:00,+01:00
