Time,Offset
1901-12-13 20:45:52,-05:43
1920-05-01 04:16:48,-04:00
1930-12-01 04:00:00,-03:00
1931-04-01 03:00:00,-04:00
1931-10-15 04:00:00,-03:00
1932-03-01 03:00:00,-04:00
1932-11-01 04:00:00,-03:00
1933-03-01 03:00:00,-04:00
1933-11-01 04:00:00,-03:00
1934-03-01 03:00:00,-04:00
1934-11-01 04:00:00,-03:00
1935-03-01 03:00:00,-04:00
1935-11-01 04:00:00,-03:00
1936-03-01 03:00:00,-04:00
1936-11-01 04:00:00,-03:00
1937-03-01 03:00:00,-04:00
1937-11-01 04:00:00,-03:00
1938-03-01 03:00:00,-04:00
1938-11-01 04:00:00,-03:00
1939-03-01 03:00:00,-04:00
1939-11-01 04:00:00,-03:00
1940-03-01 03:00:00,-04:00
1940-07-01 04:00:00,-03:00
1941-06-15 03:00:00,-04:00
1941-10-15 04:00:00,-03:00
1943-08-01 03:00:00,-04:00
1943-10-15 04:00:00,-03:00
1946-03-01 03:00:00,-04:00
1946-10-01 04:00:00,-03:00
1963-10-01 03:00:00,-04:00
1963-12-15 04:00:00,-03:00
1964-03-01 03:00:00,-04:00
1964-10-15 04:00:00,-03:00
1965-03-01 03:00:00,-04:00
1965-10-15 04:00:00,-03:00
1966-03-01 03:00:00,-04:00
1966-10-15 04:00:00,-03:00
1967-04-02 03:00:00,-04:00
1967-10-01 04:00:00,-03:00
1968-04-07 03:00:00,-04:00
1968-10-06 04:00:00,-03:00
1969-04-06 03:00:00,-04:00
1969-10-05 04:00:00,-03:00
1974-01-23 03:00:00,-02:00
1974-05-01 02:00:00,-03:00
1988-12-01 03:00:00,-02:00
1989-03-05 02:00:00,-03:00
1989-10-15 03:00:00,-02:00
1990-03-04 02:00:00,-03:00
1990-10-21 03:00:00,-02:00
1991-03-03 02:00:00,-04:00
1991-10-20 04:00:00,-02:00
1992-03-01 02:00:00,-03:00
1992-10-18 03:00:00,-02:00
1993-03-07 02:00:00,-03:00
1999-10-03 03:00:00,-03:00
2000-03-03 03:00:00,-03:00
2004-06-01 03:00:00,-04:00
2004-06-13 04:00:00,-03:00
2007-12-30 03:00:00,-02:00
2008-03-16 02:00:00,-03:00
2008-10-19 03:00:00,-02:00
2009-03-15 02:00:00,-03:00
