Time,Offset
1912-04-01T05:52:48,-06:00
1918-10-06T06:00:00,-06:30
1919-02-09T05:30:00,-06:00
1919-10-05T06:00:00,-06:30
1920-02-15T05:30:00,-06:00
1920-10-03T06:00:00,-06:30
1921-02-13T05:30:00,-06:00
1921-10-02T06:00:00,-06:30
1922-02-12T05:30:00,-06:00
1922-10-08T06:00:00,-06:30
1923-02-11T05:30:00,-06:00
1923-10-07T06:00:00,-06:30
1924-02-10T05:30:00,-06:00
1924-10-05T06:00:00,-06:30
1925-02-15T05:30:00,-06:00
1925-10-04T06:00:00,-06:30
1926-02-14T05:30:00,-06:00
1926-10-03T06:00:00,-06:30
1927-02-13T05:30:00,-06:00
1927-10-02T06:00:00,-06:30
1928-02-12T05:30:00,-06:00
1928-10-07T06:00:00,-06:30
1929-02-10T05:30:00,-06:00
1929-10-06T06:00:00,-06:30
1930-02-09T05:30:00,-06:00
1930-10-05T06:00:00,-06:30
1931-02-15T05:30:00,-06:00
1931-10-04T06:00:00,-06:30
1932-02-14T05:30:00,-06:00
1932-10-02T06:00:00,-06:30
1933-02-12T05:30:00,-06:00
1933-10-08T06:00:00,-06:30
1934-02-11T05:30:00,-06:00
1934-10-07T06:00:00,-06:30
1935-02-10T05:30:00,-06:00
1935-10-06T06:00:00,-06:30
1936-02-09T05:30:00,-06:00
1936-10-04T06:00:00,-06:30
1937-02-14T05:30:00,-06:00
1937-10-03T06:00:00,-06:30
1938-02-13T05:30:00,-06:00
1938-10-02T06:00:00,-06:30
1939-02-12T05:30:00,-06:00
1939-10-08T06:00:00,-06:30
1940-02-11T05:30:00,-06:00
1940-10-06T06:00:00,-06:30
1941-02-09T05:30:00,-06:00
1941-10-05T06:00:00,-06:30
1942-02-15T05:30:00,-06:00
1942-06-28T06:00:00,-05:00
1945-08-14T23:00:00,-05:00
1945-12-16T05:00:00,-06:00
1947-10-05T06:00:00,-06:30
1948-02-15T05:30:00,-06:00
1948-10-03T06:00:00,-06:30
1949-02-13T05:30:00,-06:00
1949-10-02T06:00:00,-06:30
1950-02-12T05:30:00,-06:00
1950-10-08T06:00:00,-06:30
1951-02-11T05:30:00,-06:00
1951-10-07T06:00:00,-06:30
1952-02-10T05:30:00,-06:00
1952-10-05T06:00:00,-06:30
1953-02-15T05:30:00,-06:00
1953-10-04T06:00:00,-06:30
1954-02-14T05:30:00,-06:00
1954-10-03T06:00:00,-06:30
1955-02-13T05:30:00,-06:00
1955-10-02T06:00:00,-06:30
1956-02-12T05:30:00,-06:00
1956-10-07T06:00:00,-06:30
1957-02-10T05:30:00,-06:00
1957-10-06T06:00:00,-06:30
1958-02-09T05:30:00,-06:00
1958-10-05T06:00:00,-06:30
1959-02-15T05:30:00,-06:00
1959-10-04T06:00:00,-06:30
1960-02-14T05:30:00,-06:00
1960-10-02T06:00:00,-06:30
1961-02-12T05:30:00,-06:00
1961-10-08T06:00:00,-06:30
1962-02-11T05:30:00,-06:00
1962-10-07T06:00:00,-06:30
1963-02-10T05:30:00,-06:00
1963-10-06T06:00:00,-06:30
1964-02-09T05:30:00,-06:00
1964-10-04T06:00:00,-06:30
1965-02-14T05:30:00,-06:00
1965-10-03T06:00:00,-06:30
1966-02-13T05:30:00,-06:00
1966-10-02T06:00:00,-06:30
1967-02-12T05:30:00,-06:00
1967-10-08T06:00:00,-06:30
1968-02-11T05:30:00,-06:00
1973-12-05T06:00:00,-05:00
1974-02-09T05:00:00,-06:00
1982-12-18T06:00:00,-05:00
1983-02-12T05:00:00,-06:00
