Time,Offset
1922-01-01 06:00:00,-06:00
1981-12-23 06:00:00,-05:00
1996-04-07 07:00:00,-04:00
1996-10-27 06:00:00,-05:00
1997-04-06 07:00:00,-04:00
1997-10-26 06:00:00,-05:00
1998-04-05 07:00:00,-04:00
1998-08-02 06:00:00,-05:00
1998-10-25 07:00:00,-06:00
1999-04-04 08:00:00,-05:00
1999-10-31 07:00:00,-06:00
2000-04-02 08:00:00,-05:00
2000-10-29 07:00:00,-06:00
2001-05-06 08:00:00,-05:00
2001-09-30 07:00:00,-06:00
2002-04-07 08:00:00,-05:00
2002-10-27 07:00:00,-06:00
2003-04-06 08:00:00,-05:00
2003-10-26 07:00:00,-06:00
2004-04-04 08:00:00,-05:00
2004-10-31 07:00:00,-06:00
2005-04-03 08:00:00,-05:00
2005-10-30 07:00:00,-06:00
2006-04-02 08:00:00,-05:00
2006-10-29 07:00:00,-06:00
2007-04-01 08:00:00,-05:00
2007-10-28 07:00:00,-06:00
2008-04-06 08:00:00,-05:00
2008-10-26 07:00:00,-06:00
2009-04-05 08:00:00,-05:00
2009-10-25 07:00:00,-06:00
2010-04-04 08:00:00,-05:00
2010-10-31 07:00:00,-06:00
2011-04-03 08:00:00,-05:00
2011-10-30 07:00:00,-06:00
2012-04-01 08:00:00,-05:00
2012-10-28 07:00:00,-06:00
2013-04-07 08:00:00,-05:00
2013-10-27 07:00:00,-06:00
2014-04-06 08:00:00,-05:00
2014-10-26 07:00:00,-06:00
2015-02-01 08:00:00,-05:00
