Time,Offset
1916-07-28T01:14:40,-03:00
1980-04-06T05:00:00,-02:00
1980-09-28T01:00:00,-03:00
1981-03-29T01:00:00,-02:00
1981-09-27T01:00:00,-03:00
1982-03-28T01:00:00,-02:00
1982-09-26T01:00:00,-03:00
1983-03-27T01:00:00,-02:00
1983-09-25T01:00:00,-03:00
1984-03-25T01:00:00,-02:00
1984-09-30T01:00:00,-03:00
1985-03-31T01:00:00,-02:00
1985-09-29T01:00:00,-03:00
1986-03-30T01:00:00,-02:00
1986-09-28T01:00:00,-03:00
1987-03-29T01:00:00,-02:00
1987-09-27T01:00:00,-03:00
1988-03-27T01:00:00,-02:00
1988-09-25T01:00:00,-03:00
1989-03-26T01:00:00,-02:00
1989-09-24T01:00:00,-03:00
1990-03-25T01:00:00,-02:00
1990-09-30T01:00:00,-03:00
1991-03-31T01:00:00,-02:00
1991-09-29T01:00:00,-03:00
1992-03-29T01:00:00,-02:00
1992-09-27T01:00:00,-03:00
1993-03-28T01:00:00,-02:00
1993-09-26T01:00:00,-03:00
1994-03-27T01:00:00,-02:00
1994-09-25T01:00:00,-03:00
1995-03-26T01:00:00,-02:00
1995-09-24T01:00:00,-03:00
1996-01-01T03:00:00,+00:00
