Time,Offset
1901-12-13T20:45:52,-06:00
1918-03-31T08:00:00,-05:00
1918-10-27T07:00:00,-06:00
1919-03-30T08:00:00,-05:00
1919-10-26T07:00:00,-06:00
1942-02-09T08:00:00,-05:00
1945-08-14T23:00:00,-05:00
1945-09-30T07:00:00,-06:00
1947-04-27T08:00:00,-05:00
1947-09-28T07:00:00,-06:00
1948-04-25T08:00:00,-05:00
1948-09-26T07:00:00,-06:00
1949-04-24T08:00:00,-05:00
1949-09-25T07:00:00,-06:00
1950-04-30T08:00:00,-05:00
1950-09-24T07:00:00,-06:00
1951-04-29T08:00:00,-05:00
1951-09-30T07:00:00,-06:00
1952-04-27T08:00:00,-05:00
1952-09-28T07:00:00,-06:00
1953-04-26T08:00:00,-05:00
1953-09-27T07:00:00,-06:00
1954-04-25T08:00:00,-05:00
1954-09-26T07:00:00,-06:00
1955-04-24T08:00:00,-05:00
1955-10-30T07:00:00,-06:00
1956-04-29T08:00:00,-05:00
1956-10-28T07:00:00,-06:00
1957-04-28T08:00:00,-05:00
1957-09-29T07:00:00,-06:00
1958-04-27T08:00:00,-05:00
1958-09-28T07:00:00,-06:00
1959-04-26T08:00:00,-05:00
1959-10-25T07:00:00,-06:00
1960-04-24T08:00:00,-05:00
1960-10-30T07:00:00,-06:00
1961-04-30T08:00:00,-05:00
1961-10-29T07:00:00,-06:00
1962-04-29T08:00:00,-05:00
1963-10-27T07:00:00,-06:00
1967-04-30T08:00:00,-05:00
1967-10-29T07:00:00,-06:00
1968-04-28T08:00:00,-05:00
1968-10-27T07:00:00,-06:00
1969-04-27T08:00:00,-05:00
1969-10-26T07:00:00,-06:00
1970-04-26T08:00:00,-05:00
1970-10-25T07:00:00,-06:00
1971-04-25T08:00:00,-05:00
1971-10-31T07:00:00,-06:00
1972-04-30T08:00:00,-05:00
1972-10-29T07:00:00,-06:00
1973-04-29T08:00:00,-05:00
1973-10-28T07:00:00,-06:00
1974-01-06T08:00:00,-05:00
1974-10-27T07:00:00,-06:00
1975-02-23T08:00:00,-05:00
1975-10-26T07:00:00,-06:00
1976-04-25T08:00:00,-05:00
1976-10-31T07:00:00,-06:00
1977-04-24T08:00:00,-05:00
1977-10-30T07:00:00,-06:00
1978-04-30T08:00:00,-05:00
1978-10-29T07:00:00,-06:00
1979-04-29T08:00:00,-05:00
1979-10-28T07:00:00,-06:00
1980-04-27T08:00:00,-05:00
1980-10-26T07:00:00,-06:00
1981-04-26T08:00:00,-05:00
1981-10-25T07:00:00,-06:00
1982-04-25T08:00:00,-05:00
1982-10-31T07:00:00,-06:00
1983-04-24T08:00:00,-05:00
1983-10-30T07:00:00,-06:00
1984-04-29T08:00:00,-05:00
1984-10-28T07:00:00,-06:00
1985-04-28T08:00:00,-05:00
1985-10-27T07:00:00,-06:00
1986-04-27T08:00:00,-05:00
1986-10-26T07:00:00,-06:00
1987-04-05T08:00:00,-05:00
1987-10-25T07:00:00,-06:00
1988-04-03T08:00:00,-05:00
1988-10-30T07:00:00,-06:00
1989-04-02T08:00:00,-05:00
1989-10-29T07:00:00,-06:00
1990-04-01T08:00:00,-05:00
1990-10-28T07:00:00,-06:00
1991-04-07T08:00:00,-05:00
1991-10-27T07:00:00,-05:00
2006-04-02T07:00:00,-05:00
2006-10-29T07:00:00,-06:00
2007-03-11T08:00:00,-05:00
2007-11-04T07:00:00,-06:00
2008-03-09T08:00:00,-05:00
2008-11-02T07:00:00,-06:00
2009-03-08T08:00:00,-05:00
2009-11-01T07:00:00,-06:00
2010-03-14T08:00:00,-05:00
2010-11-07T07:00:00,-06:00
2011-03-13T08:00:00,-05:00
2011-11-06T07:00:00,-06:00
2012-03-11T08:00:00,-05:00
2012-11-04T07:00:00,-06:00
2013-03-10T08:00:00,-05:00
2013-11-03T07:00:00,-06:00
2014-03-09T08:00:00,-05:00
2014-11-02T07:00:00,-06:00
2015-03-08T08:00:00,-05:00
2015-11-01T07:00:00,-06:00
2016-03-13T08:00:00,-05:00
2016-11-06T07:00:00,-06:00
2017-03-12T08:00:00,-05:00
2017-11-05T07:00:00,-06:00
2018-03-11T08:00:00,-05:00
2018-11-04T07:00:00,-06:00
2019-03-10T08:00:00,-05:00
2019-11-03T07:00:00,-06:00
2020-03-08T08:00:00,-05:00
2020-11-01T07:00:00,-06:00
2021-03-14T08:00:00,-05:00
2021-11-07T07:00:00,-06:00
2022-03-13T08:00:00,-05:00
2022-11-06T07:00:00,-06:00
2023-03-12T08:00:00,-05:00
2023-11-05T07:00:00,-06:00
2024-03-10T08:00:00,-05:00
2024-11-03T07:00:00,-06:00
2025-03-09T08:00:00,-05:00
2025-11-02T07:00:00,-06:00
2026-03-08T08:00:00,-05:00
2026-11-01T07:00:00,-06:00
2027-03-14T08:00:00,-05:00
2027-11-07T07:00:00,-06:00
2028-03-12T08:00:00,-05:00
2028-11-05T07:00:00,-06:00
2029-03-11T08:00:00,-05:00
2029-11-04T07:00:00,-06:00
2030-03-10T08:00:00,-05:00
2030-11-03T07:00:00,-06:00
2031-03-09T08:00:00,-05:00
2031-11-02T07:00:00,-06:00
2032-03-14T08:00:00,-05:00
2032-11-07T07:00:00,-06:00
2033-03-13T08:00:00,-05:00
2033-11-06T07:00:00,-06:00
2034-03-12T08:00:00,-05:00
2034-11-05T07:00:00,-06:00
2035-03-11T08:00:00,-05:00
2035-11-04T07:00:00,-06:00
2036-03-09T08:00:00,-05:00
2036-11-02T07:00:00,-06:00
2037-03-08T08:00:00,-05:00
2037-11-01T07:00:00,-06:00
