Time,Offset
1901-12-13 20:45:52,-06:00
1918-03-31 08:00:00,-05:00
1918-10-27 07:00:00,-06:00
1919-03-30 08:00:00,-05:00
1919-10-26 07:00:00,-06:00
1942-02-09 08:00:00,-05:00
1945-08-14 23:00:00,-05:00
1945-09-30 07:00:00,-06:00
1946-04-28 08:00:00,-05:00
1946-09-29 07:00:00,-06:00
1947-04-27 08:00:00,-05:00
1947-09-28 07:00:00,-06:00
1948-04-25 08:00:00,-05:00
1948-09-26 07:00:00,-06:00
1949-04-24 08:00:00,-05:00
1949-09-25 07:00:00,-06:00
1950-04-30 08:00:00,-05:00
1950-09-24 07:00:00,-06:00
1951-04-29 08:00:00,-05:00
1951-09-30 07:00:00,-06:00
1952-04-27 08:00:00,-05:00
1952-09-28 07:00:00,-06:00
1953-04-26 08:00:00,-05:00
1953-09-27 07:00:00,-06:00
1954-04-25 08:00:00,-05:00
1954-09-26 07:00:00,-06:00
1955-04-24 08:00:00,-05:00
1955-10-30 07:00:00,-06:00
1956-04-29 08:00:00,-05:00
1956-10-28 07:00:00,-06:00
1957-04-28 08:00:00,-05:00
1957-09-29 07:00:00,-06:00
1958-04-27 08:00:00,-05:00
1958-09-28 07:00:00,-06:00
1959-04-26 08:00:00,-05:00
1959-09-27 07:00:00,-06:00
1960-04-24 08:00:00,-05:00
1960-09-25 07:00:00,-06:00
1961-04-30 08:00:00,-05:00
1969-04-27 07:00:00,-04:00
1969-10-26 06:00:00,-05:00
1970-04-26 07:00:00,-04:00
1970-10-25 06:00:00,-05:00
2006-04-02 07:00:00,-05:00
2006-10-29 07:00:00,-06:00
2007-03-11 08:00:00,-04:00
2007-11-04 06:00:00,-05:00
2008-03-09 07:00:00,-04:00
2008-11-02 06:00:00,-05:00
2009-03-08 07:00:00,-04:00
2009-11-01 06:00:00,-05:00
2010-03-14 07:00:00,-04:00
2010-11-07 06:00:00,-05:00
2011-03-13 07:00:00,-04:00
2011-11-06 06:00:00,-05:00
2012-03-11 07:00:00,-04:00
2012-11-04 06:00:00,-05:00
2013-03-10 07:00:00,-04:00
2013-11-03 06:00:00,-05:00
2014-03-09 07:00:00,-04:00
2014-11-02 06:00:00,-05:00
2015-03-08 07:00:00,-04:00
2015-11-01 06:00:00,-05:00
2016-03-13 07:00:00,-04:00
2016-11-06 06:00:00,-05:00
2017-03-12 07:00:00,-04:00
2017-11-05 06:00:00,-05:00
2018-03-11 07:00:00,-04:00
2018-11-04 06:00:00,-05:00
2019-03-10 07:00:00,-04:00
2019-11-03 06:00:00,-05:00
2020-03-08 07:00:00,-04:00
2020-11-01 06:00:00,-05:00
2021-03-14 07:00:00,-04:00
2021-11-07 06:00:00,-05:00
2022-03-13 07:00:00,-04:00
2022-11-06 06:00:00,-05:00
2023-03-12 07:00:00,-04:00
2023-11-05 06:00:00,-05:00
2024-03-10 07:00:00,-04:00
2024-11-03 06:00:00,-05:00
2025-03-09 07:00:00,-04:00
2025-11-02 06:00:00,-05:00
2026-03-08 07:00:00,-04:00
2026-11-01 06:00:00,-05:00
2027-03-14 07:00:00,-04:00
2027-11-07 06:00:00,-05:00
2028-03-12 07:00:00,-04:00
2028-11-05 06:00:00,-05:00
2029-03-11 07:00:00,-04:00
2029-11-04 06:00:00,-05:00
2030-03-10 07:00:00,-04:00
2030-11-03 06:00:00,-05:00
2031-03-09 07:00:00,-04:00
2031-11-02 06:00:00,-05:00
2032-03-14 07:00:00,-04:00
2032-11-07 06:00:00,-05:00
2033-03-13 07:00:00,-04:00
2033-11-06 06:00:00,-05:00
2034-03-12 07:00:00,-04:00
2034-11-05 06:00:00,-05:00
2035-03-11 07:00:00,-04:00
2035-11-04 06:00:00,-05:00
2036-03-09 07:00:00,-04:00
2036-11-02 06:00:00,-05:00
2037-03-08 07:00:00,-04:00
2037-11-01 06:00:00,-05:00
