Time,Offset
1901-12-13 20:45:52,-06:53
1912-02-01 05:07:10,-05:00
1974-01-06 07:00:00,-04:00
1974-10-27 06:00:00,-05:00
1975-02-23 07:00:00,-04:00
1975-10-26 06:00:00,-05:00
1976-04-25 07:00:00,-04:00
1976-10-31 06:00:00,-05:00
1977-04-24 07:00:00,-04:00
1977-10-30 06:00:00,-05:00
1978-04-30 07:00:00,-04:00
1978-10-29 06:00:00,-05:00
1979-04-29 07:00:00,-04:00
1979-10-28 06:00:00,-05:00
1980-04-27 07:00:00,-04:00
1980-10-26 06:00:00,-05:00
1981-04-26 07:00:00,-04:00
1981-10-25 06:00:00,-05:00
1982-04-25 07:00:00,-04:00
1982-10-31 06:00:00,-05:00
1983-04-24 07:00:00,-04:00
1983-10-30 06:00:00,-05:00
