Time,Offset
1901-12-13T20:45:52,-05:00
1902-06-15T05:00:00,-04:00
1918-04-14T06:00:00,-03:00
1918-10-27T05:00:00,-04:00
1933-06-11T05:00:00,-03:00
1933-09-10T04:00:00,-04:00
1934-06-10T05:00:00,-03:00
1934-09-09T04:00:00,-04:00
1935-06-09T05:00:00,-03:00
1935-09-08T04:00:00,-04:00
1936-06-07T05:00:00,-03:00
1936-09-06T04:00:00,-04:00
1937-06-06T05:00:00,-03:00
1937-09-05T04:00:00,-04:00
1938-06-05T05:00:00,-03:00
1938-09-04T04:00:00,-04:00
1939-05-27T05:00:00,-03:00
1939-09-23T04:00:00,-04:00
1940-05-19T05:00:00,-03:00
1940-09-21T04:00:00,-04:00
1941-05-04T05:00:00,-03:00
1941-09-27T04:00:00,-04:00
1942-02-09T06:00:00,-03:00
1945-08-14T23:00:00,-03:00
1945-09-30T05:00:00,-04:00
1946-04-28T06:00:00,-03:00
1946-09-29T05:00:00,-04:00
1947-04-27T06:00:00,-03:00
1947-09-28T05:00:00,-04:00
1948-04-25T06:00:00,-03:00
1948-09-26T05:00:00,-04:00
1949-04-24T06:00:00,-03:00
1949-09-25T05:00:00,-04:00
1950-04-30T06:00:00,-03:00
1950-09-24T05:00:00,-04:00
1951-04-29T06:00:00,-03:00
1951-09-30T05:00:00,-04:00
1952-04-27T06:00:00,-03:00
1952-09-28T05:00:00,-04:00
1953-04-26T06:00:00,-03:00
1953-09-27T05:00:00,-04:00
1954-04-25T06:00:00,-03:00
1954-09-26T05:00:00,-04:00
1955-04-24T06:00:00,-03:00
1955-09-25T05:00:00,-04:00
1956-04-29T06:00:00,-03:00
1956-09-30T05:00:00,-04:00
1957-04-28T06:00:00,-03:00
1957-10-27T05:00:00,-04:00
1958-04-27T06:00:00,-03:00
1958-10-26T05:00:00,-04:00
1959-04-26T06:00:00,-03:00
1959-10-25T05:00:00,-04:00
1960-04-24T06:00:00,-03:00
1960-10-30T05:00:00,-04:00
1961-04-30T06:00:00,-03:00
1961-10-29T05:00:00,-04:00
1962-04-29T06:00:00,-03:00
1962-10-28T05:00:00,-04:00
1963-04-28T06:00:00,-03:00
1963-10-27T05:00:00,-04:00
1964-04-26T06:00:00,-03:00
1964-10-25T05:00:00,-04:00
1965-04-25T06:00:00,-03:00
1965-10-31T05:00:00,-04:00
1966-04-24T06:00:00,-03:00
1966-10-30T05:00:00,-04:00
1967-04-30T06:00:00,-03:00
1967-10-29T05:00:00,-04:00
1968-04-28T06:00:00,-03:00
1968-10-27T05:00:00,-04:00
1969-04-27T06:00:00,-03:00
1969-10-26T05:00:00,-04:00
1970-04-26T06:00:00,-03:00
1970-10-25T05:00:00,-04:00
1971-04-25T06:00:00,-03:00
1971-10-31T05:00:00,-04:00
1972-04-30T06:00:00,-03:00
1972-10-29T05:00:00,-04:00
1974-04-28T06:00:00,-03:00
1974-10-27T05:00:00,-04:00
1975-04-27T06:00:00,-03:00
1975-10-26T05:00:00,-04:00
1976-04-25T06:00:00,-03:00
1976-10-31T05:00:00,-04:00
1977-04-24T06:00:00,-03:00
1977-10-30T05:00:00,-04:00
1978-04-30T06:00:00,-03:00
1978-10-29T05:00:00,-04:00
1979-04-29T06:00:00,-03:00
1979-10-28T05:00:00,-04:00
1980-04-27T06:00:00,-03:00
1980-10-26T05:00:00,-04:00
1981-04-26T06:00:00,-03:00
1981-10-25T05:00:00,-04:00
1982-04-25T06:00:00,-03:00
1982-10-31T05:00:00,-04:00
1983-04-24T06:00:00,-03:00
1983-10-30T05:00:00,-04:00
1984-04-29T06:00:00,-03:00
1984-10-28T05:00:00,-04:00
1985-04-28T06:00:00,-03:00
1985-10-27T05:00:00,-04:00
1986-04-27T06:00:00,-03:00
1986-10-26T05:00:00,-04:00
1987-04-05T06:00:00,-03:00
1987-10-25T05:00:00,-04:00
1988-04-03T06:00:00,-03:00
1988-10-30T05:00:00,-04:00
1989-04-02T06:00:00,-03:00
1989-10-29T05:00:00,-04:00
1990-04-01T06:00:00,-03:00
1990-10-28T05:00:00,-04:00
1991-04-07T06:00:00,-03:00
1991-10-27T05:00:00,-04:00
1992-04-05T06:00:00,-03:00
1992-10-25T05:00:00,-04:00
1993-04-04T04:01:00,-03:00
1993-10-31T03:01:00,-04:00
1994-04-03T04:01:00,-03:00
1994-10-30T03:01:00,-04:00
1995-04-02T04:01:00,-03:00
1995-10-29T03:01:00,-04:00
1996-04-07T04:01:00,-03:00
1996-10-27T03:01:00,-04:00
1997-04-06T04:01:00,-03:00
1997-10-26T03:01:00,-04:00
1998-04-05T04:01:00,-03:00
1998-10-25T03:01:00,-04:00
1999-04-04T04:01:00,-03:00
1999-10-31T03:01:00,-04:00
2000-04-02T04:01:00,-03:00
2000-10-29T03:01:00,-04:00
2001-04-01T04:01:00,-03:00
2001-10-28T03:01:00,-04:00
2002-04-07T04:01:00,-03:00
2002-10-27T03:01:00,-04:00
2003-04-06T04:01:00,-03:00
2003-10-26T03:01:00,-04:00
2004-04-04T04:01:00,-03:00
2004-10-31T03:01:00,-04:00
2005-04-03T04:01:00,-03:00
2005-10-30T03:01:00,-04:00
2006-04-02T04:01:00,-03:00
2006-10-29T03:01:00,-04:00
2007-03-11T06:00:00,-03:00
2007-11-04T05:00:00,-04:00
2008-03-09T06:00:00,-03:00
2008-11-02T05:00:00,-04:00
2009-03-08T06:00:00,-03:00
2009-11-01T05:00:00,-04:00
2010-03-14T06:00:00,-03:00
2010-11-07T05:00:00,-04:00
2011-03-13T06:00:00,-03:00
2011-11-06T05:00:00,-04:00
2012-03-11T06:00:00,-03:00
2012-11-04T05:00:00,-04:00
2013-03-10T06:00:00,-03:00
2013-11-03T05:00:00,-04:00
2014-03-09T06:00:00,-03:00
2014-11-02T05:00:00,-04:00
2015-03-08T06:00:00,-03:00
2015-11-01T05:00:00,-04:00
2016-03-13T06:00:00,-03:00
2016-11-06T05:00:00,-04:00
2017-03-12T06:00:00,-03:00
2017-11-05T05:00:00,-04:00
2018-03-11T06:00:00,-03:00
2018-11-04T05:00:00,-04:00
2019-03-10T06:00:00,-03:00
2019-11-03T05:00:00,-04:00
2020-03-08T06:00:00,-03:00
2020-11-01T05:00:00,-04:00
2021-03-14T06:00:00,-03:00
2021-11-07T05:00:00,-04:00
2022-03-13T06:00:00,-03:00
2022-11-06T05:00:00,-04:00
2023-03-12T06:00:00,-03:00
2023-11-05T05:00:00,-04:00
2024-03-10T06:00:00,-03:00
2024-11-03T05:00:00,-04:00
2025-03-09T06:00:00,-03:00
2025-11-02T05:00:00,-04:00
2026-03-08T06:00:00,-03:00
2026-11-01T05:00:00,-04:00
2027-03-14T06:00:00,-03:00
2027-11-07T05:00:00,-04:00
2028-03-12T06:00:00,-03:00
2028-11-05T05:00:00,-04:00
2029-03-11T06:00:00,-03:00
2029-11-04T05:00:00,-04:00
2030-03-10T06:00:00,-03:00
2030-11-03T05:00:00,-04:00
2031-03-09T06:00:00,-03:00
2031-11-02T05:00:00,-04:00
2032-03-14T06:00:00,-03:00
2032-11-07T05:00:00,-04:00
2033-03-13T06:00:00,-03:00
2033-11-06T05:00:00,-04:00
2034-03-12T06:00:00,-03:00
2034-11-05T05:00:00,-04:00
2035-03-11T06:00:00,-03:00
2035-11-04T05:00:00,-04:00
2036-03-09T06:00:00,-03:00
2036-11-02T05:00:00,-04:00
2037-03-08T06:00:00,-03:00
2037-11-01T05:00:00,-04:00
