Time,Offset
1908-06-10 03:44:51,-04:15
1920-05-01 03:44:51,-04:00
1923-10-01 04:00:00,-03:00
1924-04-01 03:00:00,-04:30
1924-10-01 03:30:00,-03:00
1925-04-01 03:00:00,-04:30
1925-10-01 03:30:00,-03:00
1926-04-01 03:00:00,-04:30
1933-10-29 03:30:00,-03:00
1934-04-01 03:00:00,-04:30
1934-10-28 03:30:00,-03:00
1935-03-31 03:00:00,-04:30
1935-10-27 03:30:00,-03:00
1936-03-29 03:00:00,-04:30
1936-10-25 03:30:00,-03:00
1937-03-28 03:00:00,-04:30
1937-10-31 03:30:00,-03:00
1938-03-27 03:00:00,-04:30
1938-10-30 03:30:00,-03:00
1939-03-26 03:00:00,-04:30
1939-10-01 03:30:00,-03:00
1940-03-31 03:00:00,-04:30
1940-10-27 03:30:00,-03:00
1941-03-30 03:00:00,-04:30
1941-08-01 03:30:00,-03:00
1942-12-14 03:00:00,-03:30
1943-03-14 02:30:00,-03:00
1959-05-24 03:00:00,-03:30
1959-11-15 02:30:00,-03:00
1960-01-17 03:00:00,-02:00
1960-03-06 02:00:00,-03:00
1965-04-04 03:00:00,-02:00
1965-09-26 02:00:00,-03:00
1968-05-27 03:00:00,-03:30
1968-12-01 02:30:00,-03:00
1970-04-25 03:00:00,-02:00
1970-06-14 02:00:00,-03:00
1972-04-23 03:00:00,-02:00
1972-07-16 02:00:00,-03:00
1974-01-13 03:00:00,-02:30
1974-03-10 01:30:00,-03:30
1974-09-01 02:30:00,-03:00
1974-12-22 03:00:00,-02:00
1975-03-30 02:00:00,-03:00
1976-12-19 03:00:00,-02:00
1977-03-06 02:00:00,-03:00
1977-12-04 03:00:00,-02:00
1978-03-05 02:00:00,-03:00
1978-12-17 03:00:00,-02:00
1979-03-04 02:00:00,-03:00
1979-04-29 03:00:00,-02:00
1980-03-16 02:00:00,-03:00
1987-12-14 03:00:00,-02:00
1988-02-28 02:00:00,-03:00
1988-12-11 03:00:00,-02:00
1989-03-05 02:00:00,-03:00
1989-10-29 03:00:00,-02:00
1990-02-25 02:00:00,-03:00
1990-10-21 03:00:00,-02:00
1991-03-03 02:00:00,-03:00
1991-10-27 03:00:00,-02:00
1992-03-01 02:00:00,-03:00
1992-10-18 03:00:00,-02:00
1993-02-28 02:00:00,-03:00
2004-09-19 03:00:00,-02:00
2005-03-27 04:00:00,-03:00
2005-10-09 05:00:00,-02:00
2006-03-12 04:00:00,-03:00
2006-10-01 05:00:00,-02:00
2007-03-11 04:00:00,-03:00
2007-10-07 05:00:00,-02:00
2008-03-09 04:00:00,-03:00
2008-10-05 05:00:00,-02:00
2009-03-08 04:00:00,-03:00
2009-10-04 05:00:00,-02:00
2010-03-14 04:00:00,-03:00
2010-10-03 05:00:00,-02:00
2011-03-13 04:00:00,-03:00
2011-10-02 05:00:00,-02:00
2012-03-11 04:00:00,-03:00
2012-10-07 05:00:00,-02:00
2013-03-10 04:00:00,-03:00
2013-10-06 05:00:00,-02:00
2014-03-09 04:00:00,-03:00
2014-10-05 05:00:00,-02:00
2015-03-08 04:00:00,-03:00
