Time,Offset
1901-12-13 20:45:52,-05:00
1918-04-14 07:00:00,-04:00
1918-10-27 06:00:00,-05:00
1919-03-31 04:30:00,-04:00
1919-10-26 04:00:00,-05:00
1920-05-02 07:00:00,-04:00
1920-09-26 04:00:00,-05:00
1921-05-15 07:00:00,-04:00
1921-09-15 06:00:00,-05:00
1922-05-14 07:00:00,-04:00
1922-09-17 06:00:00,-05:00
1923-05-13 07:00:00,-04:00
1923-09-16 06:00:00,-05:00
1924-05-04 07:00:00,-04:00
1924-09-21 06:00:00,-05:00
1925-05-03 07:00:00,-04:00
1925-09-20 06:00:00,-05:00
1926-05-02 07:00:00,-04:00
1926-09-19 06:00:00,-05:00
1927-05-01 07:00:00,-04:00
1927-09-25 06:00:00,-05:00
1928-04-29 07:00:00,-04:00
1928-09-30 06:00:00,-05:00
1929-04-28 07:00:00,-04:00
1929-09-29 06:00:00,-05:00
1930-04-27 07:00:00,-04:00
1930-09-28 06:00:00,-05:00
1931-04-26 07:00:00,-04:00
1931-09-27 06:00:00,-05:00
1932-05-01 07:00:00,-04:00
1932-09-25 06:00:00,-05:00
1933-04-30 07:00:00,-04:00
1933-10-01 06:00:00,-05:00
1934-04-29 07:00:00,-04:00
1934-09-30 06:00:00,-05:00
1935-04-28 07:00:00,-04:00
1935-09-29 06:00:00,-05:00
1936-04-26 07:00:00,-04:00
1936-09-27 06:00:00,-05:00
1937-04-25 07:00:00,-04:00
1937-09-26 06:00:00,-05:00
1938-04-24 07:00:00,-04:00
1938-09-25 06:00:00,-05:00
1939-04-30 07:00:00,-04:00
1939-09-24 06:00:00,-05:00
1940-04-28 07:00:00,-04:00
1942-02-09 07:00:00,-04:00
1945-08-14 23:00:00,-04:00
1945-09-30 06:00:00,-05:00
1946-04-28 07:00:00,-04:00
1946-09-29 06:00:00,-05:00
1947-04-27 07:00:00,-04:00
1947-09-28 06:00:00,-05:00
1948-04-25 07:00:00,-04:00
1948-09-26 06:00:00,-05:00
1949-04-24 07:00:00,-04:00
1949-11-27 06:00:00,-05:00
1950-04-30 07:00:00,-04:00
1950-11-26 06:00:00,-05:00
1951-04-29 07:00:00,-04:00
1951-09-30 06:00:00,-05:00
1952-04-27 07:00:00,-04:00
1952-09-28 06:00:00,-05:00
1953-04-26 07:00:00,-04:00
1953-09-27 06:00:00,-05:00
1954-04-25 07:00:00,-04:00
1954-09-26 06:00:00,-05:00
1955-04-24 07:00:00,-04:00
1955-09-25 06:00:00,-05:00
1956-04-29 07:00:00,-04:00
1956-09-30 06:00:00,-05:00
1957-04-28 07:00:00,-04:00
1957-10-27 06:00:00,-05:00
1958-04-27 07:00:00,-04:00
1958-10-26 06:00:00,-05:00
1959-04-26 07:00:00,-04:00
1959-10-25 06:00:00,-05:00
1960-04-24 07:00:00,-04:00
1960-10-30 06:00:00,-05:00
1961-04-30 07:00:00,-04:00
1961-10-29 06:00:00,-05:00
1962-04-29 07:00:00,-04:00
1962-10-28 06:00:00,-05:00
1963-04-28 07:00:00,-04:00
1963-10-27 06:00:00,-05:00
1964-04-26 07:00:00,-04:00
1964-10-25 06:00:00,-05:00
1965-04-25 07:00:00,-04:00
1965-10-31 06:00:00,-05:00
1966-04-24 07:00:00,-04:00
1966-10-30 06:00:00,-05:00
1967-04-30 07:00:00,-04:00
1967-10-29 06:00:00,-05:00
1968-04-28 07:00:00,-04:00
1968-10-27 06:00:00,-05:00
1969-04-27 07:00:00,-04:00
1969-10-26 06:00:00,-05:00
1970-04-26 07:00:00,-04:00
1970-10-25 06:00:00,-05:00
1971-04-25 07:00:00,-04:00
1971-10-31 06:00:00,-05:00
1972-04-30 07:00:00,-04:00
1972-10-29 06:00:00,-05:00
1973-04-29 07:00:00,-04:00
1973-10-28 06:00:00,-05:00
1974-04-28 07:00:00,-04:00
1974-10-27 06:00:00,-05:00
1975-04-27 07:00:00,-04:00
1975-10-26 06:00:00,-05:00
1976-04-25 07:00:00,-04:00
1976-10-31 06:00:00,-05:00
1977-04-24 07:00:00,-04:00
1977-10-30 06:00:00,-05:00
1978-04-30 07:00:00,-04:00
1978-10-29 06:00:00,-05:00
1979-04-29 07:00:00,-04:00
1979-10-28 06:00:00,-05:00
1980-04-27 07:00:00,-04:00
1980-10-26 06:00:00,-05:00
1981-04-26 07:00:00,-04:00
1981-10-25 06:00:00,-05:00
1982-04-25 07:00:00,-04:00
1982-10-31 06:00:00,-05:00
1983-04-24 07:00:00,-04:00
1983-10-30 06:00:00,-05:00
1984-04-29 07:00:00,-04:00
1984-10-28 06:00:00,-05:00
1985-04-28 07:00:00,-04:00
1985-10-27 06:00:00,-05:00
