Time,Offset
1914-01-01T04:31:12,-05:00
1931-10-03T16:00:00,-04:00
1932-04-01T04:00:00,-05:00
1932-10-03T05:00:00,-04:00
1933-04-01T04:00:00,-05:00
1949-12-01T05:00:00,-04:00
1950-04-16T05:00:00,-05:00
1950-12-01T05:00:00,-04:00
1951-04-01T04:00:00,-05:00
1951-12-01T05:00:00,-04:00
1952-04-01T04:00:00,-05:00
1952-12-01T05:00:00,-04:00
1953-03-01T04:00:00,-05:00
1963-12-09T05:00:00,-04:00
1964-03-01T04:00:00,-05:00
1965-01-31T05:00:00,-04:00
1965-03-31T04:00:00,-05:00
1965-12-01T05:00:00,-04:00
1966-03-01T04:00:00,-05:00
1966-11-01T05:00:00,-04:00
1967-03-01T04:00:00,-05:00
1967-11-01T05:00:00,-04:00
1968-03-01T04:00:00,-05:00
1985-11-02T05:00:00,-04:00
1986-03-15T04:00:00,-05:00
1986-10-25T05:00:00,-04:00
1987-02-14T04:00:00,-05:00
1987-10-25T05:00:00,-04:00
1988-02-07T04:00:00,-05:00
2008-06-24T05:00:00,-04:00
2013-11-10T04:00:00,-05:00
