Time,Offset
1914-01-01 04:15:36,-04:00
1931-10-03 15:00:00,-03:00
1932-04-01 03:00:00,-04:00
1932-10-03 04:00:00,-03:00
1933-04-01 03:00:00,-04:00
1949-12-01 04:00:00,-03:00
1950-04-16 04:00:00,-04:00
1950-12-01 04:00:00,-03:00
1951-04-01 03:00:00,-04:00
1951-12-01 04:00:00,-03:00
1952-04-01 03:00:00,-04:00
1952-12-01 04:00:00,-03:00
1953-03-01 03:00:00,-04:00
1963-12-09 04:00:00,-03:00
1964-03-01 03:00:00,-04:00
1965-01-31 04:00:00,-03:00
1965-03-31 03:00:00,-04:00
1965-12-01 04:00:00,-03:00
1966-03-01 03:00:00,-04:00
1966-11-01 04:00:00,-03:00
1967-03-01 03:00:00,-04:00
1967-11-01 04:00:00,-03:00
1968-03-01 03:00:00,-04:00
1985-11-02 04:00:00,-03:00
1986-03-15 03:00:00,-04:00
1986-10-25 04:00:00,-03:00
1987-02-14 03:00:00,-04:00
1987-10-25 04:00:00,-03:00
1988-02-07 03:00:00,-04:00
