Time,Offset
1901-12-13T20:45:52,-09:00
1918-04-14T11:00:00,-08:00
1918-10-27T10:00:00,-09:00
1919-05-25T11:00:00,-08:00
1919-11-01T08:00:00,-09:00
1942-02-09T11:00:00,-08:00
1945-08-14T23:00:00,-08:00
1945-09-30T10:00:00,-09:00
1965-04-25T09:00:00,-07:00
1965-10-31T09:00:00,-09:00
1966-02-27T09:00:00,-08:00
1980-04-27T10:00:00,-07:00
1980-10-26T09:00:00,-08:00
1981-04-26T10:00:00,-07:00
1981-10-25T09:00:00,-08:00
1982-04-25T10:00:00,-07:00
1982-10-31T09:00:00,-08:00
1983-04-24T10:00:00,-07:00
1983-10-30T09:00:00,-08:00
1984-04-29T10:00:00,-07:00
1984-10-28T09:00:00,-08:00
1985-04-28T10:00:00,-07:00
1985-10-27T09:00:00,-08:00
1986-04-27T10:00:00,-07:00
1986-10-26T09:00:00,-08:00
1987-04-05T10:00:00,-07:00
1987-10-25T09:00:00,-08:00
1988-04-03T10:00:00,-07:00
1988-10-30T09:00:00,-08:00
1989-04-02T10:00:00,-07:00
1989-10-29T09:00:00,-08:00
1990-04-01T10:00:00,-07:00
1990-10-28T09:00:00,-08:00
1991-04-07T10:00:00,-07:00
1991-10-27T09:00:00,-08:00
1992-04-05T10:00:00,-07:00
1992-10-25T09:00:00,-08:00
1993-04-04T10:00:00,-07:00
1993-10-31T09:00:00,-08:00
1994-04-03T10:00:00,-07:00
1994-10-30T09:00:00,-08:00
1995-04-02T10:00:00,-07:00
1995-10-29T09:00:00,-08:00
1996-04-07T10:00:00,-07:00
1996-10-27T09:00:00,-08:00
1997-04-06T10:00:00,-07:00
1997-10-26T09:00:00,-08:00
1998-04-05T10:00:00,-07:00
1998-10-25T09:00:00,-08:00
1999-04-04T10:00:00,-07:00
1999-10-31T09:00:00,-08:00
2000-04-02T10:00:00,-07:00
2000-10-29T09:00:00,-08:00
2001-04-01T10:00:00,-07:00
2001-10-28T09:00:00,-08:00
2002-04-07T10:00:00,-07:00
2002-10-27T09:00:00,-08:00
2003-04-06T10:00:00,-07:00
2003-10-26T09:00:00,-08:00
2004-04-04T10:00:00,-07:00
2004-10-31T09:00:00,-08:00
2005-04-03T10:00:00,-07:00
2005-10-30T09:00:00,-08:00
2006-04-02T10:00:00,-07:00
2006-10-29T09:00:00,-08:00
2007-03-11T10:00:00,-07:00
2007-11-04T09:00:00,-08:00
2008-03-09T10:00:00,-07:00
2008-11-02T09:00:00,-08:00
2009-03-08T10:00:00,-07:00
2009-11-01T09:00:00,-08:00
2010-03-14T10:00:00,-07:00
2010-11-07T09:00:00,-08:00
2011-03-13T10:00:00,-07:00
2011-11-06T09:00:00,-08:00
2012-03-11T10:00:00,-07:00
2012-11-04T09:00:00,-08:00
2013-03-10T10:00:00,-07:00
2013-11-03T09:00:00,-08:00
2014-03-09T10:00:00,-07:00
2014-11-02T09:00:00,-08:00
2015-03-08T10:00:00,-07:00
2015-11-01T09:00:00,-08:00
2016-03-13T10:00:00,-07:00
2016-11-06T09:00:00,-08:00
2017-03-12T10:00:00,-07:00
2017-11-05T09:00:00,-08:00
2018-03-11T10:00:00,-07:00
2018-11-04T09:00:00,-08:00
2019-03-10T10:00:00,-07:00
2019-11-03T09:00:00,-08:00
2020-03-08T10:00:00,-07:00
2020-11-01T07:00:00,-07:00
