Time,Offset
0001-01-01 00:00:00,+00:00
1901-12-13 20:45:52,+10:00
1916-09-30 16:00:00,+11:00
1917-03-24 16:00:00,+10:00
1919-03-31 14:00:00,+00:00
1948-03-25 00:00:00,+10:00
1967-09-30 16:00:00,+11:00
1968-03-30 16:00:00,+10:00
1968-10-26 16:00:00,+11:00
1969-03-08 16:00:00,+10:00
1969-10-25 16:00:00,+11:00
1970-03-07 16:00:00,+10:00
1970-10-24 16:00:00,+11:00
1971-03-13 16:00:00,+10:00
1971-10-30 16:00:00,+11:00
1972-02-26 16:00:00,+10:00
1972-10-28 16:00:00,+11:00
1973-03-03 16:00:00,+10:00
1973-10-27 16:00:00,+11:00
1974-03-02 16:00:00,+10:00
1974-10-26 16:00:00,+11:00
1975-03-01 16:00:00,+10:00
1975-10-25 16:00:00,+11:00
1976-03-06 16:00:00,+10:00
1976-10-30 16:00:00,+11:00
1977-03-05 16:00:00,+10:00
1977-10-29 16:00:00,+11:00
1978-03-04 16:00:00,+10:00
1978-10-28 16:00:00,+11:00
1979-03-03 16:00:00,+10:00
1979-10-27 16:00:00,+11:00
1980-03-01 16:00:00,+10:00
1980-10-25 16:00:00,+11:00
1981-02-28 16:00:00,+10:00
1981-10-24 16:00:00,+11:00
1982-03-27 16:00:00,+10:00
1982-10-30 16:00:00,+11:00
1983-03-26 16:00:00,+10:00
1983-10-29 16:00:00,+11:00
1984-03-03 16:00:00,+10:00
1984-10-27 16:00:00,+11:00
1985-03-02 16:00:00,+10:00
1985-10-26 16:00:00,+11:00
1986-03-01 16:00:00,+10:00
1986-10-18 16:00:00,+11:00
1987-03-14 16:00:00,+10:00
1987-10-24 16:00:00,+11:00
1988-03-19 16:00:00,+10:00
1988-10-29 16:00:00,+11:00
1989-03-18 16:00:00,+10:00
1989-10-28 16:00:00,+11:00
1990-03-17 16:00:00,+10:00
1990-10-27 16:00:00,+11:00
1991-03-30 16:00:00,+10:00
1991-10-05 16:00:00,+11:00
1992-03-28 16:00:00,+10:00
1992-10-03 16:00:00,+11:00
1993-03-27 16:00:00,+10:00
1993-10-02 16:00:00,+11:00
1994-03-26 16:00:00,+10:00
1994-10-01 16:00:00,+11:00
1995-03-25 16:00:00,+10:00
1995-09-30 16:00:00,+11:00
1996-03-30 16:00:00,+10:00
1996-10-05 16:00:00,+11:00
1997-03-29 16:00:00,+10:00
1997-10-04 16:00:00,+11:00
1998-03-28 16:00:00,+10:00
1998-10-03 16:00:00,+11:00
1999-03-27 16:00:00,+10:00
1999-10-02 16:00:00,+11:00
2000-03-25 16:00:00,+10:00
2000-08-26 16:00:00,+11:00
2001-03-24 16:00:00,+10:00
2001-10-06 16:00:00,+11:00
2002-03-30 16:00:00,+10:00
2002-10-05 16:00:00,+11:00
2003-03-29 16:00:00,+10:00
2003-10-04 16:00:00,+11:00
2004-03-27 16:00:00,+10:00
2004-10-02 16:00:00,+11:00
2005-03-26 16:00:00,+10:00
2005-10-01 16:00:00,+11:00
2006-04-01 16:00:00,+10:00
2006-09-30 16:00:00,+11:00
2007-03-24 16:00:00,+10:00
2007-10-06 16:00:00,+11:00
2008-04-05 16:00:00,+10:00
2008-10-04 16:00:00,+11:00
2009-04-04 16:00:00,+10:00
2009-10-03 16:00:00,+11:00
2011-04-02 16:00:00,+10:00
2011-10-01 16:00:00,+11:00
2012-03-31 16:00:00,+10:00
2012-10-06 16:00:00,+11:00
2013-04-06 16:00:00,+10:00
2013-10-05 16:00:00,+11:00
2014-04-05 16:00:00,+10:00
2014-10-04 16:00:00,+11:00
2015-04-04 16:00:00,+10:00
2015-10-03 16:00:00,+11:00
2016-04-02 16:00:00,+10:00
2016-10-01 16:00:00,+11:00
2017-04-01 16:00:00,+10:00
2017-09-30 16:00:00,+11:00
2018-03-31 16:00:00,+10:00
2018-10-06 16:00:00,+11:00
2019-04-06 16:00:00,+10:00
2019-10-05 16:00:00,+11:00
2020-04-04 16:00:00,+10:00
2020-10-03 16:00:00,+11:00
2021-04-03 16:00:00,+10:00
2021-10-02 16:00:00,+11:00
2022-04-02 16:00:00,+10:00
2022-10-01 16:00:00,+11:00
2023-04-01 16:00:00,+10:00
2023-09-30 16:00:00,+11:00
2024-04-06 16:00:00,+10:00
2024-10-05 16:00:00,+11:00
2025-04-05 16:00:00,+10:00
2025-10-04 16:00:00,+11:00
2026-04-04 16:00:00,+10:00
2026-10-03 16:00:00,+11:00
2027-04-03 16:00:00,+10:00
2027-10-02 16:00:00,+11:00
2028-04-01 16:00:00,+10:00
2028-09-30 16:00:00,+11:00
2029-03-31 16:00:00,+10:00
2029-10-06 16:00:00,+11:00
2030-04-06 16:00:00,+10:00
2030-10-05 16:00:00,+11:00
2031-04-05 16:00:00,+10:00
2031-10-04 16:00:00,+11:00
2032-04-03 16:00:00,+10:00
2032-10-02 16:00:00,+11:00
2033-04-02 16:00:00,+10:00
2033-10-01 16:00:00,+11:00
2034-04-01 16:00:00,+10:00
2034-09-30 16:00:00,+11:00
2035-03-31 16:00:00,+10:00
2035-10-06 16:00:00,+11:00
2036-04-05 16:00:00,+10:00
2036-10-04 16:00:00,+11:00
2037-04-04 16:00:00,+10:00
2037-10-03 16:00:00,+11:00
