Time,Offset
0001-01-01 00:00:00,+00:00
1965-01-01 00:00:00,-03:00
1965-03-01 03:00:00,-04:00
1965-10-15 04:00:00,-03:00
1966-03-01 03:00:00,-04:00
1966-10-15 04:00:00,-03:00
1967-04-02 03:00:00,-04:00
1967-10-01 04:00:00,-03:00
1968-04-07 03:00:00,-04:00
1968-10-06 04:00:00,-03:00
1969-04-06 03:00:00,-04:00
1969-10-05 04:00:00,-03:00
1974-01-23 03:00:00,-02:00
1974-05-01 02:00:00,-03:00
1982-05-01 03:00:00,-04:00
1982-10-10 04:00:00,-03:00
1983-03-13 03:00:00,-04:00
1983-10-09 04:00:00,-03:00
1984-03-11 03:00:00,-04:00
1984-10-14 04:00:00,-03:00
1985-03-10 03:00:00,-04:00
1985-10-13 04:00:00,-03:00
1986-03-09 03:00:00,-04:00
1986-10-12 04:00:00,-03:00
1987-04-12 03:00:00,-04:00
1987-10-11 04:00:00,-03:00
1988-03-13 03:00:00,-04:00
1988-10-09 04:00:00,-03:00
1989-03-12 03:00:00,-04:00
1989-10-15 04:00:00,-03:00
1990-03-11 03:00:00,-04:00
1990-09-16 04:00:00,-03:00
1991-03-10 03:00:00,-04:00
1991-10-13 04:00:00,-03:00
1992-03-15 03:00:00,-04:00
1992-10-11 04:00:00,-03:00
1993-03-14 03:00:00,-04:00
1993-10-10 04:00:00,-03:00
1994-03-13 03:00:00,-04:00
1994-10-09 04:00:00,-03:00
1995-03-12 03:00:00,-04:00
1995-10-15 04:00:00,-03:00
1996-03-10 03:00:00,-04:00
1996-10-13 04:00:00,-03:00
1997-03-30 03:00:00,-04:00
1997-10-12 04:00:00,-03:00
1998-03-15 03:00:00,-04:00
1998-09-27 04:00:00,-03:00
1999-04-04 03:00:00,-04:00
1999-10-10 04:00:00,-03:00
2000-03-12 03:00:00,-04:00
2000-10-15 04:00:00,-03:00
2001-03-11 03:00:00,-04:00
2001-10-14 04:00:00,-03:00
2002-03-10 03:00:00,-04:00
2002-10-13 04:00:00,-03:00
2003-03-09 03:00:00,-04:00
2003-10-12 04:00:00,-03:00
2004-03-14 03:00:00,-04:00
2004-10-10 04:00:00,-03:00
2005-03-13 03:00:00,-04:00
2005-10-09 04:00:00,-03:00
2006-03-12 03:00:00,-04:00
2006-10-15 04:00:00,-03:00
2007-03-11 03:00:00,-04:00
2007-10-14 04:00:00,-03:00
2008-03-30 03:00:00,-04:00
2008-10-12 04:00:00,-03:00
2009-03-15 03:00:00,-04:00
2009-10-11 04:00:00,-03:00
2010-04-04 03:00:00,-04:00
2010-10-10 04:00:00,-03:00
2011-05-08 03:00:00,-04:00
2011-08-21 04:00:00,-03:00
2012-04-29 03:00:00,-04:00
2012-09-02 04:00:00,-03:00
2013-04-28 03:00:00,-04:00
2013-09-08 04:00:00,-03:00
2014-04-27 03:00:00,-04:00
2014-09-07 04:00:00,-03:00
2016-05-15 03:00:00,-04:00
2016-08-14 04:00:00,-03:00
2016-12-04 03:00:00,-03:00
