Time,Offset
0001-01-01 00:00:00,+00:00
2005-02-12 00:00:00,+00:00
2005-03-27 01:00:00,+02:00
2005-10-30 01:00:00,+00:00
2006-03-26 01:00:00,+02:00
2006-10-29 01:00:00,+00:00
2007-03-25 01:00:00,+02:00
2007-10-28 01:00:00,+00:00
2008-03-30 01:00:00,+02:00
2008-10-26 01:00:00,+00:00
2009-03-29 01:00:00,+02:00
2009-10-25 01:00:00,+00:00
2010-03-28 01:00:00,+02:00
2010-10-31 01:00:00,+00:00
2011-03-27 01:00:00,+02:00
2011-10-30 01:00:00,+00:00
2012-03-25 01:00:00,+02:00
2012-10-28 01:00:00,+00:00
2013-03-31 01:00:00,+02:00
2013-10-27 01:00:00,+00:00
2014-03-30 01:00:00,+02:00
2014-10-26 01:00:00,+00:00
2015-03-29 01:00:00,+02:00
2015-10-25 01:00:00,+00:00
2016-03-27 01:00:00,+02:00
2016-10-30 01:00:00,+00:00
2017-03-26 01:00:00,+02:00
2017-10-29 01:00:00,+00:00
2018-03-25 01:00:00,+02:00
2018-10-28 01:00:00,+00:00
2019-03-31 01:00:00,+02:00
2019-10-27 01:00:00,+00:00
2020-03-29 01:00:00,+02:00
2020-10-25 01:00:00,+00:00
2021-03-28 01:00:00,+02:00
2021-10-31 01:00:00,+00:00
2022-03-27 01:00:00,+02:00
2022-10-30 01:00:00,+00:00
2023-03-26 01:00:00,+02:00
2023-10-29 01:00:00,+00:00
2024-03-31 01:00:00,+02:00
2024-10-27 01:00:00,+00:00
2025-03-30 01:00:00,+02:00
2025-10-26 01:00:00,+00:00
2026-03-29 01:00:00,+02:00
2026-10-25 01:00:00,+00:00
2027-03-28 01:00:00,+02:00
2027-10-31 01:00:00,+00:00
2028-03-26 01:00:00,+02:00
2028-10-29 01:00:00,+00:00
2029-03-25 01:00:00,+02:00
2029-10-28 01:00:00,+00:00
2030-03-31 01:00:00,+02:00
2030-10-27 01:00:00,+00:00
2031-03-30 01:00:00,+02:00
2031-10-26 01:00:00,+00:00
2032-03-28 01:00:00,+02:00
2032-10-31 01:00:00,+00:00
2033-03-27 01:00:00,+02:00
2033-10-30 01:00:00,+00:00
2034-03-26 01:00:00,+02:00
2034-10-29 01:00:00,+00:00
2035-03-25 01:00:00,+02:00
2035-10-28 01:00:00,+00:00
2036-03-30 01:00:00,+02:00
2036-10-26 01:00:00,+00:00
2037-03-29 01:00:00,+02:00
2037-10-25 01:00:00,+00:00
