Time,Offset
0001-01-01 00:00:00,+02:24
1930-12-31 21:36:16,+02:00
1973-06-05 22:00:00,+03:00
1973-09-30 21:00:00,+02:00
1974-04-30 22:00:00,+03:00
1974-09-30 21:00:00,+02:00
1975-04-30 22:00:00,+03:00
1975-09-30 21:00:00,+02:00
1976-04-30 22:00:00,+03:00
1976-10-31 21:00:00,+02:00
1977-04-30 22:00:00,+03:00
1977-09-30 21:00:00,+02:00
1978-04-29 22:00:00,+03:00
1978-09-29 21:00:00,+02:00
1985-03-31 22:00:00,+03:00
1985-09-30 21:00:00,+02:00
1986-04-03 22:00:00,+03:00
1986-10-02 21:00:00,+02:00
1987-04-02 22:00:00,+03:00
1987-10-01 21:00:00,+02:00
1988-03-31 22:00:00,+03:00
1988-10-06 21:00:00,+02:00
1989-05-07 22:00:00,+03:00
1989-10-05 21:00:00,+02:00
1990-04-26 22:00:00,+03:00
1990-10-04 21:00:00,+02:00
1991-04-16 22:00:00,+03:00
1991-09-26 21:00:00,+02:00
1992-04-09 22:00:00,+03:00
1992-10-01 21:00:00,+02:00
1993-04-01 22:00:00,+03:00
1993-09-30 21:00:00,+02:00
1994-03-31 22:00:00,+03:00
1994-09-15 21:00:00,+02:00
1995-04-06 22:00:00,+03:00
1995-09-14 22:00:00,+02:00
1996-04-04 22:00:00,+03:00
1996-09-19 22:00:00,+02:00
1997-04-03 22:00:00,+03:00
1997-09-18 22:00:00,+02:00
1998-04-02 22:00:00,+03:00
1998-09-17 22:00:00,+02:00
1999-06-30 22:00:00,+03:00
1999-09-23 22:00:00,+02:00
2000-03-29 22:00:00,+03:00
2000-09-28 22:00:00,+02:00
2001-03-28 22:00:00,+03:00
2001-09-27 22:00:00,+02:00
2002-03-28 22:00:00,+03:00
2002-09-26 22:00:00,+02:00
2003-03-27 22:00:00,+03:00
2003-10-23 22:00:00,+02:00
2004-03-25 22:00:00,+03:00
2004-10-14 22:00:00,+02:00
2005-03-31 22:00:00,+03:00
2005-09-29 22:00:00,+02:00
2006-03-30 22:00:00,+03:00
2006-10-26 22:00:00,+02:00
2007-03-29 22:00:00,+03:00
2007-10-25 22:00:00,+02:00
2008-03-27 22:00:00,+03:00
2008-10-30 22:00:00,+02:00
2009-03-26 22:00:00,+03:00
2009-10-29 22:00:00,+02:00
2010-03-25 22:00:00,+03:00
2010-10-28 22:00:00,+02:00
2011-03-31 22:00:00,+03:00
2011-10-27 22:00:00,+02:00
2012-03-29 22:00:00,+03:00
2013-12-19 21:00:00,+02:00
2014-03-27 22:00:00,+03:00
2014-10-30 22:00:00,+02:00
2015-03-26 22:00:00,+03:00
2015-10-29 22:00:00,+02:00
2016-03-31 22:00:00,+03:00
2016-10-27 22:00:00,+02:00
2017-03-30 22:00:00,+03:00
2017-10-26 22:00:00,+02:00
2018-03-29 22:00:00,+03:00
2018-10-25 22:00:00,+02:00
2019-03-28 22:00:00,+03:00
2019-10-24 22:00:00,+02:00
2020-03-26 22:00:00,+03:00
2020-10-29 22:00:00,+02:00
2021-03-25 22:00:00,+03:00
2021-10-28 22:00:00,+02:00
2022-02-24 22:00:00,+03:00
2022-10-27 22:00:00,+03:00
