Time,Offset
0001-01-01 00:00:00,+03:54
1924-05-01 20:06:28,+04:00
1930-06-20 20:00:00,+05:00
1981-03-31 19:00:00,+06:00
1981-09-30 18:00:00,+05:00
1982-03-31 19:00:00,+06:00
1982-09-30 18:00:00,+05:00
1983-03-31 19:00:00,+06:00
1983-09-30 18:00:00,+05:00
1984-03-31 19:00:00,+06:00
1984-09-29 21:00:00,+05:00
1985-03-30 21:00:00,+06:00
1985-09-28 21:00:00,+05:00
1986-03-29 21:00:00,+06:00
1986-09-27 21:00:00,+05:00
1987-03-28 21:00:00,+06:00
1987-09-26 21:00:00,+05:00
1988-03-26 21:00:00,+06:00
1988-09-24 21:00:00,+05:00
1989-03-25 21:00:00,+06:00
1989-09-23 21:00:00,+05:00
1990-03-24 21:00:00,+06:00
1990-09-29 21:00:00,+05:00
1991-03-30 21:00:00,+05:00
1991-09-28 22:00:00,+04:00
1992-01-18 22:00:00,+05:00
