Time,Offset
0001-01-01T00:00:00,+02:58
1901-12-13T20:45:52,+02:58
1917-12-31T21:02:24,+03:00
1982-04-30T21:00:00,+04:00
1982-09-30T20:00:00,+03:00
1983-03-30T21:00:00,+04:00
1983-09-30T20:00:00,+03:00
1984-03-31T21:00:00,+04:00
1984-09-30T20:00:00,+03:00
1985-03-31T21:00:00,+04:00
1985-09-28T22:00:00,+03:00
1986-03-29T22:00:00,+04:00
1986-09-27T22:00:00,+03:00
1987-03-28T22:00:00,+04:00
1987-09-26T22:00:00,+03:00
1988-03-26T22:00:00,+04:00
1988-09-24T22:00:00,+03:00
1989-03-25T22:00:00,+04:00
1989-09-23T22:00:00,+03:00
1990-03-24T22:00:00,+04:00
1990-09-29T22:00:00,+03:00
1991-04-01T00:00:00,+04:00
1991-10-01T00:00:00,+03:00
1992-04-01T00:00:00,+04:00
1992-10-01T00:00:00,+03:00
1993-04-01T00:00:00,+04:00
1993-10-01T00:00:00,+03:00
1994-04-01T00:00:00,+04:00
1994-10-01T00:00:00,+03:00
1995-04-01T00:00:00,+04:00
1995-10-01T00:00:00,+03:00
1996-04-01T00:00:00,+04:00
1996-10-01T00:00:00,+03:00
1997-04-01T00:00:00,+04:00
1997-10-01T00:00:00,+03:00
1998-04-01T00:00:00,+04:00
1998-10-01T00:00:00,+03:00
1999-04-01T00:00:00,+04:00
1999-10-01T00:00:00,+03:00
2000-04-01T00:00:00,+04:00
2000-10-01T00:00:00,+03:00
2001-04-01T00:00:00,+04:00
2001-10-01T00:00:00,+03:00
2002-04-01T00:00:00,+04:00
2002-10-01T00:00:00,+03:00
2003-04-01T00:00:00,+04:00
2003-10-01T00:00:00,+03:00
2004-04-01T00:00:00,+04:00
2004-10-01T00:00:00,+03:00
2005-04-01T00:00:00,+04:00
2005-10-01T00:00:00,+03:00
2006-04-01T00:00:00,+04:00
2006-10-01T00:00:00,+03:00
2007-04-01T00:00:00,+04:00
2007-10-01T00:00:00,+03:00
