Time,Offset
0001-01-01T00:00:00,+03:19
1924-05-01T20:40:36,+03:00
1957-02-28T21:00:00,+04:00
1981-03-31T20:00:00,+05:00
1981-09-30T19:00:00,+04:00
1982-03-31T20:00:00,+05:00
1982-09-30T19:00:00,+04:00
1983-03-31T20:00:00,+05:00
1983-09-30T19:00:00,+04:00
1984-03-31T20:00:00,+05:00
1984-09-29T22:00:00,+04:00
1985-03-30T22:00:00,+05:00
1985-09-28T22:00:00,+04:00
1986-03-29T22:00:00,+05:00
1986-09-27T22:00:00,+04:00
1987-03-28T22:00:00,+05:00
1987-09-26T22:00:00,+04:00
1988-03-26T22:00:00,+05:00
1988-09-24T22:00:00,+04:00
1989-03-25T22:00:00,+05:00
1989-09-23T22:00:00,+04:00
1990-03-24T22:00:00,+05:00
1990-09-29T22:00:00,+04:00
1991-03-30T22:00:00,+04:00
1991-09-28T23:00:00,+03:00
1992-03-28T23:00:00,+04:00
1992-09-26T23:00:00,+04:00
1996-03-31T01:00:00,+05:00
1996-10-27T01:00:00,+04:00
1997-03-30T00:00:00,+05:00
1997-10-26T00:00:00,+04:00
1998-03-29T00:00:00,+05:00
1998-10-25T00:00:00,+04:00
1999-03-28T00:00:00,+05:00
1999-10-31T00:00:00,+04:00
2000-03-26T00:00:00,+05:00
2000-10-29T00:00:00,+04:00
2001-03-25T00:00:00,+05:00
2001-10-28T00:00:00,+04:00
2002-03-31T00:00:00,+05:00
2002-10-27T00:00:00,+04:00
2003-03-30T00:00:00,+05:00
2003-10-26T00:00:00,+04:00
2004-03-28T00:00:00,+05:00
2004-10-31T00:00:00,+04:00
2005-03-27T00:00:00,+05:00
2005-10-30T00:00:00,+04:00
2006-03-26T00:00:00,+05:00
2006-10-29T00:00:00,+04:00
2007-03-25T00:00:00,+05:00
2007-10-28T00:00:00,+04:00
2008-03-30T00:00:00,+05:00
2008-10-26T00:00:00,+04:00
2009-03-29T00:00:00,+05:00
2009-10-25T00:00:00,+04:00
2010-03-28T00:00:00,+05:00
2010-10-31T00:00:00,+04:00
2011-03-27T00:00:00,+05:00
2011-10-30T00:00:00,+04:00
2012-03-25T00:00:00,+05:00
2012-10-28T00:00:00,+04:00
2013-03-31T00:00:00,+05:00
2013-10-27T00:00:00,+04:00
2014-03-30T00:00:00,+05:00
2014-10-26T00:00:00,+04:00
2015-03-29T00:00:00,+05:00
2015-10-25T00:00:00,+04:00
