Time,Offset
0001-01-01T00:00:00,+02:22
1901-12-13T20:45:52,+02:00
1920-03-27T22:00:00,+03:00
1920-10-24T21:00:00,+02:00
1921-04-02T22:00:00,+03:00
1921-10-02T21:00:00,+02:00
1922-03-25T22:00:00,+03:00
1922-10-07T21:00:00,+02:00
1923-04-21T22:00:00,+03:00
1923-09-15T21:00:00,+02:00
1957-04-30T22:00:00,+03:00
1957-09-30T21:00:00,+02:00
1958-04-30T22:00:00,+03:00
1958-09-30T21:00:00,+02:00
1959-04-30T22:00:00,+03:00
1959-09-30T21:00:00,+02:00
1960-04-30T22:00:00,+03:00
1960-09-30T21:00:00,+02:00
1961-04-30T22:00:00,+03:00
1961-09-30T21:00:00,+02:00
1972-06-21T22:00:00,+03:00
1972-09-30T21:00:00,+02:00
1973-04-30T22:00:00,+03:00
1973-09-30T21:00:00,+02:00
1974-04-30T22:00:00,+03:00
1974-09-30T21:00:00,+02:00
1975-04-30T22:00:00,+03:00
1975-09-30T21:00:00,+02:00
1976-04-30T22:00:00,+03:00
1976-09-30T21:00:00,+02:00
1977-04-30T22:00:00,+03:00
1977-09-30T21:00:00,+02:00
1978-04-29T22:00:00,+03:00
1978-09-29T21:00:00,+02:00
1984-04-30T22:00:00,+03:00
1984-10-15T21:00:00,+02:00
1985-04-30T22:00:00,+03:00
1985-10-15T21:00:00,+02:00
1986-04-30T22:00:00,+03:00
1986-10-15T21:00:00,+02:00
1987-04-30T22:00:00,+03:00
1987-10-15T21:00:00,+02:00
1988-05-31T22:00:00,+03:00
1988-10-15T21:00:00,+02:00
1989-05-09T22:00:00,+03:00
1989-10-15T21:00:00,+02:00
1990-04-30T22:00:00,+03:00
1990-10-15T21:00:00,+02:00
1991-04-30T22:00:00,+03:00
1991-10-15T21:00:00,+02:00
1992-04-30T22:00:00,+03:00
1992-10-03T21:00:00,+02:00
1993-03-27T22:00:00,+03:00
1993-09-25T21:00:00,+02:00
1994-03-26T22:00:00,+03:00
1994-09-24T21:00:00,+02:00
1995-03-25T22:00:00,+03:00
1995-09-23T21:00:00,+02:00
1996-03-30T22:00:00,+03:00
1996-09-28T21:00:00,+02:00
1997-03-29T22:00:00,+03:00
1997-09-27T21:00:00,+02:00
1998-03-28T22:00:00,+03:00
1998-09-26T21:00:00,+02:00
1999-03-27T22:00:00,+03:00
1999-10-30T21:00:00,+02:00
2000-03-25T22:00:00,+03:00
2000-10-28T21:00:00,+02:00
2001-03-24T22:00:00,+03:00
2001-10-27T21:00:00,+02:00
2002-03-30T22:00:00,+03:00
2002-10-26T21:00:00,+02:00
2003-03-29T22:00:00,+03:00
2003-10-25T21:00:00,+02:00
2004-03-27T22:00:00,+03:00
2004-10-30T21:00:00,+02:00
2005-03-26T22:00:00,+03:00
2005-10-29T21:00:00,+02:00
2006-03-25T22:00:00,+03:00
2006-10-28T21:00:00,+02:00
2007-03-24T22:00:00,+03:00
2007-10-27T21:00:00,+02:00
2008-03-29T22:00:00,+03:00
2008-10-25T21:00:00,+02:00
2009-03-28T22:00:00,+03:00
2009-10-24T21:00:00,+02:00
2010-03-27T22:00:00,+03:00
2010-10-30T21:00:00,+02:00
2011-03-26T22:00:00,+03:00
2011-10-29T21:00:00,+02:00
2012-03-24T22:00:00,+03:00
2012-10-27T21:00:00,+02:00
2013-03-30T22:00:00,+03:00
2013-10-26T21:00:00,+02:00
2014-03-29T22:00:00,+03:00
2014-10-25T21:00:00,+02:00
2015-03-28T22:00:00,+03:00
2015-10-24T21:00:00,+02:00
2016-03-26T22:00:00,+03:00
2016-10-29T21:00:00,+02:00
2017-03-25T22:00:00,+03:00
2017-10-28T21:00:00,+02:00
2018-03-24T22:00:00,+03:00
2018-10-27T21:00:00,+02:00
2019-03-30T22:00:00,+03:00
2019-10-26T21:00:00,+02:00
2020-03-28T22:00:00,+03:00
2020-10-24T21:00:00,+02:00
2021-03-27T22:00:00,+03:00
2021-10-30T21:00:00,+02:00
2022-03-26T22:00:00,+03:00
2022-10-29T21:00:00,+02:00
2023-03-25T22:00:00,+03:00
2023-10-28T21:00:00,+02:00
2024-03-30T22:00:00,+03:00
2024-10-26T21:00:00,+02:00
2025-03-29T22:00:00,+03:00
2025-10-25T21:00:00,+02:00
2026-03-28T22:00:00,+03:00
2026-10-24T21:00:00,+02:00
2027-03-27T22:00:00,+03:00
2027-10-30T21:00:00,+02:00
2028-03-25T22:00:00,+03:00
2028-10-28T21:00:00,+02:00
2029-03-24T22:00:00,+03:00
2029-10-27T21:00:00,+02:00
2030-03-30T22:00:00,+03:00
2030-10-26T21:00:00,+02:00
2031-03-29T22:00:00,+03:00
2031-10-25T21:00:00,+02:00
2032-03-27T22:00:00,+03:00
2032-10-30T21:00:00,+02:00
2033-03-26T22:00:00,+03:00
2033-10-29T21:00:00,+02:00
2034-03-25T22:00:00,+03:00
2034-10-28T21:00:00,+02:00
2035-03-24T22:00:00,+03:00
2035-10-27T21:00:00,+02:00
2036-03-29T22:00:00,+03:00
2036-10-25T21:00:00,+02:00
2037-03-28T22:00:00,+03:00
2037-10-24T21:00:00,+02:00
