Time,Offset
0001-01-01T00:00:00,+04:58
1924-05-01T19:01:36,+05:00
1930-06-20T19:00:00,+06:00
1981-03-31T18:00:00,+07:00
1981-09-30T17:00:00,+06:00
1982-03-31T18:00:00,+07:00
1982-09-30T17:00:00,+06:00
1983-03-31T18:00:00,+07:00
1983-09-30T17:00:00,+06:00
1984-03-31T18:00:00,+07:00
1984-09-29T20:00:00,+06:00
1985-03-30T20:00:00,+07:00
1985-09-28T20:00:00,+06:00
1986-03-29T20:00:00,+07:00
1986-09-27T20:00:00,+06:00
1987-03-28T20:00:00,+07:00
1987-09-26T20:00:00,+06:00
1988-03-26T20:00:00,+07:00
1988-09-24T20:00:00,+06:00
1989-03-25T20:00:00,+07:00
1989-09-23T20:00:00,+06:00
1990-03-24T20:00:00,+07:00
1990-09-29T20:00:00,+06:00
1991-03-30T20:00:00,+06:00
1991-08-30T20:00:00,+05:00
1992-04-11T19:00:00,+06:00
1992-09-26T18:00:00,+05:00
1993-04-10T19:00:00,+06:00
1993-09-25T18:00:00,+05:00
1994-04-09T19:00:00,+06:00
1994-09-24T18:00:00,+05:00
1995-04-08T19:00:00,+06:00
1995-09-23T18:00:00,+05:00
1996-04-06T19:00:00,+06:00
1996-09-28T18:00:00,+05:00
1997-03-29T21:30:00,+06:00
1997-10-25T20:30:00,+05:00
1998-03-28T21:30:00,+06:00
1998-10-24T20:30:00,+05:00
1999-03-27T21:30:00,+06:00
1999-10-30T20:30:00,+05:00
2000-03-25T21:30:00,+06:00
2000-10-28T20:30:00,+05:00
2001-03-24T21:30:00,+06:00
2001-10-27T20:30:00,+05:00
2002-03-30T21:30:00,+06:00
2002-10-26T20:30:00,+05:00
2003-03-29T21:30:00,+06:00
2003-10-25T20:30:00,+05:00
2004-03-27T21:30:00,+06:00
2004-10-30T20:30:00,+05:00
2005-03-26T21:30:00,+06:00
2005-08-11T18:00:00,+06:00
