Time,Offset
0001-01-01 00:00:00,+07:38
1905-07-31 16:22:00,+07:00
1977-12-31 17:00:00,+08:00
1983-03-31 16:00:00,+10:00
1983-09-30 14:00:00,+09:00
1984-03-31 15:00:00,+10:00
1984-09-29 14:00:00,+09:00
1985-03-30 15:00:00,+10:00
1985-09-28 14:00:00,+09:00
1986-03-29 15:00:00,+10:00
1986-09-27 14:00:00,+09:00
1987-03-28 15:00:00,+10:00
1987-09-26 14:00:00,+09:00
1988-03-26 15:00:00,+10:00
1988-09-24 14:00:00,+09:00
1989-03-25 15:00:00,+10:00
1989-09-23 14:00:00,+09:00
1990-03-24 15:00:00,+10:00
1990-09-29 14:00:00,+09:00
1991-03-30 15:00:00,+10:00
1991-09-28 14:00:00,+09:00
1992-03-28 15:00:00,+10:00
1992-09-26 14:00:00,+09:00
1993-03-27 15:00:00,+10:00
1993-09-25 14:00:00,+09:00
1994-03-26 15:00:00,+10:00
1994-09-24 14:00:00,+09:00
1995-03-25 15:00:00,+10:00
1995-09-23 14:00:00,+09:00
1996-03-30 15:00:00,+10:00
1996-09-28 14:00:00,+09:00
1997-03-29 15:00:00,+10:00
1997-09-27 14:00:00,+09:00
1998-03-28 15:00:00,+10:00
1998-09-26 14:00:00,+09:00
2001-04-27 17:00:00,+10:00
2001-09-28 16:00:00,+09:00
2002-03-29 17:00:00,+10:00
2002-09-27 16:00:00,+09:00
2003-03-28 17:00:00,+10:00
2003-09-26 16:00:00,+09:00
2004-03-26 17:00:00,+10:00
2004-09-24 16:00:00,+09:00
2005-03-25 17:00:00,+10:00
2005-09-23 16:00:00,+09:00
2006-03-24 17:00:00,+10:00
2006-09-29 16:00:00,+09:00
2008-03-30 15:00:00,+08:00
2015-03-27 18:00:00,+09:00
2015-09-25 15:00:00,+08:00
2016-03-25 18:00:00,+09:00
2016-09-23 15:00:00,+08:00
