Time,Offset
0001-01-01 00:00:00,+02:25
1919-12-31 21:34:48,+02:00
1920-04-18 00:00:00,+03:00
1920-10-02 23:00:00,+02:00
1921-04-17 00:00:00,+03:00
1921-10-01 23:00:00,+02:00
1922-04-16 00:00:00,+03:00
1922-09-30 23:00:00,+02:00
1923-04-15 00:00:00,+03:00
1923-10-06 23:00:00,+02:00
1962-04-29 00:00:00,+03:00
1962-09-30 23:00:00,+02:00
1963-05-01 00:00:00,+03:00
1963-09-29 23:00:00,+02:00
1964-05-01 00:00:00,+03:00
1964-09-30 23:00:00,+02:00
1965-05-01 00:00:00,+03:00
1965-09-29 23:00:00,+02:00
1966-04-24 00:00:00,+03:00
1966-09-30 23:00:00,+02:00
1967-05-01 00:00:00,+03:00
1967-09-30 23:00:00,+02:00
1968-05-01 00:00:00,+03:00
1968-09-30 23:00:00,+02:00
1969-05-01 00:00:00,+03:00
1969-09-30 23:00:00,+02:00
1970-05-01 00:00:00,+03:00
1970-09-30 23:00:00,+02:00
1971-05-01 00:00:00,+03:00
1971-09-30 23:00:00,+02:00
1972-05-01 00:00:00,+03:00
1972-09-30 23:00:00,+02:00
1973-05-01 00:00:00,+03:00
1973-09-30 23:00:00,+02:00
1974-05-01 00:00:00,+03:00
1974-09-30 23:00:00,+02:00
1975-05-01 00:00:00,+03:00
1975-09-30 23:00:00,+02:00
1976-05-01 00:00:00,+03:00
1976-09-30 23:00:00,+02:00
1977-05-01 00:00:00,+03:00
1977-08-31 23:00:00,+02:00
1978-05-01 00:00:00,+03:00
1978-08-31 23:00:00,+02:00
1983-04-09 00:00:00,+03:00
1983-09-30 23:00:00,+02:00
1984-04-09 00:00:00,+03:00
1984-09-30 23:00:00,+02:00
1986-02-16 00:00:00,+03:00
1986-10-08 23:00:00,+02:00
1987-03-01 00:00:00,+03:00
1987-10-30 23:00:00,+02:00
1988-03-15 00:00:00,+03:00
1988-10-30 23:00:00,+02:00
1989-03-31 00:00:00,+03:00
1989-09-30 23:00:00,+02:00
1990-04-01 00:00:00,+03:00
1990-09-29 23:00:00,+02:00
1991-03-31 22:00:00,+03:00
1991-09-30 21:00:00,+02:00
1992-04-07 22:00:00,+03:00
1992-09-30 21:00:00,+02:00
1993-03-25 22:00:00,+03:00
1993-09-24 21:00:00,+02:00
1994-03-31 22:00:00,+03:00
1994-09-30 21:00:00,+02:00
1995-03-31 22:00:00,+03:00
1995-09-30 21:00:00,+02:00
1996-03-31 22:00:00,+03:00
1996-09-30 21:00:00,+02:00
1997-03-30 22:00:00,+03:00
1997-09-30 21:00:00,+02:00
1998-03-29 22:00:00,+03:00
1998-09-30 21:00:00,+02:00
1999-03-31 22:00:00,+03:00
1999-09-30 21:00:00,+02:00
2000-03-31 22:00:00,+03:00
2000-09-30 21:00:00,+02:00
2001-03-31 22:00:00,+03:00
2001-09-30 21:00:00,+02:00
2002-03-31 22:00:00,+03:00
2002-09-30 21:00:00,+02:00
2003-03-31 22:00:00,+03:00
2003-09-30 21:00:00,+02:00
2004-03-31 22:00:00,+03:00
2004-09-30 21:00:00,+02:00
2005-03-31 22:00:00,+03:00
2005-09-30 21:00:00,+02:00
2006-03-31 22:00:00,+03:00
2006-09-21 21:00:00,+02:00
2007-03-29 22:00:00,+03:00
2007-11-01 21:00:00,+02:00
2008-04-03 22:00:00,+03:00
2008-10-31 21:00:00,+02:00
2009-03-26 22:00:00,+03:00
2009-10-29 21:00:00,+02:00
2010-04-01 22:00:00,+03:00
2010-10-28 21:00:00,+02:00
2011-03-31 22:00:00,+03:00
2011-10-27 21:00:00,+02:00
2012-03-29 22:00:00,+03:00
2012-10-25 21:00:00,+02:00
2013-03-28 22:00:00,+03:00
2013-10-24 21:00:00,+02:00
2014-03-27 22:00:00,+03:00
2014-10-30 21:00:00,+02:00
2015-03-26 22:00:00,+03:00
2015-10-29 21:00:00,+02:00
2016-03-24 22:00:00,+03:00
2016-10-27 21:00:00,+02:00
2017-03-30 22:00:00,+03:00
2017-10-26 21:00:00,+02:00
2018-03-29 22:00:00,+03:00
2018-10-25 21:00:00,+02:00
2019-03-28 22:00:00,+03:00
2019-10-24 21:00:00,+02:00
2020-03-26 22:00:00,+03:00
2020-10-29 21:00:00,+02:00
2021-03-25 22:00:00,+03:00
2021-10-28 21:00:00,+02:00
2022-03-24 22:00:00,+03:00
2022-10-27 21:00:00,+03:00
