Time,Offset
0001-01-01 00:00:00,+02:18
1901-12-13 20:45:52,+02:00
1940-06-01 00:00:00,+03:00
1940-10-01 00:00:00,+02:00
1940-11-17 00:00:00,+03:00
1942-11-01 00:00:00,+02:00
1943-04-01 00:00:00,+03:00
1943-11-01 00:00:00,+02:00
1944-04-01 00:00:00,+03:00
1944-11-01 00:00:00,+02:00
1945-04-16 00:00:00,+03:00
1945-11-01 00:00:00,+02:00
1946-04-16 00:00:00,+03:00
1946-11-01 00:00:00,+02:00
1957-05-09 22:00:00,+03:00
1957-09-30 21:00:00,+02:00
1958-04-30 22:00:00,+03:00
1958-09-30 21:00:00,+02:00
1959-04-30 23:00:00,+03:00
1959-09-30 00:00:00,+02:00
1960-04-30 23:00:00,+03:00
1960-09-30 00:00:00,+02:00
1961-04-30 23:00:00,+03:00
1961-09-30 00:00:00,+02:00
1962-04-30 23:00:00,+03:00
1962-09-30 00:00:00,+02:00
1963-04-30 23:00:00,+03:00
1963-09-30 00:00:00,+02:00
1964-04-30 23:00:00,+03:00
1964-09-30 00:00:00,+02:00
1965-04-30 23:00:00,+03:00
1965-09-30 00:00:00,+02:00
1966-04-30 23:00:00,+03:00
1966-10-01 00:00:00,+02:00
1967-04-30 23:00:00,+03:00
1967-06-04 21:00:00,+02:00
1974-07-06 22:00:00,+03:00
1974-10-12 21:00:00,+02:00
1975-04-19 22:00:00,+03:00
1975-08-30 21:00:00,+02:00
1980-08-02 22:00:00,+03:00
1980-09-13 22:00:00,+02:00
1984-05-05 22:00:00,+03:00
1984-08-25 22:00:00,+02:00
1985-04-13 22:00:00,+03:00
1985-08-31 21:00:00,+02:00
1986-05-17 22:00:00,+03:00
1986-09-06 21:00:00,+02:00
1987-04-14 22:00:00,+03:00
1987-09-12 21:00:00,+02:00
1988-04-09 22:00:00,+03:00
1988-09-03 21:00:00,+02:00
1989-04-29 22:00:00,+03:00
1989-09-02 21:00:00,+02:00
1990-03-24 22:00:00,+03:00
1990-08-25 21:00:00,+02:00
1991-03-23 22:00:00,+03:00
1991-08-31 21:00:00,+02:00
1992-03-28 22:00:00,+03:00
1992-09-05 21:00:00,+02:00
1993-04-01 22:00:00,+03:00
1993-09-04 21:00:00,+02:00
1994-03-31 22:00:00,+03:00
1994-08-27 21:00:00,+02:00
1995-03-30 22:00:00,+03:00
1995-09-02 21:00:00,+02:00
1995-12-31 22:00:00,+02:00
1996-04-04 22:00:00,+03:00
1996-09-19 22:00:00,+02:00
1997-04-03 22:00:00,+03:00
1997-09-18 22:00:00,+02:00
1998-04-02 22:00:00,+03:00
1998-09-17 22:00:00,+02:00
1999-04-15 22:00:00,+03:00
1999-10-14 21:00:00,+02:00
2000-04-20 22:00:00,+03:00
2000-10-19 21:00:00,+02:00
2001-04-19 22:00:00,+03:00
2001-10-18 21:00:00,+02:00
2002-04-18 22:00:00,+03:00
2002-10-17 21:00:00,+02:00
2003-04-17 22:00:00,+03:00
2003-10-16 21:00:00,+02:00
2004-04-15 22:00:00,+03:00
2004-09-30 22:00:00,+02:00
2005-04-14 22:00:00,+03:00
2005-10-03 23:00:00,+02:00
2006-03-31 22:00:00,+03:00
2006-09-21 21:00:00,+02:00
2007-03-31 22:00:00,+03:00
2007-09-12 23:00:00,+02:00
2008-03-27 22:00:00,+03:00
2008-08-28 21:00:00,+02:00
2009-03-26 22:00:00,+03:00
2009-09-03 22:00:00,+02:00
2010-03-26 22:01:00,+03:00
2010-08-10 21:00:00,+02:00
2011-03-31 22:01:00,+03:00
2011-07-31 21:00:00,+02:00
2012-03-29 22:00:00,+03:00
2012-09-20 22:00:00,+02:00
2013-03-28 22:00:00,+03:00
2013-09-26 21:00:00,+02:00
2014-03-27 22:00:00,+03:00
2014-10-23 21:00:00,+02:00
2015-03-27 22:00:00,+03:00
2015-10-22 22:00:00,+02:00
2016-03-25 23:00:00,+03:00
2016-10-28 22:00:00,+02:00
2017-03-24 23:00:00,+03:00
2017-10-27 22:00:00,+02:00
2018-03-23 23:00:00,+03:00
2018-10-26 22:00:00,+02:00
2019-03-28 22:00:00,+03:00
2019-10-25 21:00:00,+02:00
2020-03-27 22:00:00,+03:00
2020-10-23 22:00:00,+02:00
2021-03-26 22:00:00,+03:00
2021-10-28 22:00:00,+02:00
2022-03-26 22:00:00,+03:00
2022-10-28 23:00:00,+02:00
2023-04-29 00:00:00,+03:00
2023-10-27 23:00:00,+02:00
2024-04-20 00:00:00,+03:00
2024-10-25 23:00:00,+02:00
2025-04-12 00:00:00,+03:00
2025-10-24 23:00:00,+02:00
2026-03-28 00:00:00,+03:00
2026-10-23 23:00:00,+02:00
2027-03-27 00:00:00,+03:00
2027-10-29 23:00:00,+02:00
2028-03-25 00:00:00,+03:00
2028-10-27 23:00:00,+02:00
2029-03-24 00:00:00,+03:00
2029-10-26 23:00:00,+02:00
2030-03-30 00:00:00,+03:00
2030-10-25 23:00:00,+02:00
2031-03-29 00:00:00,+03:00
2031-10-24 23:00:00,+02:00
2032-03-27 00:00:00,+03:00
2032-10-29 23:00:00,+02:00
2033-03-26 00:00:00,+03:00
2033-10-28 23:00:00,+02:00
2034-03-25 00:00:00,+03:00
2034-10-27 23:00:00,+02:00
2035-03-24 00:00:00,+03:00
2035-10-26 23:00:00,+02:00
2036-03-29 00:00:00,+03:00
2036-10-17 23:00:00,+02:00
2037-03-28 00:00:00,+03:00
2037-10-09 23:00:00,+02:00
