Time,Offset
0001-01-01 00:00:00,+08:06
1901-12-13 20:45:52,+08:00
1919-04-12 16:00:00,+09:00
1919-09-30 15:00:00,+08:00
1940-05-31 16:00:00,+09:00
1940-10-12 15:00:00,+08:00
1941-03-14 16:00:00,+09:00
1941-11-01 15:00:00,+08:00
1942-01-30 16:00:00,+09:00
1945-09-01 15:00:00,+08:00
1946-05-14 16:00:00,+09:00
1946-09-30 15:00:00,+08:00
1947-04-14 16:00:00,+09:00
1947-10-31 15:00:00,+08:00
1948-04-30 16:00:00,+09:00
1948-09-30 15:00:00,+08:00
1949-04-30 16:00:00,+09:00
1949-05-27 15:00:00,+08:00
1986-05-03 18:00:00,+09:00
1986-09-13 17:00:00,+08:00
1987-04-11 18:00:00,+09:00
1987-09-12 17:00:00,+08:00
1988-04-16 18:00:00,+09:00
1988-09-10 17:00:00,+08:00
1989-04-15 18:00:00,+09:00
1989-09-16 17:00:00,+08:00
1990-04-14 18:00:00,+09:00
1990-09-15 17:00:00,+08:00
1991-04-13 18:00:00,+09:00
1991-09-14 17:00:00,+08:00
