Time,Offset
0001-01-01T00:00:00,+02:20
1901-12-13T20:45:52,+02:00
1940-06-01T00:00:00,+03:00
1940-10-01T00:00:00,+02:00
1940-11-17T00:00:00,+03:00
1942-11-01T00:00:00,+02:00
1943-04-01T00:00:00,+03:00
1943-11-01T00:00:00,+02:00
1944-04-01T00:00:00,+03:00
1944-11-01T00:00:00,+02:00
1945-04-16T00:00:00,+03:00
1945-11-01T00:00:00,+02:00
1946-04-16T00:00:00,+03:00
1946-11-01T00:00:00,+02:00
1957-05-09T22:00:00,+03:00
1957-09-30T21:00:00,+02:00
1958-04-30T22:00:00,+03:00
1958-09-30T21:00:00,+02:00
1959-04-30T23:00:00,+03:00
1959-09-30T00:00:00,+02:00
1960-04-30T23:00:00,+03:00
1960-09-30T00:00:00,+02:00
1961-04-30T23:00:00,+03:00
1961-09-30T00:00:00,+02:00
1962-04-30T23:00:00,+03:00
1962-09-30T00:00:00,+02:00
1963-04-30T23:00:00,+03:00
1963-09-30T00:00:00,+02:00
1964-04-30T23:00:00,+03:00
1964-09-30T00:00:00,+02:00
1965-04-30T23:00:00,+03:00
1965-09-30T00:00:00,+02:00
1966-04-30T23:00:00,+03:00
1966-10-01T00:00:00,+02:00
1967-04-30T23:00:00,+03:00
1967-06-04T21:00:00,+02:00
1974-07-06T22:00:00,+03:00
1974-10-12T21:00:00,+02:00
1975-04-19T22:00:00,+03:00
1975-08-30T21:00:00,+02:00
1980-08-02T22:00:00,+03:00
1980-09-13T22:00:00,+02:00
1984-05-05T22:00:00,+03:00
1984-08-25T22:00:00,+02:00
1985-04-13T22:00:00,+03:00
1985-08-31T21:00:00,+02:00
1986-05-17T22:00:00,+03:00
1986-09-06T21:00:00,+02:00
1987-04-14T22:00:00,+03:00
1987-09-12T21:00:00,+02:00
1988-04-09T22:00:00,+03:00
1988-09-03T21:00:00,+02:00
1989-04-29T22:00:00,+03:00
1989-09-02T21:00:00,+02:00
1990-03-24T22:00:00,+03:00
1990-08-25T21:00:00,+02:00
1991-03-23T22:00:00,+03:00
1991-08-31T21:00:00,+02:00
1992-03-28T22:00:00,+03:00
1992-09-05T21:00:00,+02:00
1993-04-01T22:00:00,+03:00
1993-09-04T21:00:00,+02:00
1994-03-31T22:00:00,+03:00
1994-08-27T21:00:00,+02:00
1995-03-30T22:00:00,+03:00
1995-09-02T21:00:00,+02:00
1995-12-31T22:00:00,+02:00
1996-04-04T22:00:00,+03:00
1996-09-19T22:00:00,+02:00
1997-04-03T22:00:00,+03:00
1997-09-18T22:00:00,+02:00
1998-04-02T22:00:00,+03:00
1998-09-17T22:00:00,+02:00
1999-04-15T22:00:00,+03:00
1999-10-14T21:00:00,+02:00
2000-04-20T22:00:00,+03:00
2000-10-19T21:00:00,+02:00
2001-04-19T22:00:00,+03:00
2001-10-18T21:00:00,+02:00
2002-04-18T22:00:00,+03:00
2002-10-17T21:00:00,+02:00
2003-04-17T22:00:00,+03:00
2003-10-16T21:00:00,+02:00
2004-04-15T22:00:00,+03:00
2004-09-30T22:00:00,+02:00
2005-04-14T22:00:00,+03:00
2005-10-03T23:00:00,+02:00
2006-03-31T22:00:00,+03:00
2006-09-21T21:00:00,+02:00
2007-03-31T22:00:00,+03:00
2007-09-12T23:00:00,+02:00
2008-03-27T22:00:00,+03:00
2008-08-31T21:00:00,+02:00
2009-03-26T22:00:00,+03:00
2009-09-03T22:00:00,+02:00
2010-03-25T22:00:00,+03:00
2010-08-10T21:00:00,+02:00
2011-03-31T22:01:00,+03:00
2011-07-31T21:00:00,+02:00
2011-08-29T22:00:00,+03:00
2011-09-29T21:00:00,+02:00
2012-03-29T22:00:00,+03:00
2012-09-20T22:00:00,+02:00
2013-03-28T22:00:00,+03:00
2013-09-26T21:00:00,+02:00
2014-03-27T22:00:00,+03:00
2014-10-23T21:00:00,+02:00
2015-03-27T22:00:00,+03:00
2015-10-22T22:00:00,+02:00
2016-03-25T23:00:00,+03:00
2016-10-28T22:00:00,+02:00
2017-03-24T23:00:00,+03:00
2017-10-27T22:00:00,+02:00
2018-03-23T23:00:00,+03:00
2018-10-26T22:00:00,+02:00
2019-03-28T22:00:00,+03:00
2019-10-25T21:00:00,+02:00
2020-03-27T22:00:00,+03:00
2020-10-23T22:00:00,+02:00
2021-03-26T22:00:00,+03:00
2021-10-28T22:00:00,+02:00
2022-03-26T22:00:00,+03:00
2022-10-28T23:00:00,+02:00
2023-04-29T00:00:00,+03:00
2023-10-27T23:00:00,+02:00
2024-04-20T00:00:00,+03:00
2024-10-25T23:00:00,+02:00
2025-04-12T00:00:00,+03:00
2025-10-24T23:00:00,+02:00
2026-03-28T00:00:00,+03:00
2026-10-23T23:00:00,+02:00
2027-03-27T00:00:00,+03:00
2027-10-29T23:00:00,+02:00
2028-03-25T00:00:00,+03:00
2028-10-27T23:00:00,+02:00
2029-03-24T00:00:00,+03:00
2029-10-26T23:00:00,+02:00
2030-03-30T00:00:00,+03:00
2030-10-25T23:00:00,+02:00
2031-03-29T00:00:00,+03:00
2031-10-24T23:00:00,+02:00
2032-03-27T00:00:00,+03:00
2032-10-29T23:00:00,+02:00
2033-03-26T00:00:00,+03:00
2033-10-28T23:00:00,+02:00
2034-03-25T00:00:00,+03:00
2034-10-27T23:00:00,+02:00
2035-03-24T00:00:00,+03:00
2035-10-26T23:00:00,+02:00
2036-03-29T00:00:00,+03:00
2036-10-17T23:00:00,+02:00
2037-03-28T00:00:00,+03:00
2037-10-09T23:00:00,+02:00
