Time,Offset
0001-01-01T00:00:00,+01:56
1901-12-13T20:45:52,+01:57
1910-09-30T22:03:04,+02:00
1916-04-30T22:00:00,+03:00
1916-09-30T21:00:00,+02:00
1920-03-27T22:00:00,+03:00
1920-10-24T21:00:00,+02:00
1921-04-02T22:00:00,+03:00
1921-10-02T21:00:00,+02:00
1922-03-25T22:00:00,+03:00
1922-10-07T21:00:00,+02:00
1924-05-12T22:00:00,+03:00
1924-09-30T21:00:00,+02:00
1925-04-30T22:00:00,+03:00
1925-09-30T21:00:00,+02:00
1940-06-30T22:00:00,+03:00
1940-10-05T21:00:00,+02:00
1940-11-30T22:00:00,+03:00
1941-09-20T21:00:00,+02:00
1942-03-31T22:00:00,+03:00
1945-10-07T21:00:00,+02:00
1946-05-31T22:00:00,+03:00
1946-09-30T21:00:00,+02:00
1947-04-19T22:00:00,+03:00
1947-10-04T21:00:00,+02:00
1948-04-17T22:00:00,+03:00
1948-10-02T21:00:00,+02:00
1949-04-09T22:00:00,+03:00
1949-10-01T21:00:00,+02:00
1950-04-15T22:00:00,+03:00
1950-10-07T21:00:00,+02:00
1951-04-21T22:00:00,+03:00
1951-10-06T21:00:00,+02:00
1962-07-14T22:00:00,+03:00
1963-10-29T21:00:00,+02:00
1964-05-14T22:00:00,+03:00
1964-09-30T21:00:00,+02:00
1973-06-02T23:00:00,+03:00
1973-11-03T23:00:00,+02:00
1974-03-31T00:00:00,+03:00
1974-11-02T23:00:00,+02:00
1975-03-22T00:00:00,+03:00
1975-11-01T23:00:00,+02:00
1976-03-21T00:00:00,+03:00
1976-10-30T23:00:00,+02:00
1977-04-03T00:00:00,+03:00
1977-10-15T23:00:00,+02:00
1978-04-02T00:00:00,+03:00
1978-06-28T21:00:00,+03:00
1983-07-30T23:00:00,+04:00
1983-10-01T22:00:00,+03:00
1984-10-31T23:00:00,+02:00
1985-04-19T23:00:00,+03:00
1985-09-27T23:00:00,+02:00
1986-03-29T23:00:00,+03:00
1986-09-27T23:00:00,+02:00
1987-03-28T23:00:00,+03:00
1987-09-26T23:00:00,+02:00
1988-03-26T23:00:00,+03:00
1988-09-24T23:00:00,+02:00
1989-03-25T23:00:00,+03:00
1989-09-23T23:00:00,+02:00
1990-03-24T23:00:00,+03:00
1990-09-29T23:00:00,+02:00
1991-03-30T23:00:00,+03:00
1991-09-28T23:00:00,+02:00
1992-03-28T23:00:00,+03:00
1992-09-26T23:00:00,+02:00
1993-03-27T23:00:00,+03:00
1993-09-25T23:00:00,+02:00
1994-03-19T23:00:00,+03:00
1994-09-24T23:00:00,+02:00
1995-03-25T23:00:00,+03:00
1995-09-23T23:00:00,+02:00
1996-03-30T23:00:00,+03:00
1996-10-26T23:00:00,+02:00
1997-03-29T23:00:00,+03:00
1997-10-25T23:00:00,+02:00
1998-03-28T23:00:00,+03:00
1998-10-24T23:00:00,+02:00
1999-03-27T23:00:00,+03:00
1999-10-30T23:00:00,+02:00
2000-03-25T23:00:00,+03:00
2000-10-28T23:00:00,+02:00
2001-03-24T23:00:00,+03:00
2001-10-27T23:00:00,+02:00
2002-03-30T23:00:00,+03:00
2002-10-26T23:00:00,+02:00
2003-03-29T23:00:00,+03:00
2003-10-25T23:00:00,+02:00
2004-03-27T23:00:00,+03:00
2004-10-30T23:00:00,+02:00
2005-03-26T23:00:00,+03:00
2005-10-29T23:00:00,+02:00
2006-03-25T23:00:00,+03:00
2006-10-28T23:00:00,+02:00
2007-03-25T01:00:00,+03:00
2007-10-28T01:00:00,+02:00
2008-03-30T01:00:00,+03:00
2008-10-26T01:00:00,+02:00
2009-03-29T01:00:00,+03:00
2009-10-25T01:00:00,+02:00
2010-03-28T01:00:00,+03:00
2010-10-31T01:00:00,+02:00
2011-03-28T01:00:00,+03:00
2011-10-30T01:00:00,+02:00
2012-03-25T01:00:00,+03:00
2012-10-28T01:00:00,+02:00
2013-03-31T01:00:00,+03:00
2013-10-27T01:00:00,+02:00
2014-03-31T01:00:00,+03:00
2014-10-26T01:00:00,+02:00
2015-03-29T01:00:00,+03:00
2015-11-08T01:00:00,+02:00
2016-03-27T01:00:00,+03:00
2016-09-06T21:00:00,+03:00
