Time,Offset
0001-01-01T00:00:00,+02:21
1901-12-13T20:45:52,+02:21
1917-12-31T21:39:20,+02:00
1940-06-01T00:00:00,+03:00
1940-10-01T00:00:00,+02:00
1940-11-17T00:00:00,+03:00
1942-11-01T00:00:00,+02:00
1943-04-01T00:00:00,+03:00
1943-11-01T00:00:00,+02:00
1944-04-01T00:00:00,+03:00
1944-11-01T00:00:00,+02:00
1945-04-16T00:00:00,+03:00
1945-11-01T00:00:00,+02:00
1946-04-16T00:00:00,+03:00
1946-11-01T00:00:00,+02:00
1948-05-23T00:00:00,+04:00
1948-09-01T00:00:00,+03:00
1948-11-01T00:00:00,+02:00
1949-05-01T00:00:00,+03:00
1949-11-01T00:00:00,+02:00
1950-04-16T00:00:00,+03:00
1950-09-15T00:00:00,+02:00
1951-04-01T00:00:00,+03:00
1951-11-11T00:00:00,+02:00
1952-04-20T00:00:00,+03:00
1952-10-19T00:00:00,+02:00
1953-04-12T00:00:00,+03:00
1953-09-13T00:00:00,+02:00
1954-06-13T00:00:00,+03:00
1954-09-12T00:00:00,+02:00
1955-06-12T00:00:00,+03:00
1955-09-11T00:00:00,+02:00
1956-06-03T00:00:00,+03:00
1956-09-30T00:00:00,+02:00
1957-04-28T00:00:00,+03:00
1957-09-22T00:00:00,+02:00
1974-07-06T22:00:00,+03:00
1974-10-12T21:00:00,+02:00
1975-04-19T22:00:00,+03:00
1975-08-30T21:00:00,+02:00
1980-08-02T22:00:00,+03:00
1980-09-13T22:00:00,+02:00
1984-05-05T22:00:00,+03:00
1984-08-25T22:00:00,+02:00
1985-04-13T22:00:00,+03:00
1985-08-31T21:00:00,+02:00
1986-05-17T22:00:00,+03:00
1986-09-06T21:00:00,+02:00
1987-04-14T22:00:00,+03:00
1987-09-12T21:00:00,+02:00
1988-04-09T22:00:00,+03:00
1988-09-03T21:00:00,+02:00
1989-04-29T22:00:00,+03:00
1989-09-02T21:00:00,+02:00
1990-03-24T22:00:00,+03:00
1990-08-25T21:00:00,+02:00
1991-03-23T22:00:00,+03:00
1991-08-31T21:00:00,+02:00
1992-03-28T22:00:00,+03:00
1992-09-05T21:00:00,+02:00
1993-04-01T22:00:00,+03:00
1993-09-04T21:00:00,+02:00
1994-03-31T22:00:00,+03:00
1994-08-27T21:00:00,+02:00
1995-03-30T22:00:00,+03:00
1995-09-02T21:00:00,+02:00
1996-03-14T22:00:00,+03:00
1996-09-15T21:00:00,+02:00
1997-03-20T22:00:00,+03:00
1997-09-13T21:00:00,+02:00
1998-03-19T22:00:00,+03:00
1998-09-05T21:00:00,+02:00
1999-04-02T00:00:00,+03:00
1999-09-02T23:00:00,+02:00
2000-04-14T00:00:00,+03:00
2000-10-05T22:00:00,+02:00
2001-04-08T23:00:00,+03:00
2001-09-23T22:00:00,+02:00
2002-03-28T23:00:00,+03:00
2002-10-06T22:00:00,+02:00
2003-03-27T23:00:00,+03:00
2003-10-02T22:00:00,+02:00
2004-04-06T23:00:00,+03:00
2004-09-21T22:00:00,+02:00
2005-04-01T00:00:00,+03:00
2005-10-08T23:00:00,+02:00
2006-03-31T00:00:00,+03:00
2006-09-30T23:00:00,+02:00
2007-03-30T00:00:00,+03:00
2007-09-15T23:00:00,+02:00
2008-03-28T00:00:00,+03:00
2008-10-04T23:00:00,+02:00
2009-03-27T00:00:00,+03:00
2009-09-26T23:00:00,+02:00
2010-03-26T00:00:00,+03:00
2010-09-11T23:00:00,+02:00
2011-04-01T00:00:00,+03:00
2011-10-01T23:00:00,+02:00
2012-03-30T00:00:00,+03:00
2012-09-22T23:00:00,+02:00
2013-03-29T00:00:00,+03:00
2013-10-26T23:00:00,+02:00
2014-03-28T00:00:00,+03:00
2014-10-25T23:00:00,+02:00
2015-03-27T00:00:00,+03:00
2015-10-24T23:00:00,+02:00
2016-03-25T00:00:00,+03:00
2016-10-29T23:00:00,+02:00
2017-03-24T00:00:00,+03:00
2017-10-28T23:00:00,+02:00
2018-03-23T00:00:00,+03:00
2018-10-27T23:00:00,+02:00
2019-03-29T00:00:00,+03:00
2019-10-26T23:00:00,+02:00
2020-03-27T00:00:00,+03:00
2020-10-24T23:00:00,+02:00
2021-03-26T00:00:00,+03:00
2021-10-30T23:00:00,+02:00
2022-03-25T00:00:00,+03:00
2022-10-29T23:00:00,+02:00
2023-03-24T00:00:00,+03:00
2023-10-28T23:00:00,+02:00
2024-03-29T00:00:00,+03:00
2024-10-26T23:00:00,+02:00
2025-03-28T00:00:00,+03:00
2025-10-25T23:00:00,+02:00
2026-03-27T00:00:00,+03:00
2026-10-24T23:00:00,+02:00
2027-03-26T00:00:00,+03:00
2027-10-30T23:00:00,+02:00
2028-03-24T00:00:00,+03:00
2028-10-28T23:00:00,+02:00
2029-03-23T00:00:00,+03:00
2029-10-27T23:00:00,+02:00
2030-03-29T00:00:00,+03:00
2030-10-26T23:00:00,+02:00
2031-03-28T00:00:00,+03:00
2031-10-25T23:00:00,+02:00
2032-03-26T00:00:00,+03:00
2032-10-30T23:00:00,+02:00
2033-03-25T00:00:00,+03:00
2033-10-29T23:00:00,+02:00
2034-03-24T00:00:00,+03:00
2034-10-28T23:00:00,+02:00
2035-03-23T00:00:00,+03:00
2035-10-27T23:00:00,+02:00
2036-03-28T00:00:00,+03:00
2036-10-25T23:00:00,+02:00
2037-03-27T00:00:00,+03:00
2037-10-24T23:00:00,+02:00
