Time,Offset
0001-01-01T00:00:00,+09:02
1919-12-14T14:57:47,+08:00
1930-06-20T16:00:00,+09:00
1981-03-31T15:00:00,+10:00
1981-09-30T14:00:00,+09:00
1982-03-31T15:00:00,+10:00
1982-09-30T14:00:00,+09:00
1983-03-31T15:00:00,+10:00
1983-09-30T14:00:00,+09:00
1984-03-31T15:00:00,+10:00
1984-09-29T17:00:00,+09:00
1985-03-30T17:00:00,+10:00
1985-09-28T17:00:00,+09:00
1986-03-29T17:00:00,+10:00
1986-09-27T17:00:00,+09:00
1987-03-28T17:00:00,+10:00
1987-09-26T17:00:00,+09:00
1988-03-26T17:00:00,+10:00
1988-09-24T17:00:00,+09:00
1989-03-25T17:00:00,+10:00
1989-09-23T17:00:00,+09:00
1990-03-24T17:00:00,+10:00
1990-09-29T17:00:00,+09:00
1991-03-30T17:00:00,+09:00
1991-09-28T18:00:00,+08:00
1992-01-18T18:00:00,+09:00
1992-03-28T17:00:00,+10:00
1992-09-26T17:00:00,+09:00
1993-03-27T17:00:00,+10:00
1993-09-25T17:00:00,+09:00
1994-03-26T17:00:00,+10:00
1994-09-24T17:00:00,+09:00
1995-03-25T17:00:00,+10:00
1995-09-23T17:00:00,+09:00
1996-03-30T17:00:00,+10:00
1996-10-26T17:00:00,+09:00
1997-03-29T17:00:00,+10:00
1997-10-25T17:00:00,+09:00
1998-03-28T17:00:00,+10:00
1998-10-24T17:00:00,+09:00
1999-03-27T17:00:00,+10:00
1999-10-30T17:00:00,+09:00
2000-03-25T17:00:00,+10:00
2000-10-28T17:00:00,+09:00
2001-03-24T17:00:00,+10:00
2001-10-27T17:00:00,+09:00
2002-03-30T17:00:00,+10:00
2002-10-26T17:00:00,+09:00
2003-03-29T17:00:00,+10:00
2003-10-25T17:00:00,+09:00
2003-12-31T15:00:00,+10:00
2004-03-27T16:00:00,+11:00
2004-10-30T16:00:00,+10:00
2005-03-26T16:00:00,+11:00
2005-10-29T16:00:00,+10:00
2006-03-25T16:00:00,+11:00
2006-10-28T16:00:00,+10:00
2007-03-24T16:00:00,+11:00
2007-10-27T16:00:00,+10:00
2008-03-29T16:00:00,+11:00
2008-10-25T16:00:00,+10:00
2009-03-28T16:00:00,+11:00
2009-10-24T16:00:00,+10:00
2010-03-27T16:00:00,+11:00
2010-10-30T16:00:00,+10:00
2011-03-26T16:00:00,+11:00
2011-09-12T13:00:00,+10:00
2014-10-25T16:00:00,+09:00
