Time,Offset
0001-01-01T00:00:00,+07:34
1904-10-29T16:25:50,+08:00
1941-12-21T15:00:00,+09:00
1942-04-30T14:00:00,+10:00
1942-11-17T13:00:00,+09:00
1943-04-30T14:00:00,+10:00
1943-09-30T13:00:00,+09:00
1945-09-30T15:00:00,+08:00
1946-04-30T15:00:00,+09:00
1946-09-30T15:00:00,+08:00
1947-04-19T15:00:00,+09:00
1947-11-30T15:00:00,+08:00
1948-05-02T15:00:00,+09:00
1948-10-31T15:00:00,+08:00
1949-04-02T15:00:00,+09:00
1949-10-29T15:00:00,+08:00
1950-04-01T15:00:00,+09:00
1950-10-28T15:00:00,+08:00
1951-03-31T15:00:00,+09:00
1951-10-28T15:00:00,+08:00
1952-04-05T15:00:00,+09:00
1952-11-01T15:00:00,+08:00
1953-04-04T15:00:00,+09:00
1953-10-31T15:00:00,+08:00
1954-03-20T15:00:00,+09:00
1954-10-30T15:00:00,+08:00
1955-03-19T15:00:00,+09:00
1955-11-05T15:00:00,+08:00
1956-03-17T15:00:00,+09:00
1956-11-03T18:30:00,+08:00
1957-03-23T19:30:00,+09:00
1957-11-02T18:30:00,+08:00
1958-03-22T19:30:00,+09:00
1958-11-01T18:30:00,+08:00
1959-03-21T19:30:00,+09:00
1959-10-31T18:30:00,+08:00
1960-03-19T19:30:00,+09:00
1960-11-05T18:30:00,+08:00
1961-03-18T19:30:00,+09:00
1961-11-04T18:30:00,+08:00
1962-03-17T19:30:00,+09:00
1962-11-03T18:30:00,+08:00
1963-03-23T19:30:00,+09:00
1963-11-02T18:30:00,+08:00
1964-03-21T19:30:00,+09:00
1964-10-31T18:30:00,+08:00
1965-04-17T19:30:00,+09:00
1965-10-16T17:30:00,+08:00
1966-04-16T19:30:00,+09:00
1966-10-15T17:30:00,+08:00
1967-04-15T19:30:00,+09:00
1967-10-21T18:30:00,+08:00
1968-04-20T19:30:00,+09:00
1968-10-19T18:30:00,+08:00
1969-04-19T19:30:00,+09:00
1969-10-18T18:30:00,+08:00
1970-04-18T19:30:00,+09:00
1970-10-17T18:30:00,+08:00
1971-04-17T19:30:00,+09:00
1971-10-16T18:30:00,+08:00
1972-04-15T19:30:00,+09:00
1972-10-21T18:30:00,+08:00
1973-04-21T19:30:00,+09:00
1973-10-20T18:30:00,+08:00
1973-12-29T19:30:00,+09:00
1974-10-19T18:30:00,+08:00
1975-04-19T19:30:00,+09:00
1975-10-18T18:30:00,+08:00
1976-04-17T19:30:00,+09:00
1976-10-16T18:30:00,+08:00
1979-05-12T19:30:00,+09:00
1979-10-20T18:30:00,+08:00
