Time,Offset
0001-01-01T00:00:00,+08:28
1908-03-31T15:32:08,+08:30
1911-12-31T15:30:00,+09:00
1945-09-07T15:00:00,+09:00
1948-05-31T15:00:00,+10:00
1948-09-12T14:00:00,+09:00
1949-04-02T15:00:00,+10:00
1949-09-10T14:00:00,+09:00
1950-03-31T15:00:00,+10:00
1950-09-09T14:00:00,+09:00
1951-05-05T15:00:00,+10:00
1951-09-08T14:00:00,+09:00
1954-03-20T15:00:00,+08:30
1955-05-04T15:30:00,+09:30
1955-09-08T14:30:00,+08:30
1956-05-19T15:30:00,+09:30
1956-09-29T14:30:00,+08:30
1957-05-04T15:30:00,+09:30
1957-09-21T14:30:00,+08:30
1958-05-03T15:30:00,+09:30
1958-09-20T14:30:00,+08:30
1959-05-02T15:30:00,+09:30
1959-09-19T14:30:00,+08:30
1960-04-30T15:30:00,+09:30
1960-09-17T14:30:00,+08:30
1961-08-09T15:30:00,+09:00
1987-05-09T17:00:00,+10:00
1987-10-10T17:00:00,+09:00
1988-05-07T17:00:00,+10:00
1988-10-08T17:00:00,+09:00
