Time,Offset
0001-01-01T00:00:00,+08:06
1901-12-13T20:45:52,+08:00
1937-09-30T16:00:00,+09:00
1945-09-20T16:00:00,+08:00
1946-05-14T16:00:00,+09:00
1946-09-30T15:00:00,+08:00
1947-04-14T16:00:00,+09:00
1947-10-31T15:00:00,+08:00
1948-04-30T16:00:00,+09:00
1948-09-30T15:00:00,+08:00
1949-04-30T16:00:00,+09:00
1949-09-30T15:00:00,+08:00
1950-04-30T16:00:00,+09:00
1950-09-30T15:00:00,+08:00
1951-04-30T16:00:00,+09:00
1951-09-30T15:00:00,+08:00
1952-02-29T16:00:00,+09:00
1952-10-31T15:00:00,+08:00
1953-03-31T16:00:00,+09:00
1953-10-31T15:00:00,+08:00
1954-03-31T16:00:00,+09:00
1954-10-31T15:00:00,+08:00
1955-03-31T16:00:00,+09:00
1955-09-30T15:00:00,+08:00
1956-03-31T16:00:00,+09:00
1956-09-30T15:00:00,+08:00
1957-03-31T16:00:00,+09:00
1957-09-30T15:00:00,+08:00
1958-03-31T16:00:00,+09:00
1958-09-30T15:00:00,+08:00
1959-03-31T16:00:00,+09:00
1959-09-30T15:00:00,+08:00
1960-05-31T16:00:00,+09:00
1960-09-30T15:00:00,+08:00
1961-05-31T16:00:00,+09:00
1961-09-30T15:00:00,+08:00
1974-03-31T16:00:00,+09:00
1974-09-30T15:00:00,+08:00
1975-03-31T16:00:00,+09:00
1975-09-30T15:00:00,+08:00
1979-06-30T16:00:00,+09:00
1979-09-30T15:00:00,+08:00
