Time,Offset
0001-01-01T00:00:00,+04:37
1924-05-01T19:22:49,+05:00
1930-06-20T19:00:00,+06:00
1981-03-31T18:00:00,+07:00
1981-09-30T17:00:00,+06:00
1982-03-31T18:00:00,+07:00
1982-09-30T17:00:00,+06:00
1983-03-31T18:00:00,+07:00
1983-09-30T17:00:00,+06:00
1984-03-31T18:00:00,+07:00
1984-09-29T20:00:00,+06:00
1985-03-30T20:00:00,+07:00
1985-09-28T20:00:00,+06:00
1986-03-29T20:00:00,+07:00
1986-09-27T20:00:00,+06:00
1987-03-28T20:00:00,+07:00
1987-09-26T20:00:00,+06:00
1988-03-26T20:00:00,+07:00
1988-09-24T20:00:00,+06:00
1989-03-25T20:00:00,+07:00
1989-09-23T20:00:00,+06:00
1990-03-24T20:00:00,+07:00
1990-09-29T20:00:00,+06:00
1991-03-30T20:00:00,+06:00
1991-09-28T21:00:00,+05:00
