Time,Offset
0001-01-01T00:00:00,+07:08
1905-07-31T16:52:28,+07:00
1977-12-31T17:00:00,+08:00
1983-03-31T16:00:00,+09:00
1983-09-30T15:00:00,+08:00
1984-03-31T16:00:00,+09:00
1984-09-29T15:00:00,+08:00
1985-03-30T16:00:00,+09:00
1985-09-28T15:00:00,+08:00
1986-03-29T16:00:00,+09:00
1986-09-27T15:00:00,+08:00
1987-03-28T16:00:00,+09:00
1987-09-26T15:00:00,+08:00
1988-03-26T16:00:00,+09:00
1988-09-24T15:00:00,+08:00
1989-03-25T16:00:00,+09:00
1989-09-23T15:00:00,+08:00
1990-03-24T16:00:00,+09:00
1990-09-29T15:00:00,+08:00
1991-03-30T16:00:00,+09:00
1991-09-28T15:00:00,+08:00
1992-03-28T16:00:00,+09:00
1992-09-26T15:00:00,+08:00
1993-03-27T16:00:00,+09:00
1993-09-25T15:00:00,+08:00
1994-03-26T16:00:00,+09:00
1994-09-24T15:00:00,+08:00
1995-03-25T16:00:00,+09:00
1995-09-23T15:00:00,+08:00
1996-03-30T16:00:00,+09:00
1996-09-28T15:00:00,+08:00
1997-03-29T16:00:00,+09:00
1997-09-27T15:00:00,+08:00
1998-03-28T16:00:00,+09:00
1998-09-26T15:00:00,+08:00
2001-04-27T18:00:00,+09:00
2001-09-28T17:00:00,+08:00
2002-03-29T18:00:00,+09:00
2002-09-27T17:00:00,+08:00
2003-03-28T18:00:00,+09:00
2003-09-26T17:00:00,+08:00
2004-03-26T18:00:00,+09:00
2004-09-24T17:00:00,+08:00
2005-03-25T18:00:00,+09:00
2005-09-23T17:00:00,+08:00
2006-03-24T18:00:00,+09:00
2006-09-29T17:00:00,+08:00
2015-03-27T18:00:00,+09:00
2015-09-25T15:00:00,+08:00
2016-03-25T18:00:00,+09:00
2016-09-23T15:00:00,+08:00
