Time,Offset
1901-12-13T20:45:52,-05:41
1917-04-06T04:19:18,-04:41
1917-10-01T03:19:18,-05:41
1918-04-14T04:19:18,-04:41
1918-09-16T03:19:18,-05:41
1930-01-01T06:19:18,-04:00
1942-01-11T06:00:00,-03:00
1942-10-18T05:00:00,-04:00
1943-03-21T06:00:00,-03:00
1943-10-31T05:00:00,-04:00
1944-03-12T06:00:00,-03:00
1944-11-05T05:00:00,-04:00
1945-03-11T06:00:00,-03:00
1945-11-04T05:00:00,-04:00
1947-05-18T06:00:00,-03:00
1947-09-14T05:00:00,-04:00
1948-05-23T06:00:00,-03:00
1948-09-05T05:00:00,-04:00
1949-05-22T06:00:00,-03:00
1949-09-04T05:00:00,-04:00
1950-05-28T06:00:00,-03:00
1950-09-03T05:00:00,-04:00
1951-05-27T06:00:00,-03:00
1951-09-02T05:00:00,-04:00
1952-05-25T06:00:00,-03:00
1952-09-07T05:00:00,-04:00
1956-05-27T06:00:00,-03:00
1956-10-28T05:00:00,-04:00
1974-04-28T06:00:00,-03:00
1974-10-27T05:00:00,-04:00
1975-04-27T06:00:00,-03:00
1975-10-26T05:00:00,-04:00
1976-04-25T06:00:00,-03:00
1976-10-31T05:00:00,-04:00
1977-04-24T06:00:00,-03:00
1977-10-30T05:00:00,-04:00
1978-04-30T06:00:00,-03:00
1978-10-29T05:00:00,-04:00
1979-04-29T06:00:00,-03:00
1979-10-28T05:00:00,-04:00
1980-04-27T06:00:00,-03:00
1980-10-26T05:00:00,-04:00
1981-04-26T06:00:00,-03:00
1981-10-25T05:00:00,-04:00
1982-04-25T06:00:00,-03:00
1982-10-31T05:00:00,-04:00
1983-04-24T06:00:00,-03:00
1983-10-30T05:00:00,-04:00
1984-04-29T06:00:00,-03:00
1984-10-28T05:00:00,-04:00
1985-04-28T06:00:00,-03:00
1985-10-27T05:00:00,-04:00
1986-04-27T06:00:00,-03:00
1986-10-26T05:00:00,-04:00
1987-04-05T06:00:00,-03:00
1987-10-25T05:00:00,-04:00
1988-04-03T06:00:00,-03:00
1988-10-30T05:00:00,-04:00
1989-04-02T06:00:00,-03:00
1989-10-29T05:00:00,-04:00
1990-04-01T06:00:00,-03:00
1990-10-28T05:00:00,-04:00
1991-04-07T06:00:00,-03:00
1991-10-27T05:00:00,-04:00
1992-04-05T06:00:00,-03:00
1992-10-25T05:00:00,-04:00
1993-04-04T06:00:00,-03:00
1993-10-31T05:00:00,-04:00
1994-04-03T06:00:00,-03:00
1994-10-30T05:00:00,-04:00
1995-04-02T06:00:00,-03:00
1995-10-29T05:00:00,-04:00
1996-04-07T06:00:00,-03:00
1996-10-27T05:00:00,-04:00
1997-04-06T06:00:00,-03:00
1997-10-26T05:00:00,-04:00
1998-04-05T06:00:00,-03:00
1998-10-25T05:00:00,-04:00
1999-04-04T06:00:00,-03:00
1999-10-31T05:00:00,-04:00
2000-04-02T06:00:00,-03:00
2000-10-29T05:00:00,-04:00
2001-04-01T06:00:00,-03:00
