Time,Offset
1901-12-13 20:45:52,-04:09
1912-03-12 03:51:24,-04:00
1937-09-26 04:00:00,-03:00
1938-03-20 03:00:00,-04:00
1938-09-25 04:00:00,-03:00
1939-03-19 03:00:00,-04:00
1939-10-01 04:00:00,-03:00
1940-03-24 03:00:00,-04:00
1940-09-29 04:00:00,-03:00
1941-03-23 03:00:00,-04:00
1941-09-28 04:00:00,-03:00
1942-03-22 03:00:00,-04:00
1942-09-27 04:00:00,-03:00
1943-01-01 03:00:00,-04:00
1983-05-01 04:00:00,-03:00
1983-09-25 03:00:00,-02:00
1984-04-29 02:00:00,-03:00
1984-09-16 03:00:00,-02:00
1985-04-28 02:00:00,-03:00
1985-09-15 03:00:00,-03:00
1986-04-20 03:00:00,-04:00
1986-09-14 04:00:00,-03:00
1987-04-19 03:00:00,-04:00
1987-09-13 04:00:00,-03:00
1988-04-17 03:00:00,-04:00
1988-09-11 04:00:00,-03:00
1989-04-16 03:00:00,-04:00
1989-09-10 04:00:00,-03:00
1990-04-22 03:00:00,-04:00
1990-09-09 04:00:00,-03:00
1991-04-21 03:00:00,-04:00
1991-09-15 04:00:00,-03:00
1992-04-19 03:00:00,-04:00
1992-09-13 04:00:00,-03:00
1993-04-18 03:00:00,-04:00
1993-09-12 04:00:00,-03:00
1994-04-17 03:00:00,-04:00
1994-09-11 04:00:00,-03:00
1995-04-16 03:00:00,-04:00
1995-09-10 04:00:00,-03:00
1996-04-21 03:00:00,-04:00
1996-09-15 04:00:00,-03:00
1997-04-20 03:00:00,-04:00
1997-09-14 04:00:00,-03:00
1998-04-19 03:00:00,-04:00
1998-09-13 04:00:00,-03:00
1999-04-18 03:00:00,-04:00
1999-09-12 04:00:00,-03:00
2000-04-16 03:00:00,-04:00
2000-09-10 04:00:00,-03:00
2001-04-15 05:00:00,-04:00
2001-09-02 06:00:00,-03:00
2002-04-21 05:00:00,-04:00
2002-09-01 06:00:00,-03:00
2003-04-20 05:00:00,-04:00
2003-09-07 06:00:00,-03:00
2004-04-18 05:00:00,-04:00
2004-09-05 06:00:00,-03:00
2005-04-17 05:00:00,-04:00
2005-09-04 06:00:00,-03:00
2006-04-16 05:00:00,-04:00
2006-09-03 06:00:00,-03:00
2007-04-15 05:00:00,-04:00
2007-09-02 06:00:00,-03:00
2008-04-20 05:00:00,-04:00
2008-09-07 06:00:00,-03:00
2009-04-19 05:00:00,-04:00
2009-09-06 06:00:00,-03:00
2010-04-18 05:00:00,-04:00
2010-09-05 06:00:00,-03:00
