Time,Offset
0001-01-01 00:00:00,+10:12
1901-12-13 20:45:52,+10:00
1916-12-31 16:00:00,+11:00
1917-03-24 16:00:00,+10:00
1941-12-31 16:00:00,+11:00
1942-03-28 16:00:00,+10:00
1942-09-26 16:00:00,+11:00
1943-03-27 16:00:00,+10:00
1943-10-02 16:00:00,+11:00
1944-03-25 16:00:00,+10:00
1971-10-30 16:00:00,+11:00
1972-02-26 16:00:00,+10:00
1989-10-28 16:00:00,+11:00
1990-03-03 16:00:00,+10:00
1990-10-27 16:00:00,+11:00
1991-03-02 16:00:00,+10:00
1991-10-26 16:00:00,+11:00
1992-02-29 16:00:00,+10:00
