Time,Offset
0001-01-01 00:00:00,+09:26
1901-12-13 20:45:52,+09:30
1916-12-31 16:30:00,+10:30
1917-03-24 16:30:00,+09:30
1941-12-31 16:30:00,+10:30
1942-03-28 16:30:00,+09:30
1942-09-26 16:30:00,+10:30
1943-03-27 16:30:00,+09:30
1943-10-02 16:30:00,+10:30
1944-03-25 16:30:00,+09:30
1971-10-30 16:30:00,+10:30
1972-02-26 16:30:00,+09:30
1972-10-28 16:30:00,+10:30
1973-03-03 16:30:00,+09:30
1973-10-27 16:30:00,+10:30
1974-03-02 16:30:00,+09:30
1974-10-26 16:30:00,+10:30
1975-03-01 16:30:00,+09:30
1975-10-25 16:30:00,+10:30
1976-03-06 16:30:00,+09:30
1976-10-30 16:30:00,+10:30
1977-03-05 16:30:00,+09:30
1977-10-29 16:30:00,+10:30
1978-03-04 16:30:00,+09:30
1978-10-28 16:30:00,+10:30
1979-03-03 16:30:00,+09:30
1979-10-27 16:30:00,+10:30
1980-03-01 16:30:00,+09:30
1980-10-25 16:30:00,+10:30
1981-02-28 16:30:00,+09:30
1981-10-24 16:30:00,+10:30
1982-04-03 16:30:00,+09:30
1982-10-30 16:30:00,+10:30
1983-03-05 16:30:00,+09:30
1983-10-29 16:30:00,+10:30
1984-03-03 16:30:00,+09:30
1984-10-27 16:30:00,+10:30
1985-03-02 16:30:00,+09:30
1985-10-26 16:30:00,+10:30
1986-03-15 16:30:00,+09:30
1986-10-18 16:30:00,+10:30
1987-03-14 16:30:00,+09:30
1987-10-24 16:30:00,+10:30
1988-03-19 16:30:00,+09:30
1988-10-29 16:30:00,+10:30
1989-03-18 16:30:00,+09:30
1989-10-28 16:30:00,+10:30
1990-03-03 16:30:00,+09:30
1990-10-27 16:30:00,+10:30
1991-03-02 16:30:00,+09:30
1991-10-26 16:30:00,+10:30
1992-02-29 16:30:00,+09:30
1992-10-24 16:30:00,+10:30
1993-03-06 16:30:00,+09:30
1993-10-30 16:30:00,+10:30
1994-03-05 16:30:00,+09:30
1994-10-29 16:30:00,+10:30
1995-03-04 16:30:00,+09:30
1995-10-28 16:30:00,+10:30
1996-03-30 16:30:00,+09:30
1996-10-26 16:30:00,+10:30
1997-03-29 16:30:00,+09:30
1997-10-25 16:30:00,+10:30
1998-03-28 16:30:00,+09:30
1998-10-24 16:30:00,+10:30
1999-03-27 16:30:00,+09:30
1999-10-30 16:30:00,+10:30
2000-03-25 16:30:00,+09:30
2000-10-28 16:30:00,+10:30
2001-03-24 16:30:00,+09:30
2001-10-27 16:30:00,+10:30
2002-03-30 16:30:00,+09:30
2002-10-26 16:30:00,+10:30
2003-03-29 16:30:00,+09:30
2003-10-25 16:30:00,+10:30
2004-03-27 16:30:00,+09:30
2004-10-30 16:30:00,+10:30
2005-03-26 16:30:00,+09:30
2005-10-29 16:30:00,+10:30
2006-04-01 16:30:00,+09:30
2006-10-28 16:30:00,+10:30
2007-03-24 16:30:00,+09:30
2007-10-27 16:30:00,+10:30
2008-04-05 16:30:00,+09:30
2008-10-04 16:30:00,+10:30
2009-04-04 16:30:00,+09:30
2009-10-03 16:30:00,+10:30
2010-04-03 16:30:00,+09:30
2010-10-02 16:30:00,+10:30
2011-04-02 16:30:00,+09:30
2011-10-01 16:30:00,+10:30
2012-03-31 16:30:00,+09:30
2012-10-06 16:30:00,+10:30
2013-04-06 16:30:00,+09:30
2013-10-05 16:30:00,+10:30
2014-04-05 16:30:00,+09:30
2014-10-04 16:30:00,+10:30
2015-04-04 16:30:00,+09:30
2015-10-03 16:30:00,+10:30
2016-04-02 16:30:00,+09:30
2016-10-01 16:30:00,+10:30
2017-04-01 16:30:00,+09:30
2017-09-30 16:30:00,+10:30
2018-03-31 16:30:00,+09:30
2018-10-06 16:30:00,+10:30
2019-04-06 16:30:00,+09:30
2019-10-05 16:30:00,+10:30
2020-04-04 16:30:00,+09:30
2020-10-03 16:30:00,+10:30
2021-04-03 16:30:00,+09:30
2021-10-02 16:30:00,+10:30
2022-04-02 16:30:00,+09:30
2022-10-01 16:30:00,+10:30
2023-04-01 16:30:00,+09:30
2023-09-30 16:30:00,+10:30
2024-04-06 16:30:00,+09:30
2024-10-05 16:30:00,+10:30
2025-04-05 16:30:00,+09:30
2025-10-04 16:30:00,+10:30
2026-04-04 16:30:00,+09:30
2026-10-03 16:30:00,+10:30
2027-04-03 16:30:00,+09:30
2027-10-02 16:30:00,+10:30
2028-04-01 16:30:00,+09:30
2028-09-30 16:30:00,+10:30
2029-03-31 16:30:00,+09:30
2029-10-06 16:30:00,+10:30
2030-04-06 16:30:00,+09:30
2030-10-05 16:30:00,+10:30
2031-04-05 16:30:00,+09:30
2031-10-04 16:30:00,+10:30
2032-04-03 16:30:00,+09:30
2032-10-02 16:30:00,+10:30
2033-04-02 16:30:00,+09:30
2033-10-01 16:30:00,+10:30
2034-04-01 16:30:00,+09:30
2034-09-30 16:30:00,+10:30
2035-03-31 16:30:00,+09:30
2035-10-06 16:30:00,+10:30
2036-04-05 16:30:00,+09:30
2036-10-04 16:30:00,+10:30
2037-04-04 16:30:00,+09:30
2037-10-03 16:30:00,+10:30
