Time,Offset
0001-01-01T00:00:00,+09:49
1901-12-13T20:45:52,+10:00
1916-09-30T16:00:00,+11:00
1917-03-24T16:00:00,+10:00
1917-10-27T16:00:00,+11:00
1918-03-02T16:00:00,+10:00
1918-10-26T16:00:00,+11:00
1919-03-01T16:00:00,+10:00
1941-12-31T16:00:00,+11:00
1942-03-28T16:00:00,+10:00
1942-09-26T16:00:00,+11:00
1943-03-27T16:00:00,+10:00
1943-10-02T16:00:00,+11:00
1944-03-25T16:00:00,+10:00
1967-09-30T16:00:00,+11:00
1968-03-30T16:00:00,+10:00
1968-10-26T16:00:00,+11:00
1969-03-08T16:00:00,+10:00
1969-10-25T16:00:00,+11:00
1970-03-07T16:00:00,+10:00
1970-10-24T16:00:00,+11:00
1971-03-13T16:00:00,+10:00
1971-10-30T16:00:00,+11:00
1972-02-26T16:00:00,+10:00
1972-10-28T16:00:00,+11:00
1973-03-03T16:00:00,+10:00
1973-10-27T16:00:00,+11:00
1974-03-02T16:00:00,+10:00
1974-10-26T16:00:00,+11:00
1975-03-01T16:00:00,+10:00
1975-10-25T16:00:00,+11:00
1976-03-06T16:00:00,+10:00
1976-10-30T16:00:00,+11:00
1977-03-05T16:00:00,+10:00
1977-10-29T16:00:00,+11:00
1978-03-04T16:00:00,+10:00
1978-10-28T16:00:00,+11:00
1979-03-03T16:00:00,+10:00
1979-10-27T16:00:00,+11:00
1980-03-01T16:00:00,+10:00
1980-10-25T16:00:00,+11:00
1981-02-28T16:00:00,+10:00
1981-10-24T16:00:00,+11:00
1982-03-27T16:00:00,+10:00
1982-10-30T16:00:00,+11:00
1983-03-26T16:00:00,+10:00
1983-10-29T16:00:00,+11:00
1984-03-03T16:00:00,+10:00
1984-10-27T16:00:00,+11:00
1985-03-02T16:00:00,+10:00
1985-10-26T16:00:00,+11:00
1986-03-01T16:00:00,+10:00
1986-10-18T16:00:00,+11:00
1987-03-14T16:00:00,+10:00
1987-10-24T16:00:00,+11:00
1988-03-19T16:00:00,+10:00
1988-10-29T16:00:00,+11:00
1989-03-18T16:00:00,+10:00
1989-10-28T16:00:00,+11:00
1990-03-17T16:00:00,+10:00
1990-10-27T16:00:00,+11:00
1991-03-30T16:00:00,+10:00
1991-10-05T16:00:00,+11:00
1992-03-28T16:00:00,+10:00
1992-10-03T16:00:00,+11:00
1993-03-27T16:00:00,+10:00
1993-10-02T16:00:00,+11:00
1994-03-26T16:00:00,+10:00
1994-10-01T16:00:00,+11:00
1995-03-25T16:00:00,+10:00
1995-09-30T16:00:00,+11:00
1996-03-30T16:00:00,+10:00
1996-10-05T16:00:00,+11:00
1997-03-29T16:00:00,+10:00
1997-10-04T16:00:00,+11:00
1998-03-28T16:00:00,+10:00
1998-10-03T16:00:00,+11:00
1999-03-27T16:00:00,+10:00
1999-10-02T16:00:00,+11:00
2000-03-25T16:00:00,+10:00
2000-08-26T16:00:00,+11:00
2001-03-24T16:00:00,+10:00
2001-10-06T16:00:00,+11:00
2002-03-30T16:00:00,+10:00
2002-10-05T16:00:00,+11:00
2003-03-29T16:00:00,+10:00
2003-10-04T16:00:00,+11:00
2004-03-27T16:00:00,+10:00
2004-10-02T16:00:00,+11:00
2005-03-26T16:00:00,+10:00
2005-10-01T16:00:00,+11:00
2006-04-01T16:00:00,+10:00
2006-09-30T16:00:00,+11:00
2007-03-24T16:00:00,+10:00
2007-10-06T16:00:00,+11:00
2008-04-05T16:00:00,+10:00
2008-10-04T16:00:00,+11:00
2009-04-04T16:00:00,+10:00
2009-10-03T16:00:00,+11:00
2010-04-03T16:00:00,+10:00
2010-10-02T16:00:00,+11:00
2011-04-02T16:00:00,+10:00
2011-10-01T16:00:00,+11:00
2012-03-31T16:00:00,+10:00
2012-10-06T16:00:00,+11:00
2013-04-06T16:00:00,+10:00
2013-10-05T16:00:00,+11:00
2014-04-05T16:00:00,+10:00
2014-10-04T16:00:00,+11:00
2015-04-04T16:00:00,+10:00
2015-10-03T16:00:00,+11:00
2016-04-02T16:00:00,+10:00
2016-10-01T16:00:00,+11:00
2017-04-01T16:00:00,+10:00
2017-09-30T16:00:00,+11:00
2018-03-31T16:00:00,+10:00
2018-10-06T16:00:00,+11:00
2019-04-06T16:00:00,+10:00
2019-10-05T16:00:00,+11:00
2020-04-04T16:00:00,+10:00
2020-10-03T16:00:00,+11:00
2021-04-03T16:00:00,+10:00
2021-10-02T16:00:00,+11:00
2022-04-02T16:00:00,+10:00
2022-10-01T16:00:00,+11:00
2023-04-01T16:00:00,+10:00
2023-09-30T16:00:00,+11:00
2024-04-06T16:00:00,+10:00
2024-10-05T16:00:00,+11:00
2025-04-05T16:00:00,+10:00
2025-10-04T16:00:00,+11:00
2026-04-04T16:00:00,+10:00
2026-10-03T16:00:00,+11:00
2027-04-03T16:00:00,+10:00
2027-10-02T16:00:00,+11:00
2028-04-01T16:00:00,+10:00
2028-09-30T16:00:00,+11:00
2029-03-31T16:00:00,+10:00
2029-10-06T16:00:00,+11:00
2030-04-06T16:00:00,+10:00
2030-10-05T16:00:00,+11:00
2031-04-05T16:00:00,+10:00
2031-10-04T16:00:00,+11:00
2032-04-03T16:00:00,+10:00
2032-10-02T16:00:00,+11:00
2033-04-02T16:00:00,+10:00
2033-10-01T16:00:00,+11:00
2034-04-01T16:00:00,+10:00
2034-09-30T16:00:00,+11:00
2035-03-31T16:00:00,+10:00
2035-10-06T16:00:00,+11:00
2036-04-05T16:00:00,+10:00
2036-10-04T16:00:00,+11:00
2037-04-04T16:00:00,+10:00
2037-10-03T16:00:00,+11:00
