Time,Offset
0001-01-01 00:00:00,+08:35
1901-12-13 20:45:52,+08:45
1916-12-31 17:15:00,+09:45
1917-03-24 17:15:00,+08:45
1941-12-31 17:15:00,+09:45
1942-03-28 17:15:00,+08:45
1942-09-26 17:15:00,+09:45
1943-03-27 17:15:00,+08:45
1974-10-26 17:15:00,+09:45
1975-03-01 17:15:00,+08:45
1983-10-29 17:15:00,+09:45
1984-03-03 17:15:00,+08:45
1991-11-16 17:15:00,+09:45
1992-02-29 17:15:00,+08:45
2006-12-02 17:15:00,+09:45
2007-03-24 17:15:00,+08:45
2007-10-27 17:15:00,+09:45
2008-03-29 17:15:00,+08:45
2008-10-25 17:15:00,+09:45
2009-03-28 17:15:00,+08:45
