Time,Offset
0001-01-01T00:00:00,+10:36
1901-12-13T20:45:52,+10:00
1981-02-28T14:00:00,+10:30
1981-10-24T15:30:00,+11:30
1982-03-06T14:30:00,+10:30
1982-10-30T15:30:00,+11:30
1983-03-05T14:30:00,+10:30
1983-10-29T15:30:00,+11:30
1984-03-03T14:30:00,+10:30
1984-10-27T15:30:00,+11:30
1985-03-02T14:30:00,+10:30
1985-10-26T15:30:00,+11:00
1986-03-15T15:00:00,+10:30
1986-10-18T15:30:00,+11:00
1987-03-14T15:00:00,+10:30
1987-10-24T15:30:00,+11:00
1988-03-19T15:00:00,+10:30
1988-10-29T15:30:00,+11:00
1989-03-18T15:00:00,+10:30
1989-10-28T15:30:00,+11:00
1990-03-03T15:00:00,+10:30
1990-10-27T15:30:00,+11:00
1991-03-02T15:00:00,+10:30
1991-10-26T15:30:00,+11:00
1992-02-29T15:00:00,+10:30
1992-10-24T15:30:00,+11:00
1993-03-06T15:00:00,+10:30
1993-10-30T15:30:00,+11:00
1994-03-05T15:00:00,+10:30
1994-10-29T15:30:00,+11:00
1995-03-04T15:00:00,+10:30
1995-10-28T15:30:00,+11:00
1996-03-30T15:00:00,+10:30
1996-10-26T15:30:00,+11:00
1997-03-29T15:00:00,+10:30
1997-10-25T15:30:00,+11:00
1998-03-28T15:00:00,+10:30
1998-10-24T15:30:00,+11:00
1999-03-27T15:00:00,+10:30
1999-10-30T15:30:00,+11:00
2000-03-25T15:00:00,+10:30
2000-08-26T15:30:00,+11:00
2001-03-24T15:00:00,+10:30
2001-10-27T15:30:00,+11:00
2002-03-30T15:00:00,+10:30
2002-10-26T15:30:00,+11:00
2003-03-29T15:00:00,+10:30
2003-10-25T15:30:00,+11:00
2004-03-27T15:00:00,+10:30
2004-10-30T15:30:00,+11:00
2005-03-26T15:00:00,+10:30
2005-10-29T15:30:00,+11:00
2006-04-01T15:00:00,+10:30
2006-10-28T15:30:00,+11:00
2007-03-24T15:00:00,+10:30
2007-10-27T15:30:00,+11:00
2008-04-05T15:00:00,+10:30
2008-10-04T15:30:00,+11:00
2009-04-04T15:00:00,+10:30
2009-10-03T15:30:00,+11:00
2010-04-03T15:00:00,+10:30
2010-10-02T15:30:00,+11:00
2011-04-02T15:00:00,+10:30
2011-10-01T15:30:00,+11:00
2012-03-31T15:00:00,+10:30
2012-10-06T15:30:00,+11:00
2013-04-06T15:00:00,+10:30
2013-10-05T15:30:00,+11:00
2014-04-05T15:00:00,+10:30
2014-10-04T15:30:00,+11:00
2015-04-04T15:00:00,+10:30
2015-10-03T15:30:00,+11:00
2016-04-02T15:00:00,+10:30
2016-10-01T15:30:00,+11:00
2017-04-01T15:00:00,+10:30
2017-09-30T15:30:00,+11:00
2018-03-31T15:00:00,+10:30
2018-10-06T15:30:00,+11:00
2019-04-06T15:00:00,+10:30
2019-10-05T15:30:00,+11:00
2020-04-04T15:00:00,+10:30
2020-10-03T15:30:00,+11:00
2021-04-03T15:00:00,+10:30
2021-10-02T15:30:00,+11:00
2022-04-02T15:00:00,+10:30
2022-10-01T15:30:00,+11:00
2023-04-01T15:00:00,+10:30
2023-09-30T15:30:00,+11:00
2024-04-06T15:00:00,+10:30
2024-10-05T15:30:00,+11:00
2025-04-05T15:00:00,+10:30
2025-10-04T15:30:00,+11:00
2026-04-04T15:00:00,+10:30
2026-10-03T15:30:00,+11:00
2027-04-03T15:00:00,+10:30
2027-10-02T15:30:00,+11:00
2028-04-01T15:00:00,+10:30
2028-09-30T15:30:00,+11:00
2029-03-31T15:00:00,+10:30
2029-10-06T15:30:00,+11:00
2030-04-06T15:00:00,+10:30
2030-10-05T15:30:00,+11:00
2031-04-05T15:00:00,+10:30
2031-10-04T15:30:00,+11:00
2032-04-03T15:00:00,+10:30
2032-10-02T15:30:00,+11:00
2033-04-02T15:00:00,+10:30
2033-10-01T15:30:00,+11:00
2034-04-01T15:00:00,+10:30
2034-09-30T15:30:00,+11:00
2035-03-31T15:00:00,+10:30
2035-10-06T15:30:00,+11:00
2036-04-05T15:00:00,+10:30
2036-10-04T15:30:00,+11:00
2037-04-04T15:00:00,+10:30
2037-10-03T15:30:00,+11:00
