Time,Offset
0001-01-01T00:00:00,+07:43
1901-12-13T20:45:52,+08:00
1916-12-31T18:00:00,+09:00
1917-03-24T18:00:00,+08:00
1941-12-31T18:00:00,+09:00
1942-03-28T18:00:00,+08:00
1942-09-26T18:00:00,+09:00
1943-03-27T18:00:00,+08:00
1974-10-26T18:00:00,+09:00
1975-03-01T18:00:00,+08:00
1983-10-29T18:00:00,+09:00
1984-03-03T18:00:00,+08:00
1991-11-16T18:00:00,+09:00
1992-02-29T18:00:00,+08:00
2006-12-02T18:00:00,+09:00
2007-03-24T18:00:00,+08:00
2007-10-27T18:00:00,+09:00
2008-03-29T18:00:00,+08:00
2008-10-25T18:00:00,+09:00
2009-03-28T18:00:00,+08:00
