Time,Offset
0001-01-01T00:00:00,+10:12
1901-12-13T20:45:52,+10:00
1916-12-31T16:00:00,+11:00
1917-03-24T16:00:00,+10:00
1941-12-31T16:00:00,+11:00
1942-03-28T16:00:00,+10:00
1942-09-26T16:00:00,+11:00
1943-03-27T16:00:00,+10:00
1943-10-02T16:00:00,+11:00
1944-03-25T16:00:00,+10:00
1971-10-30T16:00:00,+11:00
1972-02-26T16:00:00,+10:00
1989-10-28T16:00:00,+11:00
1990-03-03T16:00:00,+10:00
1990-10-27T16:00:00,+11:00
1991-03-02T16:00:00,+10:00
1991-10-26T16:00:00,+11:00
1992-02-29T16:00:00,+10:00
