Time,Offset
0001-01-01 00:00:00,+07:43
1901-12-13 20:45:52,+08:00
1916-12-31 18:00:00,+09:00
1917-03-24 18:00:00,+08:00
1941-12-31 18:00:00,+09:00
1942-03-28 18:00:00,+08:00
1942-09-26 18:00:00,+09:00
1943-03-27 18:00:00,+08:00
1974-10-26 18:00:00,+09:00
1975-03-01 18:00:00,+08:00
1983-10-29 18:00:00,+09:00
1984-03-03 18:00:00,+08:00
1991-11-16 18:00:00,+09:00
1992-02-29 18:00:00,+08:00
2006-12-02 18:00:00,+09:00
2007-03-24 18:00:00,+08:00
2007-10-27 18:00:00,+09:00
2008-03-29 18:00:00,+08:00
2008-10-25 18:00:00,+09:00
2009-03-28 18:00:00,+08:00
