Time,Offset
1914-01-01 02:09:40,-02:00
1931-10-03 13:00:00,-01:00
1932-04-01 01:00:00,-02:00
1932-10-03 02:00:00,-01:00
1933-04-01 01:00:00,-02:00
1949-12-01 02:00:00,-01:00
1950-04-16 02:00:00,-02:00
1950-12-01 02:00:00,-01:00
1951-04-01 01:00:00,-02:00
1951-12-01 02:00:00,-01:00
1952-04-01 01:00:00,-02:00
1952-12-01 02:00:00,-01:00
1953-03-01 01:00:00,-02:00
1963-12-09 02:00:00,-01:00
1964-03-01 01:00:00,-02:00
1965-01-31 02:00:00,-01:00
1965-03-31 01:00:00,-02:00
1965-12-01 02:00:00,-01:00
1966-03-01 01:00:00,-02:00
1966-11-01 02:00:00,-01:00
1967-03-01 01:00:00,-02:00
1967-11-01 02:00:00,-01:00
1968-03-01 01:00:00,-02:00
1985-11-02 02:00:00,-01:00
1986-03-15 01:00:00,-02:00
1986-10-25 02:00:00,-01:00
1987-02-14 01:00:00,-02:00
1987-10-25 02:00:00,-01:00
1988-02-07 01:00:00,-02:00
1988-10-16 02:00:00,-01:00
1989-01-29 01:00:00,-02:00
1989-10-15 02:00:00,-01:00
1990-02-11 01:00:00,-02:00
1999-10-03 02:00:00,-01:00
2000-02-27 01:00:00,-02:00
2000-10-08 02:00:00,-01:00
2000-10-15 01:00:00,-02:00
2001-10-14 02:00:00,-01:00
2002-02-17 01:00:00,-02:00
