Time,Offset
1918-03-31 08:00:00,-05:00
1918-10-27 07:00:00,-06:00
1919-03-30 08:00:00,-05:00
1919-10-26 07:00:00,-06:00
1942-02-09 08:00:00,-05:00
1945-08-14 23:00:00,-05:00
1945-09-30 07:00:00,-06:00
1967-04-30 08:00:00,-05:00
1967-10-29 07:00:00,-06:00
1968-04-28 08:00:00,-05:00
1968-10-27 07:00:00,-06:00
1969-04-27 08:00:00,-05:00
1969-10-26 07:00:00,-06:00
1970-04-26 08:00:00,-05:00
1970-10-25 07:00:00,-06:00
1971-04-25 08:00:00,-05:00
1971-10-31 07:00:00,-06:00
1972-04-30 08:00:00,-05:00
1972-10-29 07:00:00,-06:00
1973-04-29 08:00:00,-05:00
1973-10-28 07:00:00,-06:00
1974-01-06 08:00:00,-05:00
1974-10-27 07:00:00,-06:00
1975-02-23 08:00:00,-05:00
1975-10-26 07:00:00,-06:00
1976-04-25 08:00:00,-05:00
1976-10-31 07:00:00,-06:00
1977-04-24 08:00:00,-05:00
1977-10-30 07:00:00,-06:00
1978-04-30 08:00:00,-05:00
1978-10-29 07:00:00,-06:00
1979-04-29 08:00:00,-05:00
1979-10-28 07:00:00,-06:00
1980-04-27 08:00:00,-05:00
1980-10-26 07:00:00,-06:00
1981-04-26 08:00:00,-05:00
1981-10-25 07:00:00,-06:00
1982-04-25 08:00:00,-05:00
1982-10-31 07:00:00,-06:00
1983-04-24 08:00:00,-05:00
1983-10-30 07:00:00,-06:00
1984-04-29 08:00:00,-05:00
1984-10-28 07:00:00,-06:00
1985-04-28 08:00:00,-05:00
1985-10-27 07:00:00,-06:00
1986-04-27 08:00:00,-05:00
1986-10-26 07:00:00,-06:00
1987-04-05 08:00:00,-05:00
1987-10-25 07:00:00,-06:00
1988-04-03 08:00:00,-05:00
1988-10-30 07:00:00,-06:00
1989-04-02 08:00:00,-05:00
1989-10-29 07:00:00,-06:00
1990-04-01 08:00:00,-05:00
1990-10-28 07:00:00,-06:00
1991-04-07 08:00:00,-05:00
1991-10-27 07:00:00,-06:00
1992-04-05 08:00:00,-05:00
1992-10-25 07:00:00,-06:00
1993-04-04 08:00:00,-05:00
1993-10-31 07:00:00,-06:00
1994-04-03 08:00:00,-05:00
1994-10-30 07:00:00,-06:00
1995-04-02 08:00:00,-05:00
1995-10-29 07:00:00,-06:00
1996-04-07 08:00:00,-05:00
1996-10-27 07:00:00,-06:00
1997-04-06 08:00:00,-05:00
1997-10-26 07:00:00,-06:00
1998-04-05 08:00:00,-05:00
1998-10-25 07:00:00,-06:00
1999-04-04 08:00:00,-05:00
1999-10-31 07:00:00,-06:00
2000-04-02 08:00:00,-05:00
2000-10-29 07:00:00,-06:00
2001-04-01 08:00:00,-05:00
2001-10-28 07:00:00,-06:00
2002-04-07 08:00:00,-05:00
2002-10-27 07:00:00,-06:00
2003-04-06 08:00:00,-05:00
2003-10-26 07:00:00,-06:00
2004-04-04 08:00:00,-05:00
2004-10-31 07:00:00,-06:00
2005-04-03 08:00:00,-05:00
2005-10-30 07:00:00,-06:00
2006-04-02 08:00:00,-05:00
2006-10-29 07:00:00,-06:00
2007-03-11 08:00:00,-05:00
2007-11-04 07:00:00,-06:00
2008-03-09 08:00:00,-05:00
2008-11-02 07:00:00,-06:00
2009-03-08 08:00:00,-05:00
2009-11-01 07:00:00,-06:00
2010-03-14 08:00:00,-05:00
2010-11-07 07:00:00,-06:00
2011-03-13 08:00:00,-05:00
2011-11-06 07:00:00,-06:00
2012-03-11 08:00:00,-05:00
2012-11-04 07:00:00,-06:00
2013-03-10 08:00:00,-05:00
2013-11-03 07:00:00,-06:00
2014-03-09 08:00:00,-05:00
2014-11-02 07:00:00,-06:00
2015-03-08 08:00:00,-05:00
2015-11-01 07:00:00,-06:00
2016-03-13 08:00:00,-05:00
2016-11-06 07:00:00,-06:00
2017-03-12 08:00:00,-05:00
2017-11-05 07:00:00,-06:00
2018-03-11 08:00:00,-05:00
2018-11-04 07:00:00,-06:00
2019-03-10 08:00:00,-05:00
2019-11-03 07:00:00,-06:00
2020-03-08 08:00:00,-05:00
2020-11-01 07:00:00,-06:00
2021-03-14 08:00:00,-05:00
2021-11-07 07:00:00,-06:00
2022-03-13 08:00:00,-05:00
2022-11-06 07:00:00,-06:00
2023-03-12 08:00:00,-05:00
2023-11-05 07:00:00,-06:00
2024-03-10 08:00:00,-05:00
2024-11-03 07:00:00,-06:00
2025-03-09 08:00:00,-05:00
2025-11-02 07:00:00,-06:00
2026-03-08 08:00:00,-05:00
2026-11-01 07:00:00,-06:00
2027-03-14 08:00:00,-05:00
2027-11-07 07:00:00,-06:00
2028-03-12 08:00:00,-05:00
2028-11-05 07:00:00,-06:00
2029-03-11 08:00:00,-05:00
2029-11-04 07:00:00,-06:00
2030-03-10 08:00:00,-05:00
2030-11-03 07:00:00,-06:00
2031-03-09 08:00:00,-05:00
2031-11-02 07:00:00,-06:00
2032-03-14 08:00:00,-05:00
2032-11-07 07:00:00,-06:00
2033-03-13 08:00:00,-05:00
2033-11-06 07:00:00,-06:00
2034-03-12 08:00:00,-05:00
2034-11-05 07:00:00,-06:00
2035-03-11 08:00:00,-05:00
2035-11-04 07:00:00,-06:00
2036-03-09 08:00:00,-05:00
2036-11-02 07:00:00,-06:00
2037-03-08 08:00:00,-05:00
2037-11-01 07:00:00,-06:00
