Time,Offset
1901-12-13 20:45:52,-09:00
1918-04-14 11:00:00,-08:00
1918-10-27 10:00:00,-09:00
1919-05-25 11:00:00,-08:00
1919-11-01 08:00:00,-09:00
1942-02-09 11:00:00,-08:00
1945-08-14 23:00:00,-08:00
1945-09-30 10:00:00,-09:00
1965-04-25 09:00:00,-07:00
1965-10-31 09:00:00,-09:00
1966-02-27 09:00:00,-08:00
1980-04-27 10:00:00,-07:00
1980-10-26 09:00:00,-08:00
1981-04-26 10:00:00,-07:00
1981-10-25 09:00:00,-08:00
1982-04-25 10:00:00,-07:00
1982-10-31 09:00:00,-08:00
1983-04-24 10:00:00,-07:00
1983-10-30 09:00:00,-08:00
1984-04-29 10:00:00,-07:00
1984-10-28 09:00:00,-08:00
1985-04-28 10:00:00,-07:00
1985-10-27 09:00:00,-08:00
1986-04-27 10:00:00,-07:00
1986-10-26 09:00:00,-08:00
1987-04-05 10:00:00,-07:00
1987-10-25 09:00:00,-08:00
1988-04-03 10:00:00,-07:00
1988-10-30 09:00:00,-08:00
1989-04-02 10:00:00,-07:00
1989-10-29 09:00:00,-08:00
1990-04-01 10:00:00,-07:00
1990-10-28 09:00:00,-08:00
1991-04-07 10:00:00,-07:00
1991-10-27 09:00:00,-08:00
1992-04-05 10:00:00,-07:00
1992-10-25 09:00:00,-08:00
1993-04-04 10:00:00,-07:00
1993-10-31 09:00:00,-08:00
1994-04-03 10:00:00,-07:00
1994-10-30 09:00:00,-08:00
1995-04-02 10:00:00,-07:00
1995-10-29 09:00:00,-08:00
1996-04-07 10:00:00,-07:00
1996-10-27 09:00:00,-08:00
1997-04-06 10:00:00,-07:00
1997-10-26 09:00:00,-08:00
1998-04-05 10:00:00,-07:00
1998-10-25 09:00:00,-08:00
1999-04-04 10:00:00,-07:00
1999-10-31 09:00:00,-08:00
2000-04-02 10:00:00,-07:00
2000-10-29 09:00:00,-08:00
2001-04-01 10:00:00,-07:00
2001-10-28 09:00:00,-08:00
2002-04-07 10:00:00,-07:00
2002-10-27 09:00:00,-08:00
2003-04-06 10:00:00,-07:00
2003-10-26 09:00:00,-08:00
2004-04-04 10:00:00,-07:00
2004-10-31 09:00:00,-08:00
2005-04-03 10:00:00,-07:00
2005-10-30 09:00:00,-08:00
2006-04-02 10:00:00,-07:00
2006-10-29 09:00:00,-08:00
2007-03-11 10:00:00,-07:00
2007-11-04 09:00:00,-08:00
2008-03-09 10:00:00,-07:00
2008-11-02 09:00:00,-08:00
2009-03-08 10:00:00,-07:00
2009-11-01 09:00:00,-08:00
2010-03-14 10:00:00,-07:00
2010-11-07 09:00:00,-08:00
2011-03-13 10:00:00,-07:00
2011-11-06 09:00:00,-08:00
2012-03-11 10:00:00,-07:00
2012-11-04 09:00:00,-08:00
2013-03-10 10:00:00,-07:00
2013-11-03 09:00:00,-08:00
2014-03-09 10:00:00,-07:00
2014-11-02 09:00:00,-08:00
2015-03-08 10:00:00,-07:00
2015-11-01 09:00:00,-08:00
2016-03-13 10:00:00,-07:00
2016-11-06 09:00:00,-08:00
2017-03-12 10:00:00,-07:00
2017-11-05 09:00:00,-08:00
2018-03-11 10:00:00,-07:00
2018-11-04 09:00:00,-08:00
2019-03-10 10:00:00,-07:00
2019-11-03 09:00:00,-08:00
2020-03-08 10:00:00,-07:00
2020-11-01 07:00:00,-07:00
