Time,Offset
1901-12-13 20:45:52,-06:30
1925-07-19 17:29:36,-05:00
1928-06-10 05:00:00,-04:00
1928-10-10 04:00:00,-05:00
1940-06-02 05:00:00,-04:00
1940-09-01 04:00:00,-05:00
1941-06-01 05:00:00,-04:00
1941-09-07 04:00:00,-05:00
1942-06-07 05:00:00,-04:00
1942-09-06 04:00:00,-05:00
1945-06-03 05:00:00,-04:00
1945-09-02 04:00:00,-05:00
1946-06-02 05:00:00,-04:00
1946-09-01 04:00:00,-05:00
1965-06-01 05:00:00,-04:00
1965-09-30 04:00:00,-05:00
1966-05-29 05:00:00,-04:00
1966-10-02 04:00:00,-05:00
1967-04-08 05:00:00,-04:00
1967-09-10 04:00:00,-05:00
1968-04-14 05:00:00,-04:00
1968-09-08 04:00:00,-05:00
1969-04-27 05:00:00,-04:00
1969-10-26 04:00:00,-05:00
1970-04-26 05:00:00,-04:00
1970-10-25 04:00:00,-05:00
1971-04-25 05:00:00,-04:00
1971-10-31 04:00:00,-05:00
1972-04-30 05:00:00,-04:00
1972-10-08 04:00:00,-05:00
1973-04-29 05:00:00,-04:00
1973-10-08 04:00:00,-05:00
1974-04-28 05:00:00,-04:00
1974-10-08 04:00:00,-05:00
1975-04-27 05:00:00,-04:00
1975-10-26 04:00:00,-05:00
1976-04-25 05:00:00,-04:00
1976-10-31 04:00:00,-05:00
1977-04-24 05:00:00,-04:00
1977-10-30 04:00:00,-05:00
1978-05-07 05:00:00,-04:00
1978-10-08 04:00:00,-05:00
1979-03-18 05:00:00,-04:00
1979-10-14 04:00:00,-05:00
1980-03-16 05:00:00,-04:00
1980-10-12 04:00:00,-05:00
1981-05-10 05:00:00,-04:00
1981-10-11 04:00:00,-05:00
1982-05-09 05:00:00,-04:00
1982-10-10 04:00:00,-05:00
1983-05-08 05:00:00,-04:00
1983-10-09 04:00:00,-05:00
1984-05-06 05:00:00,-04:00
1984-10-14 04:00:00,-05:00
1985-05-05 05:00:00,-04:00
1985-10-13 04:00:00,-05:00
1986-03-16 05:00:00,-04:00
1986-10-12 04:00:00,-05:00
1987-03-15 05:00:00,-04:00
1987-10-11 04:00:00,-05:00
1988-03-20 05:00:00,-04:00
1988-10-09 04:00:00,-05:00
1989-03-19 05:00:00,-04:00
1989-10-08 04:00:00,-05:00
1990-04-01 05:00:00,-04:00
1990-10-14 04:00:00,-05:00
