Time,Offset
0001-01-01T00:00:00,+01:35
1901-12-13T20:45:52,+01:35
1916-07-27T22:26:08,+02:00
1932-07-06T22:00:00,+03:00
1932-08-31T21:00:00,+02:00
1941-04-06T22:00:00,+03:00
1941-04-29T21:00:00,+02:00
1942-11-02T01:00:00,+01:00
1943-03-29T23:00:00,+02:00
1943-10-03T22:00:00,+01:00
1944-04-03T23:00:00,+02:00
1952-06-30T22:00:00,+03:00
1952-11-01T21:00:00,+02:00
1975-04-11T22:00:00,+03:00
1975-11-25T22:00:00,+02:00
1976-04-11T00:00:00,+03:00
1976-10-10T00:00:00,+02:00
1977-04-03T00:00:00,+03:00
1977-09-26T00:00:00,+02:00
1978-04-02T00:00:00,+03:00
1978-09-24T01:00:00,+02:00
1979-04-01T07:00:00,+03:00
1979-09-28T23:00:00,+02:00
1980-03-31T22:00:00,+03:00
1980-09-27T21:00:00,+02:00
1981-03-29T01:00:00,+03:00
1981-09-27T01:00:00,+02:00
1982-03-28T01:00:00,+03:00
1982-09-26T01:00:00,+02:00
1983-03-27T01:00:00,+03:00
1983-09-25T01:00:00,+02:00
1984-03-25T01:00:00,+03:00
1984-09-30T01:00:00,+02:00
1985-03-31T01:00:00,+03:00
1985-09-29T01:00:00,+02:00
1986-03-30T01:00:00,+03:00
1986-09-28T01:00:00,+02:00
1987-03-29T01:00:00,+03:00
1987-09-27T01:00:00,+02:00
1988-03-27T01:00:00,+03:00
1988-09-25T01:00:00,+02:00
1989-03-26T01:00:00,+03:00
1989-09-24T01:00:00,+02:00
1990-03-25T01:00:00,+03:00
1990-09-30T01:00:00,+02:00
1991-03-31T01:00:00,+03:00
1991-09-29T01:00:00,+02:00
1992-03-29T01:00:00,+03:00
1992-09-27T01:00:00,+02:00
1993-03-28T01:00:00,+03:00
1993-09-26T01:00:00,+02:00
1994-03-27T01:00:00,+03:00
1994-09-25T01:00:00,+02:00
1995-03-26T01:00:00,+03:00
1995-09-24T01:00:00,+02:00
1996-03-31T01:00:00,+03:00
1996-10-27T01:00:00,+02:00
1997-03-30T01:00:00,+03:00
1997-10-26T01:00:00,+02:00
1998-03-29T01:00:00,+03:00
1998-10-25T01:00:00,+02:00
1999-03-28T01:00:00,+03:00
1999-10-31T01:00:00,+02:00
2000-03-26T01:00:00,+03:00
2000-10-29T01:00:00,+02:00
2001-03-25T01:00:00,+03:00
2001-10-28T01:00:00,+02:00
2002-03-31T01:00:00,+03:00
2002-10-27T01:00:00,+02:00
2003-03-30T01:00:00,+03:00
2003-10-26T01:00:00,+02:00
2004-03-28T01:00:00,+03:00
2004-10-31T01:00:00,+02:00
2005-03-27T01:00:00,+03:00
2005-10-30T01:00:00,+02:00
2006-03-26T01:00:00,+03:00
2006-10-29T01:00:00,+02:00
2007-03-25T01:00:00,+03:00
2007-10-28T01:00:00,+02:00
2008-03-30T01:00:00,+03:00
2008-10-26T01:00:00,+02:00
2009-03-29T01:00:00,+03:00
2009-10-25T01:00:00,+02:00
2010-03-28T01:00:00,+03:00
2010-10-31T01:00:00,+02:00
2011-03-27T01:00:00,+03:00
2011-10-30T01:00:00,+02:00
2012-03-25T01:00:00,+03:00
2012-10-28T01:00:00,+02:00
2013-03-31T01:00:00,+03:00
2013-10-27T01:00:00,+02:00
2014-03-30T01:00:00,+03:00
2014-10-26T01:00:00,+02:00
2015-03-29T01:00:00,+03:00
2015-10-25T01:00:00,+02:00
2016-03-27T01:00:00,+03:00
2016-10-30T01:00:00,+02:00
2017-03-26T01:00:00,+03:00
2017-10-29T01:00:00,+02:00
2018-03-25T01:00:00,+03:00
2018-10-28T01:00:00,+02:00
2019-03-31T01:00:00,+03:00
2019-10-27T01:00:00,+02:00
2020-03-29T01:00:00,+03:00
2020-10-25T01:00:00,+02:00
2021-03-28T01:00:00,+03:00
2021-10-31T01:00:00,+02:00
2022-03-27T01:00:00,+03:00
2022-10-30T01:00:00,+02:00
2023-03-26T01:00:00,+03:00
2023-10-29T01:00:00,+02:00
2024-03-31T01:00:00,+03:00
2024-10-27T01:00:00,+02:00
2025-03-30T01:00:00,+03:00
2025-10-26T01:00:00,+02:00
2026-03-29T01:00:00,+03:00
2026-10-25T01:00:00,+02:00
2027-03-28T01:00:00,+03:00
2027-10-31T01:00:00,+02:00
2028-03-26T01:00:00,+03:00
2028-10-29T01:00:00,+02:00
2029-03-25T01:00:00,+03:00
2029-10-28T01:00:00,+02:00
2030-03-31T01:00:00,+03:00
2030-10-27T01:00:00,+02:00
2031-03-30T01:00:00,+03:00
2031-10-26T01:00:00,+02:00
2032-03-28T01:00:00,+03:00
2032-10-31T01:00:00,+02:00
2033-03-27T01:00:00,+03:00
2033-10-30T01:00:00,+02:00
2034-03-26T01:00:00,+03:00
2034-10-29T01:00:00,+02:00
2035-03-25T01:00:00,+03:00
2035-10-28T01:00:00,+02:00
2036-03-30T01:00:00,+03:00
2036-10-26T01:00:00,+02:00
2037-03-29T01:00:00,+03:00
2037-10-25T01:00:00,+02:00
