Time,Offset
1901-12-13 20:45:52,-01:35
1916-05-21 02:25:21,+00:35
1916-10-01 02:25:21,+00:00
1917-04-08 02:00:00,+01:00
1917-09-17 02:00:00,+00:00
1918-03-24 02:00:00,+01:00
1918-09-30 02:00:00,+00:00
1919-03-30 02:00:00,+01:00
1919-09-29 02:00:00,+00:00
1920-03-28 02:00:00,+01:00
1920-10-25 02:00:00,+00:00
1921-04-03 02:00:00,+01:00
1921-10-03 02:00:00,+00:00
1922-03-26 02:00:00,+01:00
1922-10-08 02:00:00,+00:00
1923-04-22 02:00:00,+01:00
1923-09-16 02:00:00,+00:00
1924-04-13 02:00:00,+01:00
1924-09-21 02:00:00,+00:00
1925-04-19 02:00:00,+01:00
1925-10-04 02:00:00,+00:00
1926-04-18 02:00:00,+01:00
1926-10-03 02:00:00,+00:00
1927-04-10 02:00:00,+01:00
1927-10-02 02:00:00,+00:00
1928-04-22 02:00:00,+01:00
1928-10-07 02:00:00,+00:00
1929-04-21 02:00:00,+01:00
1929-10-06 02:00:00,+00:00
1930-04-13 02:00:00,+01:00
1930-10-05 02:00:00,+00:00
1931-04-19 02:00:00,+01:00
1931-10-04 02:00:00,+00:00
1932-04-17 02:00:00,+01:00
1932-10-02 02:00:00,+00:00
1933-04-09 02:00:00,+01:00
1933-10-08 02:00:00,+00:00
1934-04-22 02:00:00,+01:00
1934-10-07 02:00:00,+00:00
1935-04-14 02:00:00,+01:00
1935-10-06 02:00:00,+00:00
1936-04-19 02:00:00,+01:00
1936-10-04 02:00:00,+00:00
1937-04-18 02:00:00,+01:00
1937-10-03 02:00:00,+00:00
1938-04-10 02:00:00,+01:00
1938-10-02 02:00:00,+00:00
1939-04-16 02:00:00,+01:00
1939-11-19 02:00:00,+00:00
1940-02-25 02:00:00,+01:00
1946-10-06 02:00:00,+00:00
1947-03-16 02:00:00,+01:00
1947-11-02 02:00:00,+00:00
1948-04-18 02:00:00,+01:00
1948-10-31 02:00:00,+00:00
1949-04-03 02:00:00,+01:00
1949-10-30 02:00:00,+00:00
1950-04-16 02:00:00,+01:00
1950-10-22 02:00:00,+00:00
1951-04-15 02:00:00,+01:00
1951-10-21 02:00:00,+00:00
1952-04-20 02:00:00,+01:00
1952-10-26 02:00:00,+00:00
1953-04-19 02:00:00,+01:00
1953-10-04 02:00:00,+00:00
1954-04-11 02:00:00,+01:00
1954-10-03 02:00:00,+00:00
1955-04-17 02:00:00,+01:00
1955-10-02 02:00:00,+00:00
1956-04-22 02:00:00,+01:00
1956-10-07 02:00:00,+00:00
1957-04-14 02:00:00,+01:00
1957-10-06 02:00:00,+00:00
1958-04-20 02:00:00,+01:00
1958-10-05 02:00:00,+00:00
1959-04-19 02:00:00,+01:00
1959-10-04 02:00:00,+00:00
1960-04-10 02:00:00,+01:00
1960-10-02 02:00:00,+00:00
1961-03-26 02:00:00,+01:00
1961-10-29 02:00:00,+00:00
1962-03-25 02:00:00,+01:00
1962-10-28 02:00:00,+00:00
1963-03-31 02:00:00,+01:00
1963-10-27 02:00:00,+00:00
1964-03-22 02:00:00,+01:00
