Time,Offset
0001-01-01 00:00:00,+00:58
1901-12-13 20:45:52,+01:00
1916-06-03 23:00:00,+02:00
1916-09-30 22:00:00,+01:00
1917-03-31 23:00:00,+02:00
1917-09-30 22:00:00,+01:00
1918-03-09 23:00:00,+02:00
1918-10-06 22:00:00,+01:00
1919-03-01 23:00:00,+02:00
1919-10-04 22:00:00,+01:00
1920-03-20 23:00:00,+02:00
1920-09-18 22:00:00,+01:00
1940-06-14 23:00:00,+02:00
1942-11-02 01:00:00,+01:00
1943-03-29 01:00:00,+02:00
1943-10-04 01:00:00,+01:00
1944-04-02 01:00:00,+02:00
1944-09-17 01:00:00,+01:00
1945-04-02 01:00:00,+02:00
1945-09-14 23:00:00,+01:00
1946-03-17 01:00:00,+02:00
1946-10-06 01:00:00,+01:00
1947-03-15 23:00:00,+02:00
1947-10-04 23:00:00,+01:00
1948-02-29 01:00:00,+02:00
1948-10-03 01:00:00,+01:00
1966-05-21 23:00:00,+02:00
1966-09-24 22:00:00,+01:00
1967-05-27 23:00:00,+02:00
1967-09-23 23:00:00,+01:00
1968-05-25 23:00:00,+02:00
1968-09-21 23:00:00,+01:00
1969-05-31 23:00:00,+02:00
1969-09-27 23:00:00,+01:00
1970-05-30 23:00:00,+02:00
1970-09-26 23:00:00,+01:00
1971-05-22 23:00:00,+02:00
1971-09-25 23:00:00,+01:00
1972-05-27 23:00:00,+02:00
1972-09-30 23:00:00,+01:00
1973-03-30 23:00:00,+02:00
1973-09-28 23:00:00,+01:00
1974-04-20 23:00:00,+02:00
1974-09-15 23:00:00,+01:00
1975-04-20 01:00:00,+02:00
1975-09-21 00:00:00,+01:00
1976-04-18 01:00:00,+02:00
1976-09-19 00:00:00,+01:00
1977-04-17 01:00:00,+02:00
1977-09-18 00:00:00,+01:00
1978-04-16 01:00:00,+02:00
1978-09-17 00:00:00,+01:00
1979-04-15 01:00:00,+02:00
1979-09-16 00:00:00,+01:00
1980-03-31 01:00:00,+02:00
1980-09-21 00:00:00,+01:00
1981-03-29 01:00:00,+02:00
1981-09-27 01:00:00,+01:00
1982-03-28 01:00:00,+02:00
1982-09-26 01:00:00,+01:00
1983-03-27 01:00:00,+02:00
1983-09-25 01:00:00,+01:00
1984-03-25 01:00:00,+02:00
1984-09-30 01:00:00,+01:00
1985-03-31 01:00:00,+02:00
1985-09-29 01:00:00,+01:00
1986-03-30 01:00:00,+02:00
1986-09-28 01:00:00,+01:00
1987-03-29 01:00:00,+02:00
1987-09-27 01:00:00,+01:00
1988-03-27 01:00:00,+02:00
1988-09-25 01:00:00,+01:00
1989-03-26 01:00:00,+02:00
1989-09-24 01:00:00,+01:00
1990-03-25 01:00:00,+02:00
1990-09-30 01:00:00,+01:00
1991-03-31 01:00:00,+02:00
1991-09-29 01:00:00,+01:00
1992-03-29 01:00:00,+02:00
1992-09-27 01:00:00,+01:00
1993-03-28 01:00:00,+02:00
1993-09-26 01:00:00,+01:00
1994-03-27 01:00:00,+02:00
1994-09-25 01:00:00,+01:00
1995-03-26 01:00:00,+02:00
1995-09-24 01:00:00,+01:00
1996-03-31 01:00:00,+02:00
1996-10-27 01:00:00,+01:00
1997-03-30 01:00:00,+02:00
1997-10-26 01:00:00,+01:00
1998-03-29 01:00:00,+02:00
1998-10-25 01:00:00,+01:00
1999-03-28 01:00:00,+02:00
1999-10-31 01:00:00,+01:00
2000-03-26 01:00:00,+02:00
2000-10-29 01:00:00,+01:00
2001-03-25 01:00:00,+02:00
2001-10-28 01:00:00,+01:00
2002-03-31 01:00:00,+02:00
2002-10-27 01:00:00,+01:00
2003-03-30 01:00:00,+02:00
2003-10-26 01:00:00,+01:00
2004-03-28 01:00:00,+02:00
2004-10-31 01:00:00,+01:00
