Time,Offset
0001-01-01T00:00:00,+02:30
1901-12-13T20:45:52,+02:30
1916-07-02T21:29:43,+02:31
1917-07-01T20:28:41,+03:31
1917-12-27T20:28:41,+02:31
1918-05-31T19:28:41,+04:31
1918-09-15T20:28:41,+03:31
1919-05-31T19:28:41,+04:31
1919-07-01T00:00:00,+04:00
1919-08-15T20:00:00,+03:00
1921-02-14T20:00:00,+04:00
1921-03-20T19:00:00,+05:00
1921-08-31T19:00:00,+04:00
1921-09-30T20:00:00,+03:00
1922-09-30T21:00:00,+02:00
1930-06-20T22:00:00,+03:00
1981-03-31T21:00:00,+04:00
1981-09-30T20:00:00,+03:00
1982-03-31T21:00:00,+04:00
1982-09-30T20:00:00,+03:00
1983-03-31T21:00:00,+04:00
1983-09-30T20:00:00,+03:00
1984-03-31T21:00:00,+04:00
1984-09-29T23:00:00,+03:00
1985-03-30T23:00:00,+04:00
1985-09-28T23:00:00,+03:00
1986-03-29T23:00:00,+04:00
1986-09-27T23:00:00,+03:00
1987-03-28T23:00:00,+04:00
1987-09-26T23:00:00,+03:00
1988-03-26T23:00:00,+04:00
1988-09-24T23:00:00,+03:00
1989-03-25T23:00:00,+04:00
1989-09-23T23:00:00,+03:00
1990-03-24T23:00:00,+04:00
1990-09-29T23:00:00,+03:00
1991-03-30T23:00:00,+03:00
1991-09-29T00:00:00,+02:00
1992-01-19T00:00:00,+03:00
1992-03-28T23:00:00,+04:00
1992-09-26T23:00:00,+03:00
1993-03-27T23:00:00,+04:00
1993-09-25T23:00:00,+03:00
1994-03-26T23:00:00,+04:00
1994-09-24T23:00:00,+03:00
1995-03-25T23:00:00,+04:00
1995-09-23T23:00:00,+03:00
1996-03-30T23:00:00,+04:00
1996-10-26T23:00:00,+03:00
1997-03-29T23:00:00,+04:00
1997-10-25T23:00:00,+03:00
1998-03-28T23:00:00,+04:00
1998-10-24T23:00:00,+03:00
1999-03-27T23:00:00,+04:00
1999-10-30T23:00:00,+03:00
2000-03-25T23:00:00,+04:00
2000-10-28T23:00:00,+03:00
2001-03-24T23:00:00,+04:00
2001-10-27T23:00:00,+03:00
2002-03-30T23:00:00,+04:00
2002-10-26T23:00:00,+03:00
2003-03-29T23:00:00,+04:00
2003-10-25T23:00:00,+03:00
2004-03-27T23:00:00,+04:00
2004-10-30T23:00:00,+03:00
2005-03-26T23:00:00,+04:00
2005-10-29T23:00:00,+03:00
2006-03-25T23:00:00,+04:00
2006-10-28T23:00:00,+03:00
2007-03-24T23:00:00,+04:00
2007-10-27T23:00:00,+03:00
2008-03-29T23:00:00,+04:00
2008-10-25T23:00:00,+03:00
2009-03-28T23:00:00,+04:00
2009-10-24T23:00:00,+03:00
2010-03-27T23:00:00,+04:00
2010-10-30T23:00:00,+03:00
2011-03-26T23:00:00,+04:00
2014-10-25T22:00:00,+03:00
