Time,Offset
0001-01-01T00:00:00,+02:16
1901-12-13T20:45:52,+02:16
1924-05-01T21:44:00,+02:00
1930-06-20T22:00:00,+03:00
1941-10-31T21:00:00,+02:00
1942-11-02T01:00:00,+01:00
1943-03-29T01:00:00,+02:00
1943-10-04T01:00:00,+01:00
1944-04-03T01:00:00,+02:00
1944-04-12T22:00:00,+03:00
1981-03-31T21:00:00,+04:00
1981-09-30T20:00:00,+03:00
1982-03-31T21:00:00,+04:00
1982-09-30T20:00:00,+03:00
1983-03-31T21:00:00,+04:00
1983-09-30T20:00:00,+03:00
1984-03-31T21:00:00,+04:00
1984-09-29T23:00:00,+03:00
1985-03-30T23:00:00,+04:00
1985-09-28T23:00:00,+03:00
1986-03-29T23:00:00,+04:00
1986-09-27T23:00:00,+03:00
1987-03-28T23:00:00,+04:00
1987-09-26T23:00:00,+03:00
1988-03-26T23:00:00,+04:00
1988-09-24T23:00:00,+03:00
1989-03-25T23:00:00,+04:00
1989-09-23T23:00:00,+03:00
1990-06-30T23:00:00,+02:00
1992-03-29T00:00:00,+03:00
1992-09-27T00:00:00,+02:00
1993-03-28T00:00:00,+03:00
1993-09-26T00:00:00,+02:00
1994-03-27T00:00:00,+03:00
1994-04-30T21:00:00,+04:00
1994-09-24T23:00:00,+03:00
1995-03-25T23:00:00,+04:00
1995-09-23T23:00:00,+03:00
1996-03-30T21:00:00,+04:00
1996-10-27T00:00:00,+03:00
1997-03-30T01:00:00,+03:00
1997-10-26T01:00:00,+02:00
1998-03-29T01:00:00,+03:00
1998-10-25T01:00:00,+02:00
1999-03-28T01:00:00,+03:00
1999-10-31T01:00:00,+02:00
2000-03-26T01:00:00,+03:00
2000-10-29T01:00:00,+02:00
2001-03-25T01:00:00,+03:00
2001-10-28T01:00:00,+02:00
2002-03-31T01:00:00,+03:00
2002-10-27T01:00:00,+02:00
2003-03-30T01:00:00,+03:00
2003-10-26T01:00:00,+02:00
2004-03-28T01:00:00,+03:00
2004-10-31T01:00:00,+02:00
2005-03-27T01:00:00,+03:00
2005-10-30T01:00:00,+02:00
2006-03-26T01:00:00,+03:00
2006-10-29T01:00:00,+02:00
2007-03-25T01:00:00,+03:00
2007-10-28T01:00:00,+02:00
2008-03-30T01:00:00,+03:00
2008-10-26T01:00:00,+02:00
2009-03-29T01:00:00,+03:00
2009-10-25T01:00:00,+02:00
2010-03-28T01:00:00,+03:00
2010-10-31T01:00:00,+02:00
2011-03-27T01:00:00,+03:00
2011-10-30T01:00:00,+02:00
2012-03-25T01:00:00,+03:00
2012-10-28T01:00:00,+02:00
2013-03-31T01:00:00,+03:00
2013-10-27T01:00:00,+02:00
2014-03-30T00:00:00,+04:00
2014-10-25T22:00:00,+03:00
