Time,Offset
0001-01-01T00:00:00,+07:37
1904-10-29T17:00:00,+08:00
1941-06-14T19:00:00,+09:00
1941-09-30T19:00:00,+08:30
1941-12-24T15:30:00,+09:00
1945-11-17T17:00:00,+08:00
1946-04-20T16:00:00,+09:00
1946-11-30T19:30:00,+08:00
1947-04-12T19:30:00,+09:00
1947-11-29T19:30:00,+08:00
1948-05-01T19:30:00,+09:00
1948-10-30T19:30:00,+08:00
1949-04-02T19:30:00,+09:00
1949-10-29T19:30:00,+08:00
1950-04-01T19:30:00,+09:00
1950-10-28T19:30:00,+08:00
1951-03-31T19:30:00,+09:00
1951-10-27T19:30:00,+08:00
1952-04-05T19:30:00,+09:00
1952-11-01T19:30:00,+08:00
1953-04-04T19:30:00,+09:00
1953-10-31T18:30:00,+08:00
1954-03-20T19:30:00,+09:00
1954-10-30T18:30:00,+08:00
1955-03-19T19:30:00,+09:00
1955-11-05T18:30:00,+08:00
1956-03-17T19:30:00,+09:00
1956-11-03T18:30:00,+08:00
1957-03-23T19:30:00,+09:00
1957-11-02T18:30:00,+08:00
1958-03-22T19:30:00,+09:00
1958-11-01T18:30:00,+08:00
1959-03-21T19:30:00,+09:00
1959-10-31T18:30:00,+08:00
1960-03-19T19:30:00,+09:00
1960-11-05T18:30:00,+08:00
1961-03-18T19:30:00,+09:00
1961-11-04T18:30:00,+08:00
1962-03-17T19:30:00,+09:00
1962-11-03T18:30:00,+08:00
1963-03-23T19:30:00,+09:00
1963-11-02T18:30:00,+08:00
1964-03-21T19:30:00,+09:00
1964-10-31T18:30:00,+08:00
1965-04-17T19:30:00,+09:00
1965-10-16T18:30:00,+08:00
1966-04-16T19:30:00,+09:00
1966-10-15T18:30:00,+08:00
1967-04-15T19:30:00,+09:00
1967-10-21T18:30:00,+08:00
1968-04-20T19:30:00,+09:00
1968-10-19T18:30:00,+08:00
1969-04-19T19:30:00,+09:00
1969-10-18T18:30:00,+08:00
1970-04-18T19:30:00,+09:00
1970-10-17T18:30:00,+08:00
1971-04-17T19:30:00,+09:00
1971-10-16T18:30:00,+08:00
1972-04-15T19:30:00,+09:00
1972-10-21T18:30:00,+08:00
1973-04-21T19:30:00,+09:00
1973-10-20T18:30:00,+08:00
1973-12-29T19:30:00,+09:00
1974-10-19T18:30:00,+08:00
1975-04-19T19:30:00,+09:00
1975-10-18T18:30:00,+08:00
1976-04-17T19:30:00,+09:00
1976-10-16T18:30:00,+08:00
1979-05-12T19:30:00,+09:00
1979-10-20T18:30:00,+08:00
