Time,Offset
1901-12-13T20:45:52,-06:53
1912-02-01T05:07:10,-05:00
1974-01-06T07:00:00,-04:00
1974-10-27T06:00:00,-05:00
1975-02-23T07:00:00,-04:00
1975-10-26T06:00:00,-05:00
1976-04-25T07:00:00,-04:00
1976-10-31T06:00:00,-05:00
1977-04-24T07:00:00,-04:00
1977-10-30T06:00:00,-05:00
1978-04-30T07:00:00,-04:00
1978-10-29T06:00:00,-05:00
1979-04-29T07:00:00,-04:00
1979-10-28T06:00:00,-05:00
1980-04-27T07:00:00,-04:00
1980-10-26T06:00:00,-05:00
1981-04-26T07:00:00,-04:00
1981-10-25T06:00:00,-05:00
1982-04-25T07:00:00,-04:00
1982-10-31T06:00:00,-05:00
1983-04-24T07:00:00,-04:00
1983-10-30T06:00:00,-05:00
