Time,Offset
0001-01-01 00:00:00,+00:53
1919-12-31 23:07:16,+01:00
1951-10-14 01:00:00,+02:00
1951-12-31 22:00:00,+01:00
1953-10-09 01:00:00,+02:00
1953-12-31 22:00:00,+01:00
1955-09-29 23:00:00,+02:00
1955-12-31 22:00:00,+01:00
1958-12-31 23:00:00,+02:00
1981-12-31 22:00:00,+01:00
1982-03-31 23:00:00,+02:00
1982-09-30 22:00:00,+01:00
1983-03-31 23:00:00,+02:00
1983-09-30 22:00:00,+01:00
1984-03-31 23:00:00,+02:00
1984-09-30 22:00:00,+01:00
1985-04-05 23:00:00,+02:00
1985-09-30 22:00:00,+01:00
1986-04-03 23:00:00,+02:00
1986-10-02 22:00:00,+01:00
1987-03-31 23:00:00,+02:00
1987-09-30 22:00:00,+01:00
1988-03-31 23:00:00,+02:00
1988-09-30 22:00:00,+01:00
1989-03-31 23:00:00,+02:00
1989-09-30 22:00:00,+01:00
1990-05-03 23:00:00,+02:00
1996-09-29 22:00:00,+01:00
1997-04-03 23:00:00,+02:00
1997-10-03 22:00:00,+02:00
2012-11-10 00:00:00,+01:00
2013-03-29 00:00:00,+02:00
2013-10-25 00:00:00,+02:00
