Time,Offset
0001-01-01T00:00:00,+08:06
1901-12-13T20:45:52,+08:00
1919-04-12T16:00:00,+09:00
1919-09-30T15:00:00,+08:00
1940-05-31T16:00:00,+09:00
1940-10-12T15:00:00,+08:00
1941-03-14T16:00:00,+09:00
1941-11-01T15:00:00,+08:00
1942-01-30T16:00:00,+09:00
1945-09-01T15:00:00,+08:00
1946-05-14T16:00:00,+09:00
1946-09-30T15:00:00,+08:00
1947-04-14T16:00:00,+09:00
1947-10-31T15:00:00,+08:00
1948-04-30T16:00:00,+09:00
1948-09-30T15:00:00,+08:00
1949-04-30T16:00:00,+09:00
1949-05-27T15:00:00,+08:00
1986-05-03T18:00:00,+09:00
1986-09-13T17:00:00,+08:00
1987-04-11T18:00:00,+09:00
1987-09-12T17:00:00,+08:00
1988-04-16T18:00:00,+09:00
1988-09-10T17:00:00,+08:00
1989-04-15T18:00:00,+09:00
1989-09-16T17:00:00,+08:00
1990-04-14T18:00:00,+09:00
1990-09-15T17:00:00,+08:00
1991-04-13T18:00:00,+09:00
1991-09-14T17:00:00,+08:00
